team_code,team_name,total_players,total_games,avg_games_per_player,goalkeeper_count,elite_players,team_avg_rating,top_7_rating,top_12_rating,best_position_rating,weighted_position_rating,playing_time_weighted_rating,rating_std,rating_range,best_player_rating,worst_player_rating,positions_represented,position_distribution,season,league
TES,Team Esbjerg,16,423,26.4375,2,5,1184.4,1304.4,1236.2,1259.6,1185.1,1207.9,121.7,343.7,1361.2,1017.5,8,"{'PL': 4, 'HB': 2, 'HF': 1, 'ST': 3, 'Ukendt': 1, 'VF': 2, 'MV': 2, 'VB': 1}",2020-2021,Kvindeliga
VHK,Viborg HK,15,416,27.733333333333334,2,4,1180.5,1319.8,1216.5,1271.8,1181.1,1208.5,180.0,635.9,1668.3,1032.4,6,"{'PL': 5, 'HB': 1, 'ST': 3, 'VF': 2, 'HF': 2, 'MV': 2}",2020-2021,Kvindeliga
SVK,Silkeborg-Voel KFUM,15,377,25.133333333333333,2,3,1160.1,1251.2,1192.8,1216.2,1159.4,1153.5,108.6,394.2,1407.8,1013.6,7,"{'PL': 5, 'HB': 1, 'VF': 2, 'HF': 2, 'ST': 2, 'Ukendt': 1, 'MV': 2}",2020-2021,Kvindeliga
AAU,Aarhus United,16,387,24.1875,2,4,1146.4,1263.3,1185.6,1241.3,1145.4,1165.4,116.8,339.6,1356.2,1016.6,7,"{'PL': 6, 'VF': 2, 'VB': 1, 'ST': 2, 'HF': 2, 'MV': 2, 'HB': 1}",2020-2021,Kvindeliga
NFH,Nykøbing F. Håndbold,19,393,20.68421052631579,2,4,1138.1,1275.7,1196.0,1230.5,1139.4,1168.7,132.8,451.1,1468.7,1017.6,7,"{'PL': 6, 'HB': 1, 'VF': 2, 'ST': 3, 'HF': 1, 'Ukendt': 4, 'MV': 2}",2020-2021,Kvindeliga
KBH,København Håndbold,21,416,19.80952380952381,2,2,1119.0,1253.7,1181.6,1236.4,1120.1,1152.3,123.2,468.3,1485.8,1017.5,7,"{'PL': 6, 'VF': 2, 'HF': 3, 'HB': 4, 'ST': 3, 'Ukendt': 1, 'MV': 2}",2020-2021,Kvindeliga
AJK,Ajax København,16,363,22.6875,2,1,1116.7,1198.7,1146.5,1183.3,1115.3,1128.4,81.5,256.5,1271.0,1014.5,7,"{'PL': 5, 'VF': 2, 'HF': 3, 'HB': 2, 'ST': 1, 'Ukendt': 1, 'MV': 2}",2020-2021,Kvindeliga
HHE,Horsens Håndbold Elite,18,382,21.22222222222222,3,2,1109.5,1213.9,1147.2,1195.2,1110.3,1124.6,116.1,442.5,1468.7,1026.2,8,"{'PL': 4, 'VB': 1, 'VF': 2, 'HB': 1, 'HF': 4, 'Ukendt': 1, 'ST': 2, 'MV': 3}",2020-2021,Kvindeliga
HOL,Holstebro Håndbold,16,348,21.75,3,1,1108.5,1176.0,1134.6,1164.6,1105.2,1125.1,73.7,250.1,1268.8,1018.7,7,"{'HB': 2, 'VB': 1, 'PL': 4, 'VF': 2, 'ST': 2, 'HF': 2, 'MV': 3}",2020-2021,Kvindeliga
SKB,Skanderborg Håndbold,18,415,23.055555555555557,2,1,1087.8,1169.6,1122.5,1144.4,1086.7,1100.4,86.6,353.8,1367.5,1013.7,6,"{'PL': 7, 'HB': 1, 'VF': 2, 'ST': 3, 'HF': 3, 'MV': 2}",2020-2021,Kvindeliga
VEN,Vendsyssel Håndbold,15,278,18.533333333333335,2,0,1065.9,1110.8,1078.4,1100.9,1066.0,1072.0,52.4,200.4,1212.6,1012.2,6,"{'PL': 6, 'HF': 1, 'ST': 3, 'VF': 2, 'HB': 1, 'MV': 2}",2020-2021,Kvindeliga
