team_code,team_name,total_players,total_games,avg_games_per_player,goalkeeper_count,elite_players,team_avg_rating,top_7_rating,top_12_rating,best_position_rating,weighted_position_rating,playing_time_weighted_rating,rating_std,rating_range,best_player_rating,worst_player_rating,positions_represented,position_distribution,season,league
AAH,Aalborg Håndbold,19,494,26.0,2,11,1294.1,1486.6,1402.2,1452.7,1300.8,1334.8,174.1,605.6,1628.2,1022.6,8,"{'PL': 5, 'MV': 2, 'VF': 2, 'HB': 2, 'HF': 2, 'VB': 2, 'ST': 3, 'Ukendt': 1}",2021-2022,Herreliga
BSH,Bjerringbro-Silkeborg,17,483,28.41176470588235,3,7,1281.3,1483.7,1358.3,1443.5,1286.2,1328.8,207.1,739.7,1817.0,1077.3,6,"{'PL': 6, 'MV': 3, 'VF': 2, 'HF': 2, 'ST': 3, 'Ukendt': 1}",2021-2022,Herreliga
TTH,TTH Holstebro,18,427,23.72222222222222,2,9,1271.8,1459.9,1356.5,1396.8,1274.9,1295.9,164.1,462.7,1540.9,1078.2,7,"{'VF': 2, 'PL': 6, 'HB': 1, 'MV': 2, 'ST': 3, 'HF': 3, 'Ukendt': 1}",2021-2022,Herreliga
SKH,Skjern Håndbold,18,437,24.27777777777778,4,9,1262.8,1481.8,1365.0,1481.8,1257.9,1328.4,204.3,640.5,1655.5,1015.0,6,"{'PL': 7, 'HB': 1, 'ST': 2, 'HF': 2, 'VF': 2, 'MV': 4}",2021-2022,Herreliga
FHK,Fredericia Håndbold Klub,18,454,25.22222222222222,2,8,1249.8,1445.9,1342.8,1415.4,1255.4,1299.6,179.6,578.3,1594.4,1016.1,7,"{'PL': 6, 'MV': 2, 'VF': 3, 'ST': 2, 'HF': 2, 'HB': 1, 'Ukendt': 2}",2021-2022,Herreliga
SAH,SAH - Skanderborg AGF,16,382,23.875,0,6,1232.6,1408.8,1294.2,1374.4,1237.6,1283.5,173.3,538.2,1568.7,1030.5,7,"{'PL': 5, 'VF': 1, 'HB': 2, 'HF': 2, 'ST': 4, 'Ukendt': 1, 'VB': 1}",2021-2022,Herreliga
SJH,SønderjyskE Herrehåndbold,19,416,21.894736842105264,3,7,1228.9,1356.2,1311.7,1323.3,1229.8,1230.7,122.4,378.9,1393.5,1014.6,6,"{'PL': 8, 'MV': 3, 'Ukendt': 1, 'ST': 3, 'VF': 2, 'HF': 2}",2021-2022,Herreliga
KIF,KIF Kolding,18,428,23.77777777777778,2,8,1220.1,1357.8,1286.9,1357.8,1220.8,1238.5,140.8,566.3,1622.1,1055.8,8,"{'HB': 1, 'HF': 3, 'PL': 4, 'VF': 2, 'ST': 3, 'MV': 2, 'Ukendt': 1, 'VB': 2}",2021-2022,Herreliga
REH,Ribe-Esbjerg HH,19,419,22.05263157894737,4,6,1200.3,1397.6,1283.8,1381.5,1204.4,1235.3,163.4,513.5,1540.0,1026.5,6,"{'PL': 5, 'ST': 2, 'HF': 1, 'MV': 4, 'HB': 4, 'VF': 3}",2021-2022,Herreliga
LTH,Lemvig-Thyborøn Håndbold,19,423,22.263157894736842,3,5,1192.8,1347.0,1272.5,1334.8,1193.2,1229.9,141.8,462.8,1475.3,1012.5,7,"{'HF': 2, 'PL': 6, 'MV': 3, 'VF': 2, 'HB': 2, 'ST': 3, 'Ukendt': 1}",2021-2022,Herreliga
MTH,Mors-Thy Håndbold,19,399,21.0,2,4,1172.7,1351.3,1248.1,1343.6,1169.6,1226.1,165.8,563.5,1577.0,1013.5,7,"{'PL': 7, 'VF': 2, 'HB': 1, 'HF': 2, 'MV': 2, 'ST': 3, 'Ukendt': 2}",2021-2022,Herreliga
GOG,GOG,25,461,18.44,4,6,1156.4,1358.8,1273.9,1304.4,1157.6,1211.1,143.1,491.5,1506.5,1015.0,6,"{'PL': 8, 'VF': 2, 'HF': 3, 'ST': 5, 'Ukendt': 3, 'MV': 4}",2021-2022,Herreliga
TMH,TMS Ringsted,16,333,20.8125,3,2,1154.0,1264.7,1191.6,1244.3,1152.4,1178.0,131.1,486.9,1523.1,1036.2,7,"{'PL': 4, 'HB': 1, 'HF': 1, 'VF': 2, 'MV': 3, 'ST': 4, 'Ukendt': 1}",2021-2022,Herreliga
NSH,Nordsjælland Håndbold,17,394,23.176470588235293,2,4,1152.2,1282.3,1201.6,1262.6,1149.4,1184.0,132.0,458.3,1481.5,1023.2,7,"{'HB': 2, 'HF': 1, 'VB': 1, 'PL': 4, 'ST': 4, 'MV': 2, 'VF': 3}",2021-2022,Herreliga
SFH,Skive fH,17,389,22.88235294117647,2,0,1130.3,1184.7,1157.0,1178.3,1131.1,1141.0,52.7,179.6,1216.0,1036.4,6,"{'PL': 7, 'ST': 3, 'MV': 2, 'VF': 2, 'HF': 2, 'HB': 1}",2021-2022,Herreliga
