team_code,team_name,total_players,total_games,avg_games_per_player,goalkeeper_count,elite_players,team_avg_rating,top_7_rating,top_12_rating,best_position_rating,weighted_position_rating,playing_time_weighted_rating,rating_std,rating_range,best_player_rating,worst_player_rating,positions_represented,position_distribution,season,league
BSH,Bjerringbro-Silkeborg,15,288,19.2,2,7,1246.8,1404.3,1300.4,1340.8,1251.1,1285.2,169.0,515.2,1528.9,1013.7,6,"{'PL': 6, 'HF': 1, 'ST': 3, 'MV': 2, 'VF': 1, 'Ukendt': 2}",2019-2020,Herreliga
SKH,Skjern Håndbold,14,294,21.0,2,5,1221.8,1321.7,1244.6,1303.6,1218.1,1229.6,116.7,378.7,1458.4,1079.7,6,"{'PL': 3, 'HB': 2, 'ST': 4, 'VF': 2, 'HF': 1, 'MV': 2}",2019-2020,Herreliga
AAH,Aalborg Håndbold,15,295,19.666666666666668,2,7,1200.7,1326.0,1236.4,1296.8,1200.4,1204.2,122.5,345.5,1398.2,1052.7,7,"{'PL': 2, 'HB': 3, 'VB': 2, 'ST': 3, 'HF': 1, 'VF': 2, 'MV': 2}",2019-2020,Herreliga
TTH,TTH Holstebro,16,292,18.25,2,5,1179.6,1314.3,1224.4,1314.3,1176.4,1213.9,147.0,517.3,1554.4,1037.1,7,"{'PL': 7, 'HB': 1, 'VF': 1, 'HF': 1, 'ST': 3, 'MV': 2, 'Ukendt': 1}",2019-2020,Herreliga
KIF,KIF Kolding,16,276,17.25,3,5,1162.9,1286.8,1207.2,1259.1,1163.0,1188.0,129.0,396.1,1409.9,1013.8,7,"{'PL': 4, 'VB': 1, 'HF': 2, 'VF': 2, 'ST': 2, 'Ukendt': 2, 'MV': 3}",2019-2020,Herreliga
SJH,SønderjyskE Herrehåndbold,17,310,18.235294117647058,2,3,1161.5,1266.4,1211.1,1263.0,1162.3,1180.2,112.2,425.2,1445.8,1020.6,7,"{'PL': 6, 'VF': 1, 'HF': 2, 'ST': 4, 'HB': 1, 'MV': 2, 'Ukendt': 1}",2019-2020,Herreliga
MTH,Mors-Thy Håndbold,17,315,18.529411764705884,2,3,1158.6,1247.6,1200.6,1243.2,1153.6,1167.7,105.3,400.6,1430.7,1030.1,8,"{'VB': 2, 'HB': 3, 'HF': 1, 'ST': 3, 'PL': 3, 'VF': 2, 'MV': 2, 'Ukendt': 1}",2019-2020,Herreliga
GOG,GOG,16,296,18.5,2,2,1156.2,1256.6,1195.6,1239.9,1151.3,1171.1,125.4,527.3,1541.6,1014.3,8,"{'VB': 1, 'VF': 2, 'PL': 2, 'HF': 2, 'HB': 2, 'ST': 4, 'Ukendt': 1, 'MV': 2}",2019-2020,Herreliga
REH,Ribe-Esbjerg HH,15,291,19.4,2,3,1151.7,1238.5,1180.3,1218.3,1149.6,1167.2,88.2,259.6,1284.5,1024.9,7,"{'HB': 2, 'VF': 2, 'ST': 2, 'PL': 4, 'HF': 2, 'MV': 2, 'Ukendt': 1}",2019-2020,Herreliga
ARH,Århus Håndbold,17,290,17.058823529411764,2,3,1151.3,1279.7,1199.8,1276.9,1154.8,1182.7,140.7,443.0,1460.2,1017.2,7,"{'PL': 6, 'VF': 3, 'ST': 2, 'MV': 2, 'HF': 2, 'Ukendt': 1, 'HB': 1}",2019-2020,Herreliga
LTH,Lemvig-Thyborøn Håndbold,14,289,20.642857142857142,2,1,1139.4,1201.0,1156.6,1179.5,1137.6,1143.9,71.9,239.8,1256.9,1017.1,7,"{'PL': 2, 'HB': 2, 'HF': 1, 'VF': 2, 'VB': 2, 'MV': 2, 'ST': 3}",2019-2020,Herreliga
NSH,Nordsjælland Håndbold,13,271,20.846153846153847,2,2,1129.5,1198.1,1137.9,1184.5,1125.5,1140.4,94.6,300.3,1329.4,1029.1,6,"{'HB': 1, 'PL': 5, 'HF': 1, 'VF': 1, 'ST': 3, 'MV': 2}",2019-2020,Herreliga
FHK,Fredericia Håndbold Klub,17,326,19.176470588235293,2,3,1098.9,1183.9,1130.8,1183.9,1099.0,1113.7,90.9,275.5,1288.9,1013.4,8,"{'MV': 2, 'PL': 5, 'VB': 1, 'HB': 1, 'ST': 3, 'VF': 2, 'HF': 2, 'Ukendt': 1}",2019-2020,Herreliga
