team_code,team_name,total_players,total_games,avg_games_per_player,goalkeeper_count,elite_players,team_avg_rating,top_7_rating,top_12_rating,best_position_rating,weighted_position_rating,playing_time_weighted_rating,rating_std,rating_range,best_player_rating,worst_player_rating,positions_represented,position_distribution,season,league
REH,Ribe-Esbjerg HH,17,471,27.705882352941178,2,13,1334.0,1471.5,1411.7,1464.9,1336.5,1368.1,144.3,491.0,1572.5,1081.5,7,"{'HF': 2, 'PL': 5, 'HB': 3, 'MV': 2, 'ST': 2, 'VF': 2, 'Ukendt': 1}",2023-2024,Herreliga
SKH,Skjern Håndbold,19,432,22.736842105263158,2,12,1325.2,1516.9,1430.6,1509.6,1332.3,1365.6,186.9,742.0,1764.5,1022.5,7,"{'MV': 2, 'PL': 6, 'HB': 3, 'ST': 3, 'HF': 2, 'VF': 2, 'Ukendt': 1}",2023-2024,Herreliga
FHK,Fredericia Håndbold Klub,17,499,29.352941176470587,2,10,1312.5,1515.1,1410.1,1507.0,1317.1,1340.7,211.3,699.0,1755.7,1056.7,6,"{'MV': 2, 'PL': 8, 'VF': 1, 'HF': 2, 'ST': 3, 'Ukendt': 1}",2023-2024,Herreliga
TTH,TTH Holstebro,19,428,22.526315789473685,3,13,1306.8,1434.8,1393.9,1386.8,1308.3,1326.9,132.8,495.3,1571.8,1076.5,6,"{'PL': 8, 'ST': 3, 'VF': 2, 'HB': 1, 'MV': 3, 'HF': 2}",2023-2024,Herreliga
SAH,SAH - Skanderborg AGF,17,384,22.58823529411765,2,11,1301.7,1441.8,1374.7,1395.1,1307.1,1323.6,144.5,536.5,1560.8,1024.3,7,"{'PL': 6, 'MV': 2, 'VF': 2, 'HB': 1, 'ST': 3, 'HF': 2, 'Ukendt': 1}",2023-2024,Herreliga
NSH,Nordsjælland Håndbold,16,386,24.125,3,6,1274.4,1449.1,1331.4,1439.9,1273.8,1294.9,176.8,552.9,1631.5,1078.6,6,"{'PL': 6, 'HF': 1, 'VF': 1, 'MV': 3, 'ST': 3, 'Ukendt': 2}",2023-2024,Herreliga
BSH,Bjerringbro-Silkeborg,17,402,23.647058823529413,2,8,1273.7,1456.9,1349.3,1407.4,1279.9,1312.7,171.5,548.2,1565.4,1017.2,6,"{'PL': 7, 'MV': 2, 'ST': 3, 'HF': 2, 'VF': 2, 'Ukendt': 1}",2023-2024,Herreliga
AAH,Aalborg Håndbold,20,489,24.45,2,10,1262.3,1415.9,1354.2,1400.9,1263.4,1268.3,135.1,487.3,1559.3,1072.0,7,"{'PL': 7, 'VF': 2, 'MV': 2, 'ST': 4, 'HF': 2, 'HB': 2, 'Ukendt': 1}",2023-2024,Herreliga
MTH,Mors-Thy Håndbold,21,468,22.285714285714285,2,9,1250.6,1461.0,1365.5,1450.0,1253.9,1277.7,170.6,579.6,1597.7,1018.1,7,"{'PL': 7, 'MV': 2, 'HF': 2, 'VF': 2, 'Ukendt': 2, 'ST': 5, 'VB': 1}",2023-2024,Herreliga
SJH,SønderjyskE Herrehåndbold,17,363,21.352941176470587,2,7,1248.9,1423.1,1313.2,1406.9,1246.5,1280.7,165.7,587.2,1618.8,1031.6,8,"{'HB': 1, 'MV': 2, 'PL': 5, 'VB': 1, 'VF': 3, 'ST': 2, 'HF': 2, 'Ukendt': 1}",2023-2024,Herreliga
GOG,GOG,18,370,20.555555555555557,2,5,1229.5,1420.6,1310.0,1359.7,1235.4,1253.9,190.8,688.6,1702.2,1013.6,7,"{'PL': 6, 'ST': 4, 'MV': 2, 'HF': 2, 'HB': 1, 'VF': 2, 'Ukendt': 1}",2023-2024,Herreliga
TMH,TMS Ringsted,17,395,23.235294117647058,3,6,1209.5,1355.4,1263.8,1331.2,1210.5,1225.9,140.1,443.7,1487.8,1044.1,8,"{'PL': 6, 'MV': 3, 'HF': 1, 'VB': 1, 'VF': 1, 'HB': 1, 'ST': 3, 'Ukendt': 1}",2023-2024,Herreliga
KIF,KIF Kolding,20,399,19.95,3,6,1201.3,1406.6,1294.8,1403.2,1202.5,1245.9,173.2,545.4,1566.6,1021.2,7,"{'PL': 8, 'VF': 2, 'ST': 3, 'MV': 3, 'HF': 2, 'Ukendt': 1, 'VB': 1}",2023-2024,Herreliga
LTH,Lemvig-Thyborøn Håndbold,16,340,21.25,2,6,1201.0,1297.4,1247.1,1260.2,1205.7,1207.0,103.7,362.8,1389.1,1026.3,6,"{'MV': 2, 'PL': 6, 'ST': 3, 'VB': 1, 'HF': 2, 'VF': 2}",2023-2024,Herreliga
