team_code,team_name,total_players,total_games,avg_games_per_player,goalkeeper_count,elite_players,team_avg_rating,top_7_rating,top_12_rating,best_position_rating,weighted_position_rating,playing_time_weighted_rating,rating_std,rating_range,best_player_rating,worst_player_rating,positions_represented,position_distribution,season,league
TES,Team Esbjerg,16,446,27.875,2,8,1306.9,1515.4,1389.9,1446.5,1305.5,1328.1,210.9,688.9,1715.9,1027.0,6,"{'PL': 5, 'HB': 2, 'HF': 2, 'ST': 3, 'VF': 2, 'MV': 2}",2023-2024,Kvindeliga
NFH,Nykøbing F. Håndbold,19,501,26.36842105263158,3,8,1238.5,1419.1,1339.2,1358.5,1239.5,1252.1,165.2,541.7,1555.7,1014.0,7,"{'PL': 6, 'ST': 2, 'HB': 1, 'HF': 3, 'VF': 2, 'Ukendt': 2, 'MV': 3}",2023-2024,Kvindeliga
IKA,Ikast Håndbold,20,469,23.45,3,9,1235.9,1439.8,1353.1,1370.5,1232.7,1274.2,173.5,542.6,1558.2,1015.6,8,"{'VB': 1, 'PL': 4, 'HB': 2, 'VF': 2, 'ST': 3, 'HF': 4, 'Ukendt': 1, 'MV': 3}",2023-2024,Kvindeliga
ODE,Odense Håndbold,20,524,26.2,3,8,1225.3,1418.0,1335.0,1352.6,1221.7,1246.8,170.6,616.4,1628.5,1012.1,7,"{'HB': 1, 'PL': 7, 'VF': 2, 'ST': 3, 'Ukendt': 2, 'HF': 2, 'MV': 3}",2023-2024,Kvindeliga
SJK,SønderjyskE Kvindehåndbold,16,404,25.25,2,7,1218.4,1349.6,1273.4,1319.6,1215.7,1225.3,137.4,425.6,1469.5,1043.9,6,"{'VF': 2, 'PL': 5, 'HF': 2, 'ST': 4, 'HB': 1, 'MV': 2}",2023-2024,Kvindeliga
KBH,København Håndbold,17,408,24.0,3,4,1207.4,1365.5,1279.7,1342.9,1204.0,1237.8,165.6,586.5,1599.3,1012.8,8,"{'VB': 1, 'PL': 5, 'VF': 2, 'HF': 2, 'ST': 2, 'HB': 1, 'MV': 3, 'Ukendt': 1}",2023-2024,Kvindeliga
VHK,Viborg HK,17,421,24.764705882352942,3,7,1200.6,1362.5,1266.1,1320.2,1199.9,1226.6,155.2,540.9,1566.1,1025.2,7,"{'PL': 6, 'VF': 2, 'ST': 2, 'HB': 1, 'HF': 2, 'MV': 3, 'Ukendt': 1}",2023-2024,Kvindeliga
HHE,Horsens Håndbold Elite,18,350,19.444444444444443,3,5,1190.6,1385.5,1269.6,1345.1,1193.6,1242.6,207.5,709.2,1711.4,1002.2,6,"{'PL': 7, 'ST': 2, 'HF': 3, 'VF': 2, 'MV': 3, 'VB': 1}",2023-2024,Kvindeliga
SKB,Skanderborg Håndbold,18,387,21.5,3,4,1189.8,1369.3,1266.9,1353.4,1186.3,1216.8,205.3,858.4,1872.0,1013.6,6,"{'PL': 6, 'HB': 2, 'HF': 2, 'VF': 2, 'ST': 3, 'MV': 3}",2023-2024,Kvindeliga
AAU,Aarhus United,18,355,19.72222222222222,2,4,1179.7,1316.1,1235.3,1302.1,1179.9,1212.5,143.5,476.9,1511.6,1034.7,7,"{'PL': 4, 'VF': 2, 'HB': 1, 'HF': 3, 'ST': 4, 'Ukendt': 2, 'MV': 2}",2023-2024,Kvindeliga
SVK,Silkeborg-Voel KFUM,18,417,23.166666666666668,2,4,1165.6,1304.7,1227.7,1278.7,1165.7,1183.2,135.2,496.9,1515.6,1018.7,6,"{'PL': 6, 'ST': 5, 'HB': 2, 'HF': 1, 'VF': 2, 'MV': 2}",2023-2024,Kvindeliga
RIN,Ringkøbing Håndbold,15,350,23.333333333333332,3,2,1161.3,1266.5,1196.4,1252.8,1161.9,1186.9,139.1,580.4,1596.1,1015.7,6,"{'PL': 5, 'HF': 2, 'ST': 2, 'VF': 2, 'Ukendt': 1, 'MV': 3}",2023-2024,Kvindeliga
AJK,Ajax København,17,297,17.470588235294116,2,2,1103.9,1205.6,1139.0,1194.8,1099.5,1129.4,122.6,425.6,1440.2,1014.6,6,"{'VF': 2, 'HB': 1, 'PL': 6, 'ST': 3, 'HF': 3, 'MV': 2}",2023-2024,Kvindeliga
BFH,Bjerringbro FH,15,404,26.933333333333334,3,1,1089.6,1144.8,1105.9,1137.5,1089.7,1096.6,74.0,294.1,1310.4,1016.3,5,"{'PL': 5, 'ST': 3, 'HF': 2, 'VF': 2, 'MV': 3}",2023-2024,Kvindeliga
