team_code,team_name,total_players,total_games,avg_games_per_player,goalkeeper_count,elite_players,team_avg_rating,top_7_rating,top_12_rating,best_position_rating,weighted_position_rating,playing_time_weighted_rating,rating_std,rating_range,best_player_rating,worst_player_rating,positions_represented,position_distribution,season,league
TES,Team Esbjerg,14,263,18.785714285714285,2,1,1137.8,1217.7,1156.4,1204.8,1137.0,1144.0,99.5,367.8,1392.9,1025.1,6,"{'PL': 4, 'ST': 3, 'HB': 2, 'HF': 1, 'VF': 2, 'MV': 2}",2019-2020,Kvindeliga
VHK,Viborg HK,15,277,18.466666666666665,2,2,1135.2,1223.8,1161.6,1182.3,1136.8,1145.2,108.7,401.9,1426.9,1025.0,6,"{'PL': 4, 'HB': 2, 'ST': 3, 'HF': 2, 'VF': 2, 'MV': 2}",2019-2020,Kvindeliga
NFH,Nykøbing F. Håndbold,16,272,17.0,2,2,1118.6,1211.9,1149.1,1190.6,1117.8,1137.0,93.4,294.2,1312.1,1017.9,7,"{'PL': 5, 'HB': 1, 'VF': 2, 'ST': 2, 'HF': 3, 'VB': 1, 'MV': 2}",2019-2020,Kvindeliga
SVK,Silkeborg-Voel KFUM,16,280,17.5,2,1,1117.0,1200.7,1149.1,1189.7,1116.9,1125.5,95.7,356.9,1368.2,1011.3,6,"{'PL': 6, 'HB': 2, 'ST': 2, 'VF': 2, 'HF': 2, 'MV': 2}",2019-2020,Kvindeliga
AAU,Aarhus United,16,276,17.25,2,2,1103.9,1181.8,1130.6,1165.7,1104.4,1120.4,82.5,264.1,1279.1,1015.0,6,"{'PL': 6, 'VF': 2, 'HF': 2, 'ST': 3, 'Ukendt': 1, 'MV': 2}",2019-2020,Kvindeliga
KBH,København Håndbold,16,288,18.0,3,1,1100.8,1188.3,1128.0,1178.5,1101.4,1118.8,90.6,299.4,1314.4,1015.0,7,"{'PL': 3, 'ST': 1, 'HF': 2, 'VF': 3, 'HB': 2, 'MV': 3, 'VB': 2}",2019-2020,Kvindeliga
EHA,EH Aalborg,16,289,18.0625,2,1,1089.4,1156.9,1111.3,1149.8,1089.9,1095.9,74.1,248.1,1265.6,1017.5,5,"{'PL': 6, 'HF': 2, 'ST': 3, 'VF': 3, 'MV': 2}",2019-2020,Kvindeliga
AJK,Ajax København,16,305,19.0625,2,0,1084.6,1138.1,1105.2,1131.3,1084.0,1090.6,60.6,216.1,1229.6,1013.5,6,"{'PL': 7, 'HF': 2, 'VF': 2, 'ST': 2, 'HB': 1, 'MV': 2}",2019-2020,Kvindeliga
SKB,Skanderborg Håndbold,16,278,17.375,2,0,1082.1,1139.4,1103.5,1127.5,1080.6,1096.5,57.3,171.6,1185.3,1013.7,6,"{'PL': 7, 'HF': 2, 'VF': 2, 'ST': 2, 'VB': 1, 'MV': 2}",2019-2020,Kvindeliga
HHE,Horsens Håndbold Elite,19,263,13.842105263157896,3,0,1045.0,1082.8,1061.7,1074.5,1044.8,1055.3,35.5,138.3,1150.2,1011.9,7,"{'PL': 5, 'VB': 1, 'HF': 3, 'ST': 3, 'VF': 3, 'HB': 1, 'MV': 3}",2019-2020,Kvindeliga
