team_code,team_name,total_players,total_games,avg_games_per_player,goalkeeper_count,elite_players,team_avg_rating,top_7_rating,top_12_rating,best_position_rating,weighted_position_rating,playing_time_weighted_rating,rating_std,rating_range,best_player_rating,worst_player_rating,positions_represented,position_distribution,season,league
SKH,Skjern Håndbold,16,436,27.25,2,11,1366.3,1546.7,1451.6,1546.7,1370.3,1416.3,209.7,819.0,1837.2,1018.2,6,"{'MV': 2, 'PL': 6, 'ST': 3, 'VF': 2, 'HF': 2, 'HB': 1}",2024-2025,Herreliga
SAH,SAH - Skanderborg AGF,17,411,24.176470588235293,2,12,1328.1,1470.1,1393.0,1443.7,1332.0,1352.4,139.6,511.8,1619.8,1108.0,8,"{'PL': 4, 'VF': 2, 'HF': 3, 'MV': 2, 'VB': 1, 'ST': 3, 'HB': 1, 'Ukendt': 1}",2024-2025,Herreliga
BSH,Bjerringbro-Silkeborg,16,392,24.5,2,10,1323.3,1497.1,1394.4,1469.7,1327.1,1343.4,178.3,546.2,1612.2,1066.0,6,"{'MV': 2, 'PL': 5, 'HB': 2, 'ST': 4, 'HF': 1, 'VF': 2}",2024-2025,Herreliga
TTH,TTH Holstebro,18,453,25.166666666666668,3,12,1316.4,1477.0,1412.1,1453.3,1318.7,1340.7,163.6,561.2,1585.1,1023.9,6,"{'PL': 5, 'VB': 1, 'VF': 2, 'MV': 3, 'ST': 4, 'HF': 3}",2024-2025,Herreliga
REH,Ribe-Esbjerg HH,17,363,21.352941176470587,2,9,1300.3,1443.3,1371.5,1442.8,1300.4,1335.5,140.6,429.5,1512.8,1083.3,5,"{'HF': 2, 'PL': 9, 'ST': 2, 'VF': 2, 'MV': 2}",2024-2025,Herreliga
AAH,Aalborg Håndbold,20,465,23.25,3,11,1277.5,1429.5,1365.2,1420.7,1276.0,1278.6,137.8,540.6,1607.7,1067.1,5,"{'PL': 10, 'MV': 3, 'VF': 2, 'HF': 2, 'ST': 3}",2024-2025,Herreliga
MTH,Mors-Thy Håndbold,18,428,23.77777777777778,2,8,1274.1,1487.6,1363.1,1462.7,1279.3,1316.7,191.2,595.3,1645.4,1050.1,7,"{'PL': 5, 'MV': 2, 'HF': 2, 'VF': 3, 'HB': 1, 'ST': 3, 'Ukendt': 2}",2024-2025,Herreliga
NSH,Nordsjælland Håndbold,17,402,23.647058823529413,2,7,1271.0,1450.6,1352.2,1416.5,1272.8,1296.9,171.2,546.5,1564.3,1017.8,6,"{'HF': 1, 'PL': 6, 'MV': 2, 'HB': 3, 'ST': 3, 'VF': 2}",2024-2025,Herreliga
TMH,TMS Ringsted,18,388,21.555555555555557,2,6,1244.2,1438.4,1330.1,1418.8,1251.1,1285.0,180.9,599.9,1624.4,1024.5,8,"{'PL': 6, 'HF': 1, 'MV': 2, 'VF': 2, 'ST': 3, 'Ukendt': 2, 'VB': 1, 'HB': 1}",2024-2025,Herreliga
FHK,Fredericia Håndbold Klub,20,405,20.25,3,8,1233.9,1446.0,1334.7,1431.9,1237.3,1255.2,172.8,587.8,1611.4,1023.6,7,"{'MV': 3, 'PL': 8, 'VF': 2, 'HF': 2, 'ST': 3, 'Ukendt': 1, 'HB': 1}",2024-2025,Herreliga
KIF,KIF Kolding,19,310,16.31578947368421,2,8,1216.7,1401.4,1313.9,1400.8,1218.9,1268.4,166.8,544.4,1565.9,1021.5,7,"{'PL': 5, 'HB': 2, 'ST': 5, 'VF': 2, 'MV': 2, 'HF': 2, 'VB': 1}",2024-2025,Herreliga
GOG,GOG,19,459,24.157894736842106,2,6,1214.2,1382.5,1292.3,1360.9,1217.3,1247.6,157.8,588.7,1605.0,1016.3,7,"{'PL': 4, 'HB': 2, 'ST': 4, 'MV': 2, 'HF': 3, 'VF': 3, 'Ukendt': 1}",2024-2025,Herreliga
SJH,SønderjyskE Herrehåndbold,17,368,21.647058823529413,2,3,1205.9,1332.9,1255.5,1332.9,1210.0,1232.7,165.3,751.9,1773.8,1021.9,7,"{'PL': 6, 'ST': 3, 'MV': 2, 'VF': 2, 'HF': 2, 'Ukendt': 1, 'VB': 1}",2024-2025,Herreliga
GIF,Grindsted GIF Håndbold,19,473,24.894736842105264,2,2,1145.3,1245.0,1193.6,1230.4,1147.1,1178.6,108.6,461.5,1489.1,1027.6,7,"{'PL': 7, 'VF': 2, 'MV': 2, 'HB': 2, 'Ukendt': 1, 'ST': 3, 'HF': 2}",2024-2025,Herreliga
