team_code,team_name,total_players,total_games,avg_games_per_player,goalkeeper_count,elite_players,team_avg_rating,top_7_rating,top_12_rating,best_position_rating,weighted_position_rating,playing_time_weighted_rating,rating_std,rating_range,best_player_rating,worst_player_rating,positions_represented,position_distribution,season,league
TES,Team Esbjerg,16,429,26.8125,3,7,1276.5,1472.5,1347.8,1404.7,1275.6,1296.9,190.7,567.6,1623.0,1055.4,7,"{'PL': 4, 'ST': 3, 'HF': 2, 'HB': 1, 'VF': 2, 'VB': 1, 'MV': 3}",2022-2023,Kvindeliga
ODE,Odense Håndbold,19,459,24.157894736842106,3,11,1258.5,1415.7,1350.7,1346.6,1257.4,1260.0,146.9,507.2,1565.9,1058.7,7,"{'PL': 7, 'VB': 1, 'ST': 3, 'VF': 2, 'HF': 2, 'MV': 3, 'Ukendt': 1}",2022-2023,Kvindeliga
IKA,Ikast Håndbold,17,461,27.11764705882353,2,7,1251.2,1412.6,1326.7,1375.2,1248.0,1280.2,166.7,605.0,1616.0,1011.0,8,"{'PL': 3, 'VB': 2, 'HB': 2, 'VF': 2, 'ST': 3, 'HF': 2, 'MV': 2, 'Ukendt': 1}",2022-2023,Kvindeliga
NFH,Nykøbing F. Håndbold,20,450,22.5,3,8,1231.0,1423.2,1331.8,1381.7,1231.0,1274.8,164.0,612.8,1627.4,1014.6,7,"{'PL': 7, 'VF': 2, 'Ukendt': 2, 'ST': 2, 'HF': 2, 'HB': 2, 'MV': 3}",2022-2023,Kvindeliga
AAU,Aarhus United,17,381,22.41176470588235,2,5,1204.5,1385.0,1268.8,1354.1,1205.2,1236.7,193.3,700.7,1721.9,1021.2,7,"{'PL': 4, 'VF': 2, 'VB': 1, 'HF': 3, 'HB': 1, 'ST': 4, 'MV': 2}",2022-2023,Kvindeliga
SVK,Silkeborg-Voel KFUM,19,345,18.157894736842106,2,6,1201.2,1394.6,1290.6,1320.5,1202.3,1243.4,168.9,563.3,1581.9,1018.6,7,"{'PL': 6, 'HB': 1, 'ST': 4, 'HF': 2, 'VF': 2, 'Ukendt': 2, 'MV': 2}",2022-2023,Kvindeliga
SKB,Skanderborg Håndbold,17,362,21.294117647058822,2,4,1196.3,1355.1,1256.0,1333.2,1197.3,1218.4,170.5,543.9,1584.9,1041.0,7,"{'PL': 7, 'VF': 2, 'Ukendt': 1, 'ST': 2, 'HF': 2, 'HB': 1, 'MV': 2}",2022-2023,Kvindeliga
VHK,Viborg HK,17,338,19.88235294117647,3,5,1181.4,1311.9,1242.0,1285.0,1180.2,1208.6,138.7,468.9,1483.3,1014.4,5,"{'PL': 7, 'VF': 2, 'ST': 3, 'HF': 2, 'MV': 3}",2022-2023,Kvindeliga
SJK,SønderjyskE Kvindehåndbold,16,357,22.3125,2,3,1174.0,1288.5,1220.3,1265.0,1170.4,1190.5,124.9,438.3,1446.3,1008.0,8,"{'VB': 2, 'HF': 2, 'PL': 4, 'ST': 2, 'VF': 2, 'HB': 1, 'MV': 2, 'Ukendt': 1}",2022-2023,Kvindeliga
RIN,Ringkøbing Håndbold,14,311,22.214285714285715,3,4,1168.4,1269.9,1192.4,1252.7,1164.8,1184.4,131.4,469.2,1484.2,1015.0,6,"{'PL': 4, 'HB': 1, 'ST': 3, 'HF': 2, 'VF': 1, 'MV': 3}",2022-2023,Kvindeliga
KBH,København Håndbold,17,380,22.352941176470587,3,2,1164.0,1262.2,1211.6,1246.2,1158.0,1173.8,121.5,536.6,1551.2,1014.6,7,"{'VB': 2, 'VF': 2, 'HF': 2, 'ST': 3, 'PL': 4, 'HB': 1, 'MV': 3}",2022-2023,Kvindeliga
HHE,Horsens Håndbold Elite,22,331,15.045454545454545,3,5,1154.2,1309.1,1243.8,1254.6,1156.9,1175.4,122.8,399.5,1419.4,1019.9,7,"{'PL': 6, 'VF': 4, 'HB': 3, 'ST': 2, 'MV': 3, 'HF': 3, 'Ukendt': 1}",2022-2023,Kvindeliga
AJK,Ajax København,19,420,22.105263157894736,3,2,1121.5,1219.5,1163.0,1207.0,1118.5,1140.6,105.6,441.4,1456.6,1015.2,8,"{'VF': 2, 'HB': 1, 'PL': 7, 'ST': 2, 'HF': 2, 'Ukendt': 1, 'MV': 3, 'VB': 1}",2022-2023,Kvindeliga
