season,teams,total_matches,avg_rating,elite_teams,max_rating
2020-2021,14,182,1396.0,3,1638.6
2021-2022,15,218,1395.9,3,1747.9
2022-2023,15,201,1395.1,2,1730.0
2023-2024,15,227,1382.1,3,1757.9
2024-2025,14,182,1390.5,3,1737.7
