team_code,team_name,seasons_played,avg_rating,peak_rating,total_games,career_change,consistency
AAH,Aalborg Håndbold,5,1624.0,1669.8,146,101.7,45.3
GOG,GOG,5,1572.4,1663.3,140,3.2,70.5
BSH,Bjerringbro-Silkeborg,5,1501.1,1551.6,136,-86.4,40.5
SKA,SKA,3,1453.8,1513.2,73,147.2,63.3
SKH,Skjern Håndbold,5,1443.8,1498.6,142,67.2,39.1
FRE,FRE,4,1408.6,1535.1,114,243.1,86.1
TTH,TTH Holstebro,5,1382.1,1531.8,143,-110.2,86.7
MTH,Mors-Thy Håndbold,5,1358.6,1466.7,132,186.5,68.7
SØN,SØN,4,1355.4,1445.4,104,-121.2,52.4
REH,Ribe-Esbjerg HH,5,1338.6,1384.7,134,-103.2,40.3
SKI,SKI,3,1337.1,1429.5,32,-107.3,70.1
KIF,KIF Kolding,5,1315.0,1478.1,129,-112.3,94.8
TMS,TMS,4,1314.7,1347.7,100,51.2,31.6
NSH,Nordsjælland Håndbold,4,1277.2,1322.9,114,-28.7,33.7
LEM,LEM,4,1254.0,1303.4,102,-103.6,49.4
