player,seasons_played,avg_rating,peak_rating,total_games,career_change,consistency,primary_position
Anne BRINCH-NIELSEN,3,1285.9,1351.5,57,131.6,53.7,HF
Melanie BAK,3,1285.8,1356.4,49,149.0,61.1,PL
Tobias MYGIND,4,1285.8,1312.4,24,54.5,24.8,PL
Jon KATBALLE,3,1285.4,1323.5,55,101.9,45.4,PL
Hanna BLOMSTRAND,5,1285.3,1341.7,91,134.2,48.0,HB
Kasper LARSEN,8,1285.2,1354.4,30,126.3,48.3,MV
Tobias OLSEN,5,1285.1,1320.8,41,118.3,42.5,HB
Trine Østergaard JENSEN,3,1285.0,1346.9,60,134.1,55.2,HF
Kasper LINDGREN,8,1284.9,1370.2,76,163.2,52.8,ST
Tim WINKLER,8,1284.7,1343.5,33,118.5,47.0,MV
Nikoline SAX,3,1284.7,1329.9,26,128.2,58.7,PL
Maria Krogh HOLM,3,1284.6,1322.2,39,87.7,36.9,HF
Debbie BONT,3,1284.4,1334.7,64,106.3,43.6,HF
Emma Gandrup ERNST,4,1284.4,1336.5,33,136.2,51.3,PL
Sveinn JÓHANNSSON,4,1284.4,1318.4,53,89.6,35.8,ST
Louise BURGAARD,3,1284.2,1368.3,64,10.2,59.6,HB
Signe SCHAAR,4,1284.2,1323.9,71,80.0,31.1,VF
Anne-Sofie FILTENBORG,5,1284.0,1340.8,78,117.9,41.0,HF
Frederik Bo ANDERSEN,4,1283.5,1326.8,65,101.5,37.9,HF
Emil TELLERUP,7,1283.4,1319.4,32,113.7,42.0,MV
Emma MOGENSEN,7,1283.2,1322.3,74,121.2,40.3,ST
Mads THYMANN,4,1283.2,1310.8,74,9.8,16.3,VB
Tim RANTALA,3,1283.1,1330.0,57,104.3,43.2,ST
Andreas HAAGEN,4,1282.6,1301.4,30,52.0,20.9,MV
Josefine DRAGENBERG,7,1282.5,1350.0,109,134.3,49.0,ST
Magnus SØNNICHSEN,3,1282.2,1335.4,41,130.7,56.1,HF
Martin Risom CHRISTENSEN,3,1281.7,1395.2,47,191.5,82.1,HB
Ricka Falk GINDRUP,4,1281.3,1365.1,57,156.5,57.1,ST
Kristoffer LAURSEN,8,1280.9,1331.4,34,103.3,42.7,MV
Christian Sabroe HOLM,4,1280.8,1324.0,40,123.2,47.4,PL
Maria Berger WIERZBA,3,1280.8,1374.6,61,171.2,70.8,PL
Andreas DYSSEHOLM,4,1280.8,1316.2,13,106.4,45.1,HF
Stine Ruscetta SKOGRAND,3,1280.6,1351.0,39,125.5,52.4,PL
Sanna Charlotte SOLBERG,3,1280.5,1316.0,57,73.0,29.8,VF
Sofie FLADER,6,1279.7,1365.8,95,165.2,63.2,ST
Mishels LIABA,3,1279.7,1297.8,26,53.0,25.1,VB
Mads BJERGFELT,3,1279.5,1328.8,26,127.4,55.9,PL
Anne Cecilie DE LA COUR,3,1279.3,1353.0,69,0.6,52.1,HB
Arlinda HAJDARI,3,1279.0,1347.4,62,145.8,59.9,HB
Jamina ROBERTS,3,1279.0,1314.9,58,-14.6,26.1,PL
Kasper OLSEN,4,1278.9,1338.3,61,-54.1,49.5,VB
Lukas JØRGENSEN,4,1278.9,1378.1,98,157.3,60.2,ST
Anna VENG,5,1278.9,1318.5,27,112.7,42.8,MV
Christian TERMANSEN,4,1278.8,1329.6,24,119.8,46.0,HB
Frederik BØRM,5,1278.5,1341.3,75,44.7,48.4,ST
Camilla PYTLICK,3,1278.5,1332.6,35,131.8,56.3,PL
Steinunn HANSDOTTIR,3,1278.5,1305.5,58,55.5,22.7,VF
Stine BONDE,5,1278.5,1311.4,18,111.1,41.8,MV
Mads Emil Bayer LENBROCH,4,1278.1,1347.1,34,147.6,55.3,VF
Rasmus BECH,4,1277.5,1327.2,14,124.7,52.0,MV
Nicklas Graugaard NIELSEN,3,1277.3,1288.1,4,27.1,11.7,MV
Magnus Haubro JENSEN,3,1277.1,1356.7,31,154.8,63.3,PL
Ann Grete NØRGAARD,3,1276.8,1302.0,71,71.9,33.1,VF
Andreas MAGAARD,3,1276.7,1364.1,63,148.0,63.3,ST
Sarah Vest KIRKELØKKE,5,1276.6,1344.4,87,132.4,47.2,ST
Mathias SMED,4,1276.2,1312.3,12,110.8,45.5,PL
Andreas Johann NIELSEN,4,1275.9,1324.0,90,-3.0,35.8,ST
Sabine ENGLERT,8,1275.6,1330.8,62,131.8,40.0,MV
Sabine PEDERSEN,3,1275.5,1336.2,50,132.3,54.6,ST
Althea REINHARDT,7,1275.4,1312.4,20,110.3,37.2,MV
Amalie MILLING,7,1275.3,1314.9,22,115.2,37.1,MV
Maja Eiberg JØRGENSEN,4,1275.2,1326.7,68,60.3,44.8,PL
Christina HANSEN,3,1275.1,1317.8,36,71.8,30.8,ST
Arnar Birkir HÁLFDÁNSSON,3,1275.0,1319.2,47,-43.2,35.9,HB
Aia Høgh RAADSHØJ,3,1275.0,1348.2,35,147.7,60.3,PL
Maria HØJGAARD,3,1274.8,1320.0,15,117.4,51.6,VF
Sarah STOUGAARD,3,1274.1,1311.8,70,78.6,32.2,VF
Tobias Torpegaard MØLLER,4,1274.0,1330.9,63,-53.0,48.5,VF
Mads Kalstrup HONORÉ,3,1273.8,1315.5,65,88.5,36.3,ST
Tine GEERTSEN,3,1273.5,1317.7,12,116.7,51.7,PL
Mette LASSEN,3,1273.4,1317.0,51,84.1,34.4,VF
Viktor Gisli HALLGRIMSSON,3,1273.2,1285.4,24,34.4,16.5,MV
Emil JESSEN,4,1273.0,1319.8,79,61.9,29.1,PL
Amalie Grøn HANSEN,6,1272.8,1307.2,55,96.2,35.7,VF
Vetle RØNNINGEN,5,1272.7,1320.7,56,108.5,36.9,ST
Mikkel HANSEN,6,1272.5,1373.5,63,172.2,51.8,VF
Nicolai Pugholm HVID,3,1272.4,1318.8,37,109.9,46.5,ST
Martina THÖRN,7,1272.1,1308.6,40,103.9,35.4,MV
Magnus SØNDENÅ,3,1271.4,1287.6,39,38.7,16.4,HF
Einar ÓLAFSSON,3,1271.0,1313.6,18,111.6,49.2,ST
Fredrik Schilling SØRENSEN,3,1270.7,1286.9,42,41.8,18.3,VF
Thorsten FRIES,5,1270.5,1324.5,20,122.5,47.6,MV
Valdemar HERMANSEN,3,1269.7,1323.7,21,117.4,48.4,ST
Ida Marie KAYSEN,3,1268.7,1306.5,3,107.0,49.0,MV
Mikael AGGEFORS,6,1268.6,1313.8,43,91.7,39.7,MV
Jesper Meinby PEDERSEN,3,1268.4,1296.1,75,-1.4,19.6,HF
Anna KRISTENSEN,7,1267.8,1316.3,59,117.1,39.7,MV
Line UNO,4,1267.6,1344.2,76,111.4,46.5,PL
Sarah Nørklit LØNBORG,4,1267.4,1307.3,34,108.5,41.2,MV
Patrick WIESMACH,3,1267.3,1290.3,61,-10.8,25.3,HF
Anders FLÆNG,3,1267.0,1320.0,10,117.2,48.5,HF
Sofie Amalie OLSEN,3,1266.9,1311.6,45,97.7,40.3,HF
Michala Elsberg MØLLER,4,1266.8,1308.8,57,88.9,40.3,PL
Jacob ØSTERGAARD,5,1266.7,1296.4,61,70.8,29.6,ST
Caroline GADE,3,1266.6,1316.7,8,114.7,47.9,HF
Nikolai Skovmand VINTHER,3,1266.5,1300.8,48,79.5,33.4,HF
Line JØRGENSEN,3,1266.5,1305.5,63,-32.2,30.6,HB
Frederik Kiehn CLAUSEN,3,1265.8,1271.1,46,11.4,6.0,PL
Thomas Bohl DAMGAARD,4,1265.8,1364.8,64,163.8,60.8,PL
Laura JENSEN,4,1265.2,1311.5,66,97.7,43.7,PL
Nycke GROOT,3,1265.0,1346.8,52,-43.4,60.5,PL
Nikolaj Juhl PETERSEN,3,1264.7,1311.6,7,111.1,47.0,PL
Jonas Bruus TIDEMAND,3,1264.5,1299.5,47,82.5,34.8,ST
Naja Nissen KRISTENSEN,3,1263.2,1324.7,53,119.0,48.7,VF
Peter LUND,7,1262.5,1318.3,47,116.1,41.9,HF
Jessica RYDE,5,1261.8,1291.9,18,92.6,34.2,MV
Jessica Da Silva QUINTINO,3,1261.6,1277.6,33,42.3,18.7,HF
Celine Lundbye KRISTIANSEN12,4,1261.6,1291.6,14,86.6,35.1,HF
Jonas RAUNDAHL,3,1261.2,1339.1,48,137.6,57.6,ST
Stine KRISTENSEN,3,1261.1,1316.5,54,101.3,41.9,HF
Caroline Amalie RASMUSSEN,3,1260.7,1294.2,25,58.8,24.7,PL
Frederikke Glavind HEDEGAARD,3,1260.2,1308.3,50,79.0,34.5,HF
Tonje LØSETH,4,1260.1,1319.2,80,-78.6,45.1,PL
Steven Plucnar JACOBSEN,3,1259.8,1295.5,51,77.9,40.6,ST
Stine BROLØS,6,1259.7,1317.6,23,117.8,47.2,MV
Stine Baun ERIKSEN,5,1258.9,1298.7,39,98.8,36.8,PL
Lasse HØJGAARD,3,1258.6,1299.0,10,93.7,39.3,VF
Clara MONTI DANIELSSON,3,1257.7,1292.0,44,74.9,30.9,ST
Nickolei JENSEN,5,1257.6,1324.5,55,34.7,49.1,PL
Daniel GULDSMED,4,1257.6,1321.8,27,94.7,53.0,ST
Rikke POULSEN,6,1257.5,1295.3,18,94.3,33.7,MV
Stine Bodholt NIELSEN,4,1257.4,1287.8,75,55.1,26.8,ST
Simone Monsrud PEDERSEN,4,1256.9,1295.7,59,11.1,28.8,ST
Mathias MØLLER,3,1256.4,1306.0,40,76.9,35.1,PL
Louise EGESTORP,4,1256.4,1309.7,18,112.0,41.7,MV
Jimmi ANDERSEN,5,1256.3,1314.4,31,118.9,47.9,MV
Lasse KRONBORG,3,1256.1,1262.7,33,10.8,4.7,ST
Celine Elkjær HOLST,3,1256.0,1305.2,34,104.2,42.7,ST
Emily Stang SANDO,6,1255.4,1314.2,28,114.4,47.8,MV
Lykke Frank HANSEN,3,1255.1,1287.8,14,84.2,36.9,PL
Anders AGGER,5,1255.0,1317.7,75,113.0,40.2,ST
Emma FRIBERG,6,1254.9,1297.4,32,94.4,33.5,MV
Cecilie GREVE,7,1254.6,1309.6,38,106.7,41.3,MV
Malene AAMBAKK,3,1254.0,1291.5,54,72.7,29.7,HB
Jesper LINDGREN,4,1253.2,1314.1,17,110.6,50.5,ST
Sune IVERSEN,3,1252.8,1271.0,48,6.0,21.7,VF
Celine Lundbye KRISTIANSENRetur,5,1252.4,1289.9,17,89.6,33.2,PL
Daniela GUSTIN,3,1252.2,1317.9,33,116.2,48.7,HF
Sebastian SKØTT,4,1251.8,1319.1,22,-1.0,52.6,VF
Malte JUSTESEN,3,1250.4,1338.8,32,131.1,62.5,VF
Ulrik Nøddesbo EGGERT,3,1250.3,1273.1,31,-66.6,31.0,HB
Jakob HESSELLUND,3,1249.5,1269.5,26,59.7,28.0,HF
Johanna BUNDSEN,5,1248.7,1278.9,42,79.2,30.4,MV
Lasse HAMANN-BOERITHS,4,1248.3,1284.6,27,70.1,29.1,PL
Kamilla LARSEN,3,1248.1,1289.2,10,87.9,36.1,ST
Johan Thesbjerg KOFOED,3,1247.9,1283.1,10,77.4,32.0,PL
Ronnie NICOLAISEN,6,1247.6,1309.9,18,103.4,38.5,MV
Jonas Kruse KRISTENSEN,3,1247.6,1286.5,46,80.4,32.9,PL
Tania Bilde KNUDSEN,3,1247.2,1296.9,30,17.9,35.9,HF
Tea THOMASSEN,3,1246.8,1325.7,24,6.3,55.8,PL
Siw AABECH,3,1246.6,1285.8,43,76.9,31.4,PL
Hans Martin ASMUSSEN,3,1246.4,1261.1,23,22.7,10.4,HF
Lotte VESTERGAARD,3,1246.4,1283.9,34,64.1,27.3,PL
Aimée Von PEREIRA,3,1246.3,1289.4,59,26.2,32.3,PL
Katja JOHANSEN,3,1246.2,1288.4,28,36.5,33.3,VF
Rikke THORNGAARD,3,1246.0,1280.5,29,63.5,26.2,PL
Maja Edling LAURITSEN,3,1245.2,1283.6,43,81.1,33.3,VF
Sofie SCHELDE-RASMUSSEN,4,1245.1,1279.7,39,78.0,30.6,PL
Oliver JUHL,3,1244.6,1321.0,30,6.1,54.1,HF
Emilie YTTING,3,1244.6,1269.9,41,45.8,19.0,VF
Magnus KRONBORG,3,1244.2,1262.9,40,22.7,16.1,PL
Pelle SCHILLING,3,1243.6,1293.4,31,-21.4,36.3,VF
Filippa IDÉHN,5,1243.5,1310.6,47,111.0,45.9,MV
Sara KECECI,3,1242.9,1277.8,3,78.3,32.5,MV
Klaus THOMSEN,4,1242.2,1279.7,6,78.7,29.5,PL
Rikke Marie GRANLUND,3,1241.9,1274.8,25,71.7,29.6,MV
Nora PERSSON,4,1241.4,1292.4,7,93.0,42.7,MV
Jens Dolberg PLOUGSTRUP,4,1240.6,1310.0,42,3.3,43.4,PL
Mathilde JUNCKER,5,1240.6,1297.9,27,100.8,39.3,MV
Rickard FRISK,3,1239.9,1274.1,22,76.3,31.6,MV
Rasmus MADSEN,3,1239.5,1253.8,59,33.1,16.9,PL
Marianne HAUGSTED,3,1239.2,1271.9,32,42.7,29.0,PL
Mathilde HYLLEBERG,4,1239.0,1285.1,42,-64.5,37.2,HF
Suzanne BÆKHØJ,3,1238.3,1262.7,31,56.3,23.6,VF
Anne-Sofie Filtenborg NIELSEN,3,1236.7,1271.5,17,67.2,27.5,HF
Claudia ROMPEN,4,1236.6,1302.5,21,103.5,41.2,MV
Emil LA COUR,3,1236.6,1302.9,14,101.9,46.9,VF
Sebastian Reimer THOR,3,1236.4,1254.0,50,22.8,12.8,ST
Mads KALSTRUP,3,1236.3,1261.4,29,60.6,25.8,ST
Kenneth Bach HANSEN,3,1236.0,1284.3,26,62.0,35.2,HF
Christoffer LANGERHUUS,3,1235.6,1301.6,20,1.7,46.7,ST
Elin THORSTEINSDOTTIR,4,1235.2,1284.2,21,5.8,34.8,MV
Anders PETERSEN,3,1235.1,1270.5,9,67.2,27.6,MV
Kristian Dahl PEDERSEN,3,1235.1,1268.1,17,61.6,25.3,MV
Natasja CLAUSEN,4,1234.7,1283.7,8,80.8,35.2,MV
Anton LAURSEN,3,1234.5,1260.6,17,58.3,24.2,PL
Othilia Brøndum CHRISTENSEN,3,1234.5,1257.2,31,55.5,23.8,PL
Julie BJERREGAARD,3,1234.2,1296.2,5,96.3,43.9,VF
Sofia Bro STENHOLT,3,1234.1,1302.2,19,102.2,48.1,HB
Rasmus THIEMER-JENSEN,3,1233.9,1249.4,22,39.9,17.5,ST
Susanne MADSEN,4,1233.0,1248.5,52,48.0,19.7,VB
Julie Gantzel PEDERSEN,3,1232.8,1251.7,21,50.5,22.5,ST
Louise Bak JENSEN,3,1232.5,1301.0,13,103.0,48.4,MV
Camilla FANGEL,4,1232.2,1284.3,22,84.1,34.8,ST
Rasmus BOYSEN,4,1232.0,1275.4,22,53.7,27.3,PL
Søren PEDERSEN,5,1231.5,1274.1,34,-9.5,26.2,MV
Ditte VIND,4,1231.5,1277.5,16,-1.9,34.8,MV
Matthias SMED,3,1231.4,1259.1,8,57.2,23.4,HB
Cecilie TERMANSEN,3,1231.2,1263.8,45,36.1,25.3,ST
Matilde Kondrup NIELSEN,4,1231.1,1252.4,35,33.9,18.7,VF
Tess WESTER,3,1229.6,1266.9,34,63.0,27.0,MV
Lin JOHANNSEN,3,1228.2,1275.6,11,8.3,33.7,VF
Frank MIKKELSEN,4,1223.7,1243.1,38,-1.3,11.5,MV
Daniel Astrup PEDERSEN,3,1222.5,1256.5,12,1.9,24.0,ST
Jens FREDSGAARD,3,1221.7,1264.6,6,-3.8,30.4,MV
Jonathan SØRENSEN,3,1221.3,1256.2,26,3.5,24.7,HF
Rolf RAVN,3,1220.7,1226.0,25,-13.1,6.5,HB
Mikkel Sandholm MORTENSEN,3,1220.7,1258.3,6,1.3,26.6,HF
Celine Lundbye KRISTIANSEN22,3,1219.8,1254.6,4,-1.6,24.6,VF
Stephanie ANDERSEN,4,1219.7,1275.1,12,6.0,32.1,MV
Josephine NORDSTRØM,3,1218.5,1252.0,5,4.2,23.7,MV
Monika KONGSGAARD,3,1212.5,1239.3,20,2.8,19.0,MV
Mikkel PALMER,3,1211.8,1233.0,9,0.6,15.0,PL
Sophie MOTH,3,1210.6,1223.4,21,-9.1,9.8,MV
Søren Tau SØRENSEN,3,1208.2,1214.8,21,-6.3,5.5,ST
Niels DAHL,3,1203.7,1209.1,11,1.1,3.9,PL
Mads Kjeldgaard ANDERSEN Retur,3,1200.8,1202.0,6,0.3,0.9,PL
