player,seasons_played,avg_rating,peak_rating,total_games,career_change,consistency,primary_position
Jonatan MOLLERUP,4,1407.1,1459.1,102,31.4,44.9,PL
Henny REISTAD,4,1406.4,1451.3,113,119.8,59.0,PL
Trine KNUDSEN,4,1404.9,1457.1,108,25.6,32.7,PL
Mathias JØRGENSEN,8,1404.1,1501.1,211,172.6,72.2,HF
Mathilde NEESGAARD,5,1403.8,1552.5,128,296.6,114.2,PL
Morten Hempel JENSEN,6,1400.0,1474.0,171,187.7,72.5,PL
Johan MEKLENBORG,8,1399.1,1443.2,135,31.4,31.0,PL
Omar Ingi MAGNUSSON,3,1398.9,1488.4,72,45.3,65.9,HB
Alexander LYNGGAARD,5,1397.7,1444.1,145,100.2,52.8,ST
Benjamin PEDERSEN,5,1397.6,1464.3,134,106.1,61.6,ST
Oliver NØDDESBO EGGERT,3,1397.1,1423.8,55,-43.6,19.1,PL
Morten BALLING,8,1396.4,1469.7,201,86.8,53.9,PL
June BØTTGER,8,1396.2,1454.0,198,218.9,78.0,VF
Kristina KRISTIANSEN,8,1395.6,1465.2,205,233.1,78.9,PL
Mai KRAGBALLE,7,1394.6,1521.8,168,307.7,96.4,PL
Bjarte MYRHOL,4,1394.3,1424.0,95,86.5,38.1,ST
Thomas BOILESEN,5,1393.4,1454.5,117,97.6,45.3,PL
Magnus BRAMMING,8,1392.8,1470.4,199,133.5,57.9,VF
Sander ØVERJORDET,4,1392.8,1482.5,96,234.6,94.8,PL
Cecilie SPECHT,5,1391.8,1474.2,137,218.5,81.6,HB
Mads Kjeldgaard ANDERSEN,6,1391.3,1515.9,149,304.5,95.6,PL
Stine JØRGENSEN,6,1390.9,1466.6,148,172.5,68.4,PL
Mark STRANDGAARD,4,1390.1,1436.7,108,121.6,45.4,HF
Emil JAKOBSEN,4,1389.7,1484.4,110,211.3,76.7,VF
Lasse UTH,7,1389.1,1439.0,160,43.7,36.7,VF
Lasse PEDERSEN,8,1388.7,1453.6,205,130.9,53.1,HF
Torben PETERSEN,6,1387.1,1441.7,169,61.2,37.8,PL
Kaja Kamp NIELSEN,7,1387.0,1447.5,196,96.9,49.0,ST
Chris Holm JØRGENSEN,3,1386.1,1466.7,71,169.1,69.3,PL
Oliver NORLYK,5,1385.5,1506.4,124,215.5,92.9,PL
Sebastian BARTHOLD,8,1385.2,1464.8,195,209.2,69.7,VF
Thomas DAMGAARD,3,1384.7,1471.3,82,164.7,67.5,PL
Lois ABBINGH,3,1384.5,1408.4,74,43.3,18.0,PL
Nicolai PEDERSEN,5,1384.2,1437.4,142,-1.9,62.9,PL
René RASMUSSEN,8,1383.6,1444.8,200,103.1,44.4,HF
Kristian STRANDEN,4,1383.6,1458.5,92,119.3,66.6,PL
Lærke NOLSØE,5,1383.1,1447.1,135,139.7,48.8,VF
Michala MØLLER,4,1381.4,1478.7,114,208.2,79.9,PL
Vilde Mortensen INGSTAD,6,1381.2,1496.9,137,269.4,85.1,ST
Henrik MØLLGAARD,7,1380.2,1430.8,145,30.5,44.1,PL
Aksel HORGEN,3,1380.1,1427.6,85,76.6,45.9,HF
Marit Røsberg JACOBSEN,7,1380.0,1426.4,155,89.5,50.2,HF
Emil BERGHOLT,8,1379.8,1544.2,177,187.0,95.5,ST
Matias CAMPBELL,4,1379.3,1449.3,89,178.0,74.8,PL
Nora MØRK,3,1379.0,1482.4,60,46.7,75.5,ST
Bjarke CHRISTENSEN,8,1378.3,1473.1,177,128.3,74.5,VF
Mie HØJLUND,8,1377.2,1451.0,187,175.7,77.0,PL
Andreas FLODMAN,5,1377.1,1440.1,107,84.4,50.3,HF
Stine HOLM,5,1376.5,1396.5,102,57.7,27.8,HF
Jonas SAMUELSSON,5,1376.2,1408.4,124,90.7,39.6,HF
Janus SMARÁSON,3,1374.7,1452.2,86,178.3,74.6,PL
Lars SKAARUP,8,1373.9,1464.1,191,192.5,83.2,VF
Stine SKOGRAND,5,1373.6,1429.0,144,120.3,44.6,PL
Lea HANSEN,8,1373.4,1509.3,166,230.2,87.3,HF
Nicolaj JØRGENSEN,4,1373.2,1576.5,81,341.6,154.5,PL
Emma FRIIS,7,1372.4,1449.5,172,202.8,73.8,VF
Emma LINDQVIST,4,1372.2,1449.4,128,177.5,66.1,HF
Mark NIKOLAJSEN,6,1371.9,1486.9,131,52.5,79.6,PL
Cecilie Mørch HANSEN,5,1371.8,1494.2,124,239.3,82.5,PL
Kristian BJØRNSEN,4,1371.2,1417.3,99,147.9,59.3,HF
Christina PEDERSEN,5,1370.6,1480.1,112,173.4,82.3,PL
Kasper YOUNG,5,1370.6,1449.7,131,121.3,70.5,HF
Michael KNUDSEN,3,1370.1,1416.1,90,113.3,48.6,ST
Rasmus PORUP,5,1370.0,1433.3,99,100.1,61.2,PL
Julie HOLM,5,1369.3,1474.1,110,182.5,96.2,HB
Sara HALD,5,1368.5,1453.3,141,196.2,77.6,ST
Carl-Emil HAUNSTRUP,7,1368.4,1498.8,180,202.4,81.8,HF
Sidsel MEJLVANG,6,1368.0,1438.1,138,106.0,58.7,ST
Anne Tolstrup PETERSEN,7,1367.8,1417.0,126,56.6,28.9,HF
Line HOUGAARD,3,1366.4,1430.3,90,136.3,56.0,HF
Alfred JÖNSSON,4,1366.2,1474.1,91,238.3,85.3,PL
Emma NAVNE,3,1366.0,1462.8,82,179.2,73.9,PL
Julie JENSEN,4,1364.8,1426.1,95,125.2,60.8,HB
Rikke IVERSEN,8,1364.4,1437.1,192,163.8,69.8,ST
Cornelius Kragh AASTRUP,3,1363.6,1471.0,76,227.5,93.3,PL
Mathias BITSCH,5,1363.5,1490.5,122,-98.8,104.3,PL
Sofie Bæk ANDERSEN,5,1363.3,1466.7,91,245.9,80.9,PL
Anna GRUNDTVIG,7,1363.3,1440.7,169,132.4,61.2,VF
Larissa NUSSER,6,1363.2,1459.8,135,112.0,73.3,ST
Jeppe CIESLAK,4,1362.8,1500.1,92,185.2,103.5,VF
Mads Svane KNUDSEN,4,1362.2,1505.0,80,303.2,120.8,PL
Frederik LADEFOGED,5,1361.8,1446.2,120,170.2,55.8,ST
Tobias MØLLER,4,1361.6,1416.1,94,62.6,40.9,VF
Nikolaj NIELSEN,5,1361.5,1385.5,109,82.0,34.9,ST
Cornelius KRAGH,3,1361.0,1498.4,64,297.9,122.7,PL
Mattias THYNELL,3,1360.9,1473.2,48,229.8,93.9,VB
Stine Opstrup KRISTENSEN,4,1359.0,1411.2,77,147.0,56.3,HF
Nikita Van Der VLIET,5,1358.9,1421.5,120,104.0,49.1,ST
Besard HAKAJ,4,1358.6,1385.5,92,101.8,43.4,ST
Odinn RIKHARDSSON,3,1357.9,1441.2,81,145.9,61.3,HF
Sofie BARDRUM,7,1357.2,1446.3,153,240.3,82.7,ST
Oliver Nøddesbo EGGERT,3,1357.0,1405.6,71,117.0,49.8,PL
Oskar Vind RASMUSSEN,3,1356.9,1440.7,79,176.3,72.2,HF
Frederik TILSTED,8,1356.5,1453.2,147,241.6,89.7,PL
Christoffer CICHOSZ,8,1356.4,1436.3,166,142.1,54.1,ST
Magnus SAUGSTRUP,4,1356.2,1477.1,104,228.3,83.6,ST
Johan HANSEN,3,1355.9,1436.1,79,186.3,78.2,HF
Alexander MORSTEN,4,1355.1,1418.2,88,133.1,59.9,ST
Lærke CHRISTENSEN,5,1354.3,1456.8,101,206.9,86.4,HB
Jesper NØDDESBO,4,1354.2,1400.9,99,94.5,46.5,ST
Allan DAMGAARD,4,1353.8,1431.0,91,122.7,63.2,ST
William AAR,4,1353.4,1483.1,100,236.7,97.5,PL
Celine Lundbye KRISTIANSEN,6,1352.6,1417.6,107,140.7,71.1,PL
Thomas MOGENSEN,4,1352.2,1422.0,86,68.3,47.0,PL
Camilla DEGN,8,1352.0,1456.4,129,174.1,64.8,VF
