season,teams,total_matches,avg_rating,elite_teams,max_rating
2020-2021,15,128,1398.4,0,1548.2
2021-2022,16,212,1393.0,2,1663.3
2022-2023,15,203,1394.0,2,1650.2
2023-2024,16,229,1390.6,1,1669.8
2024-2025,15,182,1390.9,1,1639.7
