team_code,season,team_name,league,total_players,avg_rating,file,is_conflict,is_problem,problem_type,leagues_for_code
REH,2022-2023,Ribe-Esbjerg HH,Herreliga,21,1345.3,player_based_herreliga_team_elo_2022_2023.csv,False,False,,Herreliga
REH,2023-2024,Ribe-Esbjerg HH,Herreliga,18,1362.4,player_based_herreliga_team_elo_2023_2024.csv,False,False,,Herreliga
REH,2024-2025,Ribe-Esbjerg HH,Herreliga,17,1353.4,player_based_herreliga_team_elo_2024_2025.csv,False,False,,Herreliga
MTH,2017-2018,Mors-Thy Håndbold,Herreliga,18,1242.4,player_based_herreliga_team_elo_2017_2018.csv,False,False,,Herreliga
MTH,2018-2019,Mors-Thy Håndbold,Herreliga,17,1282.4,player_based_herreliga_team_elo_2018_2019.csv,False,False,,Herreliga
MTH,2019-2020,Mors-Thy Håndbold,Herreliga,20,1298.9,player_based_herreliga_team_elo_2019_2020.csv,False,False,,Herreliga
MTH,2020-2021,Mors-Thy Håndbold,Herreliga,20,1300.8,player_based_herreliga_team_elo_2020_2021.csv,False,False,,Herreliga
MTH,2021-2022,Mors-Thy Håndbold,Herreliga,20,1301.1,player_based_herreliga_team_elo_2021_2022.csv,False,False,,Herreliga
MTH,2022-2023,Mors-Thy Håndbold,Herreliga,20,1283.6,player_based_herreliga_team_elo_2022_2023.csv,False,False,,Herreliga
MTH,2023-2024,Mors-Thy Håndbold,Herreliga,21,1311.5,player_based_herreliga_team_elo_2023_2024.csv,False,False,,Herreliga
MTH,2024-2025,Mors-Thy Håndbold,Herreliga,17,1344.6,player_based_herreliga_team_elo_2024_2025.csv,False,False,,Herreliga
TTH,2017-2018,TTH Holstebro,Herreliga,19,1240.5,player_based_herreliga_team_elo_2017_2018.csv,False,False,,Herreliga
TTH,2018-2019,TTH Holstebro,Herreliga,36,1258.6,player_based_herreliga_team_elo_2018_2019.csv,False,False,,Herreliga
TTH,2019-2020,TTH Holstebro,Herreliga,34,1289.6,player_based_herreliga_team_elo_2019_2020.csv,False,False,,Herreliga
TTH,2020-2021,TTH Holstebro,Herreliga,20,1334.4,player_based_herreliga_team_elo_2020_2021.csv,False,False,,Herreliga
TTH,2021-2022,TTH Holstebro,Herreliga,21,1324.6,player_based_herreliga_team_elo_2021_2022.csv,False,False,,Herreliga
TTH,2022-2023,TTH Holstebro,Herreliga,18,1351.8,player_based_herreliga_team_elo_2022_2023.csv,False,False,,Herreliga
TTH,2023-2024,TTH Holstebro,Herreliga,19,1355.0,player_based_herreliga_team_elo_2023_2024.csv,False,False,,Herreliga
TTH,2024-2025,TTH Holstebro,Herreliga,22,1321.0,player_based_herreliga_team_elo_2024_2025.csv,False,False,,Herreliga
TMT,2017-2018,TM Tønder Håndbold,Herreliga,18,1238.3,player_based_herreliga_team_elo_2017_2018.csv,False,False,,Herreliga
TMT,2018-2019,TM Tønder Håndbold,Herreliga,7,1236.8,player_based_herreliga_team_elo_2018_2019.csv,False,False,,Herreliga
HCM,2017-2018,HC Midtjylland,Herreliga,31,1222.1,player_based_herreliga_team_elo_2017_2018.csv,False,False,,Herreliga
HCM,2022-2023,HC Midtjylland,Herreliga,19,1253.0,player_based_herreliga_team_elo_2022_2023.csv,False,False,,Herreliga
BSH,2017-2018,Bjerringbro-Silkeborg,Herreliga,13,1209.1,player_based_herreliga_team_elo_2017_2018.csv,False,False,,Herreliga
BSH,2018-2019,Bjerringbro-Silkeborg,Herreliga,17,1255.7,player_based_herreliga_team_elo_2018_2019.csv,False,False,,Herreliga
BSH,2019-2020,Bjerringbro-Silkeborg,Herreliga,29,1321.3,player_based_herreliga_team_elo_2019_2020.csv,False,False,,Herreliga
BSH,2020-2021,Bjerringbro-Silkeborg,Herreliga,19,1321.8,player_based_herreliga_team_elo_2020_2021.csv,False,False,,Herreliga
BSH,2021-2022,Bjerringbro-Silkeborg,Herreliga,20,1329.2,player_based_herreliga_team_elo_2021_2022.csv,False,False,,Herreliga
BSH,2022-2023,Bjerringbro-Silkeborg,Herreliga,16,1346.7,player_based_herreliga_team_elo_2022_2023.csv,False,False,,Herreliga
BSH,2023-2024,Bjerringbro-Silkeborg,Herreliga,17,1322.7,player_based_herreliga_team_elo_2023_2024.csv,False,False,,Herreliga
BSH,2024-2025,Bjerringbro-Silkeborg,Herreliga,20,1328.4,player_based_herreliga_team_elo_2024_2025.csv,False,False,,Herreliga
