player,master_elo,elite_status,primary_position,position_name,is_goalkeeper,position_games,total_actions,momentum_factor,saves,penalty_saves,goals_against,save_percentage
Mads Kjeldgaard ANDERSEN,2133.7,LEGENDARY,HF,Højre fløj,False,1008,1757,1.002,0,0,0,0.0
Aaron MENSING,2125.7,LEGENDARY,HF,Højre fløj,False,635,1744,1.001,0,0,0,0.0
Lasse MIKKELSEN,2124.2,LEGENDARY,HF,Højre fløj,False,854,1539,1.002,0,0,0,0.0
Bjarke CHRISTENSEN,2119.3,LEGENDARY,HF,Højre fløj,False,839,1336,1.001,0,0,0,0.0
Jesper KONRADSSON,2118.7,LEGENDARY,HF,Højre fløj,False,1186,1994,1.002,0,0,0,0.0
Erik Thorsteinsen TOFT,2114.3,LEGENDARY,HF,Højre fløj,False,635,1835,1.001,0,0,0,0.0
Felix CLAAR,2106.7,LEGENDARY,HF,Højre fløj,False,970,1677,1.001,0,0,0,0.0
Torben PETERSEN,2090.6,ELITE,HF,Højre fløj,False,693,1582,1.004,0,0,0,0.0
Frederik TILSTED,2082.4,ELITE,HF,Højre fløj,False,999,1709,1.002,0,0,0,0.0
Johan MEKLENBORG,2076.8,ELITE,HF,Højre fløj,False,678,1442,1.006,0,0,0,0.0
Nichlas HALD,2072.6,ELITE,HF,Højre fløj,False,838,1728,1.001,0,0,0,0.0
Lukas SANDELL,2057.6,ELITE,HF,Højre fløj,False,968,1612,1.002,0,0,0,0.0
Carl-Emil HAUNSTRUP,2053.7,ELITE,HF,Højre fløj,False,1115,1139,1.005,0,0,0,0.0
Morten OLSEN,2052.2,ELITE,HF,Højre fløj,False,966,1858,1.002,0,0,0,0.0
Sebastian BARTHOLD,2047.8,ELITE,HF,Højre fløj,False,739,1279,1.004,0,0,0,0.0
Magnus SAUGSTRUP,2035.2,ELITE,MV,Målvogter,False,547,703,1.005,0,0,0,0.0
Nicolaj JØRGENSEN,2031.5,ELITE,HF,Højre fløj,False,754,1318,1.004,0,0,0,0.0
Nicolai PEDERSEN,2020.6,ELITE,HF,Højre fløj,False,714,1502,1.003,0,0,0,0.0
Marcus MØRK,2014.8,ELITE,HF,Højre fløj,False,703,1628,1.002,0,0,0,0.0
Mark NIKOLAJSEN,1995.4,ELITE,HF,Højre fløj,False,676,1467,1.004,0,0,0,0.0
Emil MADSEN,1960.7,ELITE,HF,Højre fløj,False,811,1270,1.0,0,0,0,0.0
Jesper KOKHOLM,1960.6,ELITE,HF,Højre fløj,False,1105,1158,1.004,0,0,0,0.0
Martin BISGAARD,1958.4,ELITE,HF,Højre fløj,False,555,1127,1.002,0,0,0,0.0
Andreas LANG,1953.6,ELITE,HF,Højre fløj,False,846,1398,1.004,0,0,0,0.0
Lasse Kjær MØLLER,1949.1,ELITE,HF,Højre fløj,False,581,1255,1.004,0,0,0,0.0
Jonas Gade NIELSEN,1947.7,ELITE,HF,Højre fløj,False,810,1406,1.001,0,0,0,0.0
Simon PYTLICK,1935.6,ELITE,HF,Højre fløj,False,840,1448,1.006,0,0,0,0.0
Lasse PEDERSEN,1934.7,ELITE,HF,Højre fløj,False,1075,1158,1.004,0,0,0,0.0
