player,master_elo,elite_status,primary_position,position_name,is_goalkeeper,position_games,total_actions,momentum_factor,saves,penalty_saves,goals_against,save_percentage
Niklas LANDIN,1450.1,NORMAL,MV,Målvogter,False,165,165,1.005,0,0,0,0.0
Niklas KRAFT,1448.7,NORMAL,MV,Målvogter,False,186,186,1.006,0,0,0,0.0
Søren NØRGAARD,1448.6,NORMAL,HF,Højre fløj,False,171,317,1.006,0,0,0,0.0
Oliver NØDDESBO EGGERT,1445.9,NORMAL,HF,Højre fløj,False,210,433,1.005,0,0,0,0.0
Nicolas Lundbye KRISTIANSEN,1445.2,NORMAL,HF,Højre fløj,False,187,345,1.006,0,0,0,0.0
Frederik NIELSEN,1443.2,NORMAL,HF,Højre fløj,False,261,351,1.006,0,0,0,0.0
Tim WINKLER,1442.1,NORMAL,MV,Målvogter,False,268,268,0.998,0,0,0,0.0
Alexander BLONZ,1436.5,NORMAL,HF,Højre fløj,False,171,278,1.009,0,0,0,0.0
Viktor BERGHOLT,1434.3,NORMAL,HF,Højre fløj,False,160,300,1.005,0,0,0,0.0
Magnus BRANDBYGE,1433.9,NORMAL,MV,Målvogter,False,283,283,1.008,0,0,0,0.0
Magnus KRONBORG,1433.4,NORMAL,HF,Højre fløj,False,158,305,1.005,0,0,0,0.0
Oliver Klarskov KNUDSEN,1432.9,NORMAL,HF,Højre fløj,False,212,306,1.007,0,0,0,0.0
Nicolai NØRAGER,1430.7,NORMAL,HF,Højre fløj,False,159,317,1.001,0,0,0,0.0
Rune ANDERSEN,1429.5,NORMAL,HF,Højre fløj,False,258,397,1.011,0,0,0,0.0
Rasmus BECH,1427.4,NORMAL,MV,Målvogter,False,380,380,0.997,0,0,0,0.0
Morten Kirk OLESEN,1426.1,NORMAL,HF,Højre fløj,False,201,320,1.005,0,0,0,0.0
Jonathan STENBÄCKEN,1424.8,NORMAL,HF,Højre fløj,False,422,553,1.003,0,0,0,0.0
Kasper OLSEN,1423.5,NORMAL,HF,Højre fløj,False,136,348,1.002,0,0,0,0.0
Emil JENSEN,1420.4,NORMAL,HF,Højre fløj,False,271,367,1.007,0,0,0,0.0
Christian Sabroe HOLM,1420.4,NORMAL,HF,Højre fløj,False,263,373,1.007,0,0,0,0.0
Jesper Meinby PEDERSEN,1419.5,NORMAL,HF,Højre fløj,False,267,352,1.002,0,0,0,0.0
Erik TOFT,1415.1,NORMAL,PL,Playmaker,False,90,305,0.999,0,0,0,0.0
Andreas MAGAARD,1414.9,NORMAL,ST,Streg,False,195,346,1.007,0,0,0,0.0
Stefan NIELSEN,1414.8,NORMAL,HF,Højre fløj,False,166,351,1.002,0,0,0,0.0
Jonas Kruse KRISTENSEN,1414.6,NORMAL,HF,Højre fløj,False,174,297,1.006,0,0,0,0.0
Jesper MUNK,1412.5,NORMAL,HF,Højre fløj,False,200,384,1.002,0,0,0,0.0
Thomas SOLSTAD,1412.4,NORMAL,HF,Højre fløj,False,166,301,1.004,0,0,0,0.0
Frederik Bo ANDERSEN,1411.9,NORMAL,HF,Højre fløj,False,242,250,1.006,0,0,0,0.0
Søren RASMUSSEN,1411.9,NORMAL,MV,Målvogter,False,203,203,1.003,0,0,0,0.0
Mads LENBROCH,1411.1,NORMAL,HF,Højre fløj,False,157,252,1.007,0,0,0,0.0
Magnus NORLYK,1410.8,NORMAL,HF,Højre fløj,False,139,264,1.01,0,0,0,0.0
Axel FRANZÉN,1410.6,NORMAL,ST,Streg,False,190,321,1.004,0,0,0,0.0
Rasmus KIER,1410.1,NORMAL,HF,Højre fløj,False,245,255,1.004,0,0,0,0.0
Nikolaj ØRIS,1409.1,NORMAL,HF,Højre fløj,False,156,257,1.0,0,0,0,0.0
Robin HAUG,1408.4,NORMAL,MV,Målvogter,False,225,225,1.004,0,0,0,0.0
Gøran Søgaard JOHANNESEN,1404.4,NORMAL,HF,Højre fløj,False,119,291,1.007,0,0,0,0.0
Evgeni PEVNOV,1403.1,NORMAL,ST,Streg,False,179,332,1.002,0,0,0,0.0
Mads KJELDGAARD,1402.7,NORMAL,HF,Højre fløj,False,153,276,1.006,0,0,0,0.0
Sander HEIEREN,1402.1,NORMAL,MV,Målvogter,False,264,264,1.007,0,0,0,0.0
Magnus FREDRIKSEN,1400.2,NORMAL,HF,Højre fløj,False,224,328,0.998,0,0,0,0.0
Pelle Schilling GULDAGER,1399.5,NORMAL,HF,Højre fløj,False,117,247,1.007,0,0,0,0.0
Marinus MUNK,1398.2,NORMAL,HF,Højre fløj,False,172,328,1.0,0,0,0,0.0
Justin MÜLLER,1394.4,NORMAL,HF,Højre fløj,False,232,301,1.003,0,0,0,0.0
Julius MØRCH,1394.3,NORMAL,HF,Højre fløj,False,255,440,0.999,0,0,0,0.0
Thorsten FRIES,1392.0,NORMAL,MV,Målvogter,True,244,244,1.006,907,65,1907,32.2
Magnus Haubro JENSEN,1387.9,NORMAL,HF,Højre fløj,False,173,325,1.009,0,0,0,0.0
René VILLADSEN,1382.4,NORMAL,MV,Målvogter,True,101,101,1.011,144,12,420,25.5
Rasmus NIELSEN,1379.4,NORMAL,HF,Højre fløj,False,204,222,1.002,0,0,0,0.0
Simon HALD,1378.9,NORMAL,ST,Streg,False,161,297,1.001,0,0,0,0.0
Frederik BØRM,1378.5,NORMAL,ST,Streg,False,176,347,1.002,0,0,0,0.0
Frederik Kiehn CLAUSEN,1377.2,NORMAL,HF,Højre fløj,False,264,409,0.999,0,0,0,0.0
Dan Beck HANSEN,1372.4,NORMAL,ST,Streg,False,161,321,1.003,0,0,0,0.0
Sune IVERSEN,1371.5,NORMAL,VF,Venstre fløj,False,100,201,1.005,0,0,0,0.0
Thor CHRISTENSEN,1371.2,NORMAL,HF,Højre fløj,False,254,442,0.998,0,0,0,0.0
Stig Tore MOEN NILSEN,1370.2,NORMAL,HF,Højre fløj,False,133,265,1.006,0,0,0,0.0
Martin RISOM,1370.1,NORMAL,HF,Højre fløj,False,170,237,1.011,0,0,0,0.0
Oliver EGGERT,1369.4,NORMAL,HF,Højre fløj,False,173,295,1.0,0,0,0,0.0
Jens SVANE,1368.4,NORMAL,HF,Højre fløj,False,216,331,1.004,0,0,0,0.0
Mathias NIKOLAJSEN,1366.6,NORMAL,HF,Højre fløj,False,150,233,1.005,0,0,0,0.0
Fredrik Schilling SØRENSEN,1364.8,NORMAL,HF,Højre fløj,False,109,202,1.005,0,0,0,0.0
Jonas RAUNDAHL,1363.7,NORMAL,HF,Højre fløj,False,150,266,1.003,0,0,0,0.0
Mathias MØLLER,1363.2,NORMAL,HF,Højre fløj,False,91,210,1.002,0,0,0,0.0
William ANDERSSON MOBERG,1361.7,NORMAL,HF,Højre fløj,False,172,247,1.005,0,0,0,0.0
Rasmus BOYSEN,1360.6,NORMAL,MV,Målvogter,False,188,197,0.998,0,0,0,0.0
Jacob BAGERSTED,1360.3,NORMAL,HF,Højre fløj,False,171,345,1.002,0,0,0,0.0
Mikael AGGEFORS,1359.9,NORMAL,MV,Målvogter,True,256,256,0.999,1379,38,2797,33.0
Anders MARTINUSEN,1357.6,NORMAL,HF,Højre fløj,False,192,275,1.007,0,0,0,0.0
Sune ØSTERGAARD IVERSEN,1356.7,NORMAL,HF,Højre fløj,False,96,187,1.005,0,0,0,0.0
Anders AGGER,1356.2,NORMAL,HF,Højre fløj,False,230,401,1.005,0,0,0,0.0
Tobias TOMBAK,1355.5,NORMAL,HF,Højre fløj,False,140,204,1.004,0,0,0,0.0
Rasmus MADSBØLL,1355.2,NORMAL,VF,Venstre fløj,False,91,178,1.007,0,0,0,0.0
Tobias MYGIND,1355.2,NORMAL,HF,Højre fløj,False,92,239,1.004,0,0,0,0.0
Tim RANTALA,1354.8,NORMAL,HF,Højre fløj,False,116,232,1.007,0,0,0,0.0
Kay Evert SMITS,1353.1,NORMAL,HF,Højre fløj,False,139,257,1.005,0,0,0,0.0
Michael RIIS,1353.1,NORMAL,HF,Højre fløj,False,81,245,1.014,0,0,0,0.0
Jens Dolberg PLOUGSTRUP,1352.7,NORMAL,PL,Playmaker,False,71,208,1.002,0,0,0,0.0
Mathias PORSHOLDT,1352.7,NORMAL,HF,Højre fløj,False,197,362,1.004,0,0,0,0.0
Mads DUDEK,1351.9,NORMAL,HF,Højre fløj,False,125,266,1.006,0,0,0,0.0
Pelle SCHILLING,1351.5,NORMAL,HF,Højre fløj,False,89,160,1.006,0,0,0,0.0
Christian WETCHE,1351.2,NORMAL,MV,Målvogter,True,96,96,1.008,239,14,644,27.1
Andreas Johann NIELSEN,1349.7,NORMAL,HF,Højre fløj,False,216,408,1.007,0,0,0,0.0
Jesper NIELSEN,1348.9,NORMAL,ST,Streg,False,169,310,1.004,0,0,0,0.0
Oskar VIND,1348.5,NORMAL,HF,Højre fløj,False,195,203,1.007,0,0,0,0.0
Martin Lysdahl HANSEN,1348.1,NORMAL,HF,Højre fløj,False,106,189,1.0,0,0,0,0.0
Allan Toft HANSEN,1348.1,NORMAL,HF,Højre fløj,False,215,377,1.003,0,0,0,0.0
Kasper DIDRIKSEN,1347.1,NORMAL,ST,Streg,False,136,247,1.001,0,0,0,0.0
Oskar SUNNEFELDT,1346.6,NORMAL,HF,Højre fløj,False,139,256,1.002,0,0,0,0.0
Simen Nicolay SCHØNNINGSEN,1346.6,NORMAL,HF,Højre fløj,False,91,225,1.002,0,0,0,0.0
Joachim MØLLER,1338.7,NORMAL,HF,Højre fløj,False,196,342,1.004,0,0,0,0.0
Alexander HANSEN,1335.5,NORMAL,HF,Højre fløj,False,140,246,1.004,0,0,0,0.0
René ANTONSEN,1334.4,NORMAL,HF,Højre fløj,False,168,319,1.009,0,0,0,0.0
Magnus JØNDAL,1333.6,NORMAL,VF,Venstre fløj,False,94,178,1.006,0,0,0,0.0
Karl WALLINIUS,1333.5,NORMAL,HF,Højre fløj,False,104,212,1.006,0,0,0,0.0
Esben Lie HANSEN,1332.3,NORMAL,HF,Højre fløj,False,79,192,1.004,0,0,0,0.0
Patrick VOLZ,1331.5,NORMAL,VF,Venstre fløj,False,84,154,1.007,0,0,0,0.0
Linus PERSSON,1331.4,NORMAL,HF,Højre fløj,False,171,202,1.0,0,0,0,0.0
Tobias Svend RASMUSSEN,1331.3,NORMAL,HF,Højre fløj,False,125,253,1.004,0,0,0,0.0
Nicolai SKYTTE,1330.7,NORMAL,HF,Højre fløj,False,111,190,1.003,0,0,0,0.0
Magnus RAHBEK,1330.1,NORMAL,HF,Højre fløj,False,89,221,1.008,0,0,0,0.0
Sander Drange HEIEREN,1328.9,NORMAL,MV,Målvogter,True,141,141,1.011,291,6,615,32.1
Hjalmar ANDERSEN,1328.3,NORMAL,ST,Streg,False,105,150,1.002,0,0,0,0.0
Tobias OLSEN,1328.1,NORMAL,HF,Højre fløj,False,180,239,1.001,0,0,0,0.0
Gudmundur Bragi ASTPARSSON,1327.8,NORMAL,HF,Højre fløj,False,137,158,1.007,0,0,0,0.0
Dan BECK-HANSEN,1326.6,NORMAL,ST,Streg,False,98,182,1.01,0,0,0,0.0
Matias DAMGAARD,1326.4,NORMAL,HF,Højre fløj,False,103,221,1.004,0,0,0,0.0
Frederik HUMMELMOSE,1324.5,NORMAL,MV,Målvogter,True,54,54,1.014,208,10,523,28.5
Magnus Landin JACOBSEN,1324.5,NORMAL,VF,Venstre fløj,False,58,145,1.006,0,0,0,0.0
Ulrik Nøddesbo EGGERT,1324.5,NORMAL,HF,Højre fløj,False,86,182,1.005,0,0,0,0.0
Fabian NORSTEN,1323.1,NORMAL,MV,Målvogter,True,116,116,1.004,381,8,836,31.3
Fredrik CLEMENTSEN,1323.1,NORMAL,ST,Streg,False,106,165,1.005,0,0,0,0.0
Steven Plucnar JACOBSEN,1322.1,NORMAL,ST,Streg,False,123,245,1.001,0,0,0,0.0
Jesper MEINBY,1322.0,NORMAL,HF,Højre fløj,False,150,215,1.002,0,0,0,0.0
Ebbe STANKIEWICZ,1321.4,NORMAL,HF,Højre fløj,False,142,149,1.005,0,0,0,0.0
Felix MÖLLER,1321.1,NORMAL,ST,Streg,False,81,158,1.007,0,0,0,0.0
Frank MIKKELSEN,1321.1,NORMAL,MV,Målvogter,True,121,121,1.007,583,33,1288,31.2
Mishels LIABA,1320.9,NORMAL,VB,Venstre back,False,78,250,1.002,0,0,0,0.0
Léo MARTINEZ,1320.8,NORMAL,HF,Højre fløj,False,126,196,1.003,0,0,0,0.0
Mads Kalstrup HONORÉ,1320.7,NORMAL,ST,Streg,False,129,255,1.002,0,0,0,0.0
Matthias DORGELO,1319.9,NORMAL,MV,Målvogter,True,85,85,1.002,226,17,640,26.1
Malte JUSTESEN,1318.6,NORMAL,HF,Højre fløj,False,85,161,1.01,0,0,0,0.0
Nikolai Skovmand VINTHER,1317.7,NORMAL,HF,Højre fløj,False,150,156,1.006,0,0,0,0.0
Lars HALD,1317.2,NORMAL,HF,Højre fløj,False,101,190,1.005,0,0,0,0.0
Oliver KLARSKOV,1316.9,NORMAL,HF,Højre fløj,False,127,180,1.001,0,0,0,0.0
Mikkel MADSEN,1316.7,NORMAL,HF,Højre fløj,False,93,149,1.007,0,0,0,0.0
Sveinn JÓHANNSSON,1316.4,NORMAL,HF,Højre fløj,False,131,248,0.997,0,0,0,0.0
Nikolaj A. NIELSEN,1316.4,NORMAL,HF,Højre fløj,False,109,195,1.001,0,0,0,0.0
Lovro JOTIC,1316.0,NORMAL,PL,Playmaker,False,41,150,1.004,0,0,0,0.0
Frederik SASS,1315.5,NORMAL,HF,Højre fløj,False,69,123,1.009,0,0,0,0.0
August BASKÅR PEDERSEN,1314.8,NORMAL,VF,Venstre fløj,False,84,141,1.006,0,0,0,0.0
Morten KAALUND,1314.6,NORMAL,ST,Streg,False,75,142,1.002,0,0,0,0.0
Henrik Toft HANSEN,1314.1,NORMAL,HF,Højre fløj,False,109,200,1.01,0,0,0,0.0
René Toft HANSEN,1313.6,NORMAL,HF,Højre fløj,False,235,401,1.0,0,0,0,0.0
Magnus SØNDENÅ,1312.7,NORMAL,HF,Højre fløj,False,134,153,1.006,0,0,0,0.0
Miguel MARTINS,1312.5,NORMAL,HF,Højre fløj,False,115,176,1.006,0,0,0,0.0
Bjarke JØRGENSEN,1311.7,NORMAL,HF,Højre fløj,False,111,236,1.005,0,0,0,0.0
Joachim Lyng ALS,1311.6,NORMAL,HF,Højre fløj,False,78,149,1.003,0,0,0,0.0
Benjamin B PEDERSEN,1311.6,NORMAL,ST,Streg,False,126,247,1.006,0,0,0,0.0
Fredrik MOSSESTAD,1311.6,NORMAL,HF,Højre fløj,False,162,164,1.005,0,0,0,0.0
Gabriel SETTERBLOM,1310.8,NORMAL,HF,Højre fløj,False,145,208,0.999,0,0,0,0.0
Tobias THULIN,1310.5,NORMAL,MV,Målvogter,True,107,107,1.005,708,31,1812,28.1
August Baskår PEDERSEN,1310.1,NORMAL,VF,Venstre fløj,False,75,146,1.005,0,0,0,0.0
August FRIDÉN,1308.4,NORMAL,HF,Højre fløj,False,75,134,1.008,0,0,0,0.0
Kristian Krag ØRSTED,1307.3,NORMAL,ST,Streg,False,105,165,1.007,0,0,0,0.0
Simon EGTVED,1307.2,NORMAL,MV,Målvogter,True,130,130,0.999,333,9,1075,23.7
Frederik ARNOLDSEN,1305.6,NORMAL,HF,Højre fløj,False,94,181,1.002,0,0,0,0.0
Rasmus CARLSEN,1305.6,NORMAL,HF,Højre fløj,False,49,140,1.003,0,0,0,0.0
Lasse BALSTAD,1305.4,NORMAL,HF,Højre fløj,False,313,370,1.0,0,0,0,0.0
Henk Muus MEYER,1305.0,NORMAL,MV,Målvogter,True,96,96,1.011,16,0,48,25.0
Adam NYFJÄLL,1304.9,NORMAL,ST,Streg,False,74,146,1.009,0,0,0,0.0
Andreas DAMGAARD,1304.8,NORMAL,HF,Højre fløj,False,85,184,0.999,0,0,0,0.0
Jonas TIDEMAND,1304.2,NORMAL,HF,Højre fløj,False,119,224,1.004,0,0,0,0.0
Shadrach-Amie NSONI,1302.9,NORMAL,MV,Målvogter,True,89,89,0.999,192,9,532,26.5
Kasper Young ANDERSEN,1301.9,NORMAL,HF,Højre fløj,False,95,119,1.002,0,0,0,0.0
Jimmi ANDERSEN,1301.6,NORMAL,MV,Målvogter,True,224,224,1.009,954,69,2203,30.2
Tobias BAY,1301.5,NORMAL,HF,Højre fløj,False,83,157,1.004,0,0,0,0.0
Mads Emil Bayer LENBROCH,1299.1,NORMAL,VF,Venstre fløj,False,71,120,1.004,0,0,0,0.0
Cyril VIUDES,1298.5,NORMAL,ST,Streg,False,108,171,1.008,0,0,0,0.0
Anders GADE,1298.5,NORMAL,HF,Højre fløj,False,76,125,1.007,0,0,0,0.0
Yehia ELDERAA,1298.0,NORMAL,VB,Venstre back,False,90,128,1.008,0,0,0,0.0
Jesper LINDGREN,1298.0,NORMAL,HF,Højre fløj,False,340,361,1.001,0,0,0,0.0
Ágúst BJÖRGVINSSON,1297.9,NORMAL,MV,Målvogter,True,106,106,0.999,274,16,728,27.3
Martin Kærgaard PEDERSEN,1297.1,NORMAL,ST,Streg,False,96,148,1.002,0,0,0,0.0
Anton HELLBERG,1296.5,NORMAL,MV,Målvogter,True,32,32,1.003,96,12,237,28.8
Mikkel SANDHOLM,1295.4,NORMAL,HF,Højre fløj,False,111,114,1.01,0,0,0,0.0
Nicklas Graugaard NIELSEN,1295.0,NORMAL,MV,Målvogter,True,62,62,0.999,189,13,468,28.8
Lars JAKOBSEN,1295.0,NORMAL,HF,Højre fløj,False,45,115,1.009,0,0,0,0.0
Ronnie Schmidt NICOLAISEN,1294.9,NORMAL,MV,Målvogter,True,65,65,0.999,97,8,241,28.7
Lasse VILHELMSEN,1294.6,NORMAL,HF,Højre fløj,False,132,181,1.004,0,0,0,0.0
Andreas Søgaard RASMUSSEN,1293.6,NORMAL,ST,Streg,False,88,177,1.004,0,0,0,0.0
Simon OOMS,1293.4,NORMAL,ST,Streg,False,84,133,1.006,0,0,0,0.0
Oliver JUHL,1293.3,NORMAL,HF,Højre fløj,False,118,132,1.009,0,0,0,0.0
Jonas FUGLSBJERG,1293.1,NORMAL,HF,Højre fløj,False,96,151,1.001,0,0,0,0.0
Simon Westh KRISTIANSEN,1292.6,NORMAL,HF,Højre fløj,False,64,147,0.999,0,0,0,0.0
Jonathan SØRENSEN,1292.3,NORMAL,HF,Højre fløj,False,120,128,1.004,0,0,0,0.0
Vignir SVARVARSSON,1292.1,NORMAL,HF,Højre fløj,False,94,173,1.003,0,0,0,0.0
Malthe Rolighed BULL,1291.6,NORMAL,HF,Højre fløj,False,98,100,1.01,0,0,0,0.0
Victor KLØVE,1290.8,NORMAL,HF,Højre fløj,False,110,176,1.004,0,0,0,0.0
Stefan HUNDSTRUP,1290.3,NORMAL,HF,Højre fløj,False,111,180,1.005,0,0,0,0.0
Jacob ØSTERGAARD,1290.0,NORMAL,HF,Højre fløj,False,174,274,1.004,0,0,0,0.0
Vetle RØNNINGEN,1289.6,NORMAL,HF,Højre fløj,False,248,345,0.999,0,0,0,0.0
Lasse KRONBORG,1289.2,NORMAL,HF,Højre fløj,False,134,190,0.998,0,0,0,0.0
Sigvaldi GUDJONSSON,1289.1,NORMAL,HF,Højre fløj,False,117,131,1.004,0,0,0,0.0
Anton HAGVALL,1288.7,NORMAL,MV,Målvogter,True,9,9,1.049,22,4,115,16.1
Sebastian SKØTT,1288.5,NORMAL,VF,Venstre fløj,False,50,93,1.005,0,0,0,0.0
Brian JØRGENSEN,1287.4,NORMAL,MV,Målvogter,True,38,38,1.01,47,1,131,26.4
Mads Peter LØNBORG,1286.2,NORMAL,HF,Højre fløj,False,115,130,1.007,0,0,0,0.0
Hakan SAHIN,1284.7,NORMAL,HF,Højre fløj,False,150,269,1.008,0,0,0,0.0
Nikolaj Vestergaard MEHL,1284.4,NORMAL,HF,Højre fløj,False,69,151,1.003,0,0,0,0.0
Rasmus GRAFFE,1284.2,NORMAL,HF,Højre fløj,False,72,138,1.006,0,0,0,0.0
Daniel GULDSMED,1284.1,NORMAL,ST,Streg,False,56,104,1.009,0,0,0,0.0
Matias Ravn CAMPBELL,1283.8,NORMAL,HF,Højre fløj,False,89,151,1.001,0,0,0,0.0
Daniel INGASON,1283.6,NORMAL,HF,Højre fløj,False,131,191,0.998,0,0,0,0.0
Einar ÓLAFSSON,1282.3,NORMAL,HF,Højre fløj,False,185,204,1.001,0,0,0,0.0
Kasper PALMAR,1282.3,NORMAL,HF,Højre fløj,False,64,121,1.006,0,0,0,0.0
Christian TERMANSEN,1282.2,NORMAL,HF,Højre fløj,False,94,143,1.004,0,0,0,0.0
Oliver ROEPSTORFF,1281.6,NORMAL,HF,Højre fløj,False,47,116,1.004,0,0,0,0.0
Kristian KLITGAARD,1281.1,NORMAL,VF,Venstre fløj,False,47,92,1.001,0,0,0,0.0
Jeppe FAURHOLT,1281.0,NORMAL,HF,Højre fløj,False,80,82,1.007,0,0,0,0.0
Simon Hald JENSEN,1280.6,NORMAL,ST,Streg,False,86,168,1.004,0,0,0,0.0
Andre Sindre AHO,1280.3,NORMAL,HF,Højre fløj,False,100,152,1.01,0,0,0,0.0
Magnus SØNNICHSEN,1280.1,NORMAL,HF,Højre fløj,False,113,120,1.005,0,0,0,0.0
Claus KJELDGAARD,1280.0,NORMAL,HF,Højre fløj,False,86,137,1.005,0,0,0,0.0
Jonas Bruus TIDEMAND,1278.9,NORMAL,HF,Højre fløj,False,146,256,1.002,0,0,0,0.0
Frederik Horn JAKOBSEN,1278.6,NORMAL,MV,Målvogter,False,52,63,1.002,0,0,0,0.0
Kasper LINDGREN,1278.1,NORMAL,HF,Højre fløj,False,286,395,1.005,0,0,0,0.0
Nikolai VINTHER,1277.8,NORMAL,HF,Højre fløj,False,90,92,1.0,0,0,0,0.0
Anders MØLLER,1277.7,NORMAL,HF,Højre fløj,False,98,103,1.005,0,0,0,0.0
Hans Martin ASMUSSEN,1276.9,NORMAL,HF,Højre fløj,False,85,94,1.008,0,0,0,0.0
Aron MENSING,1276.5,NORMAL,HF,Højre fløj,False,54,127,1.001,0,0,0,0.0
Tobias MYSSING,1276.4,NORMAL,HF,Højre fløj,False,101,108,1.0,0,0,0,0.0
Mathias LARSON,1276.3,NORMAL,HF,Højre fløj,False,95,139,0.998,0,0,0,0.0
Lasse HAMANN-BOERITHS,1275.3,NORMAL,HF,Højre fløj,False,81,132,1.001,0,0,0,0.0
Jakob HESSELLUND,1274.1,NORMAL,HF,Højre fløj,False,74,100,1.006,0,0,0,0.0
Petter ØVERBY,1272.4,NORMAL,ST,Streg,False,65,118,1.0,0,0,0,0.0
Fredrik GUSTAVSSON,1272.3,NORMAL,HF,Højre fløj,False,65,96,1.005,0,0,0,0.0
Robert TIMMERMEISTER,1272.1,NORMAL,HF,Højre fløj,False,70,117,1.011,0,0,0,0.0
Rasmus DØSSING,1271.9,NORMAL,MV,Målvogter,True,48,48,1.014,73,3,201,26.6
Sander SAGOSEN,1271.3,NORMAL,HF,Højre fløj,False,65,108,1.005,0,0,0,0.0
Stig-Tore Moen NILSEN,1270.6,NORMAL,HF,Højre fløj,False,54,112,1.006,0,0,0,0.0
Rolf RAVN,1270.4,NORMAL,HF,Højre fløj,False,147,195,0.999,0,0,0,0.0
Andreas ELBÆK,1270.2,NORMAL,HF,Højre fløj,False,86,144,1.006,0,0,0,0.0
Frederik ANDERSSON,1270.1,NORMAL,MV,Målvogter,True,68,68,0.999,230,13,688,25.1
Arnor ATLASON,1269.2,NORMAL,HF,Højre fløj,False,28,78,1.004,0,0,0,0.0
Jan GREBENC,1269.2,NORMAL,HF,Højre fløj,False,74,157,1.006,0,0,0,0.0
Gunnar Steinn JONSSON,1269.1,NORMAL,HF,Højre fløj,False,70,116,1.005,0,0,0,0.0
Nicolai SOMMER,1269.0,NORMAL,PL,Playmaker,False,33,92,1.007,0,0,0,0.0
Jonas EICHWALD,1268.2,NORMAL,HF,Højre fløj,False,87,92,1.001,0,0,0,0.0
Rasmus Storm JENSEN,1268.1,NORMAL,MV,Målvogter,True,39,39,1.008,42,0,112,27.3
Gustav Wedel BRUUN,1268.1,NORMAL,HF,Højre fløj,False,105,120,1.004,0,0,0,0.0
Martin Mauer LARSEN,1266.9,NORMAL,HF,Højre fløj,False,71,140,1.002,0,0,0,0.0
Kristian Dahl PEDERSEN,1265.6,NORMAL,MV,Målvogter,True,64,64,1.003,362,6,875,29.3
Emil HANSSON,1265.5,NORMAL,HF,Højre fløj,False,97,137,1.002,0,0,0,0.0
Lasse SUNDE LID,1265.4,NORMAL,HF,Højre fløj,False,48,77,1.007,0,0,0,0.0
Jakob VILLEMOES,1265.0,NORMAL,HF,Højre fløj,False,95,95,1.009,0,0,0,0.0
Daniel Freyr ANDRÉSSON,1263.8,NORMAL,MV,Målvogter,True,42,42,0.998,119,7,356,25.1
Anders Agger PEDERSEN,1263.4,NORMAL,HF,Højre fløj,False,67,129,1.004,0,0,0,0.0
Nejc CEHTE,1262.9,NORMAL,HF,Højre fløj,False,79,111,1.0,0,0,0,0.0
Sebastian Reimer THOR,1261.3,NORMAL,HF,Højre fløj,False,139,226,0.999,0,0,0,0.0
Emil SIDELMANN,1261.1,NORMAL,VF,Venstre fløj,False,41,67,1.004,0,0,0,0.0
Jacob HANSEN,1261.1,NORMAL,HF,Højre fløj,False,81,94,1.005,0,0,0,0.0
Ronnie NICOLAISEN,1260.8,NORMAL,MV,Målvogter,True,156,156,0.999,995,39,2285,30.3
Mads KALSTRUP,1259.9,NORMAL,ST,Streg,False,58,85,1.005,0,0,0,0.0
Emil Grønbech HANSEN,1259.9,NORMAL,HF,Højre fløj,False,52,110,1.002,0,0,0,0.0
Nicolai BROE,1259.8,NORMAL,MV,Målvogter,True,7,7,1.005,5,0,6,45.5
Oliver Amnitzbøll NORLYK,1259.6,NORMAL,HF,Højre fløj,False,54,132,1.002,0,0,0,0.0
Shadrach Amie NSONI,1258.9,NORMAL,MV,Målvogter,True,14,14,1.002,118,10,260,31.2
Julius STEN,1258.4,NORMAL,MV,Målvogter,True,65,65,1.009,316,9,774,29.0
Frederik PEDERSEN,1258.2,NORMAL,HF,Højre fløj,False,72,102,1.006,0,0,0,0.0
Viktor Gisli HALLGRIMSSON,1257.8,NORMAL,MV,Målvogter,True,27,27,0.998,654,36,1473,30.7
Nikolaj A NIELSEN,1256.6,NORMAL,HF,Højre fløj,False,58,110,1.007,0,0,0,0.0
Frederik SKOVGAARD,1256.3,NORMAL,MV,Målvogter,True,5,5,1.005,54,3,167,24.4
Minik Dahl HØEGH,1256.2,NORMAL,PL,Playmaker,False,30,72,1.001,0,0,0,0.0
Anton LINDSKOG,1255.8,NORMAL,HF,Højre fløj,False,79,138,1.003,0,0,0,0.0
Mads BJERGFELT,1255.7,NORMAL,HF,Højre fløj,False,58,109,1.007,0,0,0,0.0
Nichlas POULSEN,1255.6,NORMAL,HF,Højre fløj,False,65,70,1.006,0,0,0,0.0
Nicolai Pugholm HVID,1255.5,NORMAL,HF,Højre fløj,False,141,210,1.001,0,0,0,0.0
Nicolai PUGHOLM,1255.5,NORMAL,HF,Højre fløj,False,154,195,1.001,0,0,0,0.0
Sven EHRIG,1255.4,NORMAL,HF,Højre fløj,False,61,76,1.004,0,0,0,0.0
Frederik BANK,1254.5,NORMAL,MV,Målvogter,False,3,3,1.011,0,0,0,0.0
Lasse Sinding JENSEN,1254.1,NORMAL,HF,Højre fløj,False,50,103,1.002,0,0,0,0.0
Thomas THEILGAARD,1253.9,NORMAL,HF,Højre fløj,False,80,80,1.007,0,0,0,0.0
Björgvin Pall GUSTAVSSON,1253.4,NORMAL,MV,Målvogter,True,55,55,1.0,204,18,431,32.1
Malthe KRONBORG EBSEN,1253.3,NORMAL,MV,Målvogter,True,3,3,1.008,26,6,85,23.4
