match;time;action;position;score;rating_before;rating_change;rating_after;base_weight;time_mult;score_mult;pos_mult;momentum_mult;context_mult
1022024_Bjerringbro-Silkeborg_vs_SønderjyskE_Herrer.db;3.15;Skud reddet;HF;0-1;1399,9;0,8232000000000426;1400,7232000000001;70;0,8;1,5;1,0;1,0;1,225
1022024_Bjerringbro-Silkeborg_vs_SønderjyskE_Herrer.db;10.02;Mål;HF;4-4;1400,7232000000001;1,060799999999972;1401,784;65;0,8;1,7;1,0;1,0;1,5000000000000002
1022024_Bjerringbro-Silkeborg_vs_SønderjyskE_Herrer.db;11.51;Advarsel;HF;6-4;1401,784;-0,16848000000004504;1401,61552;-15;0,8;1,5;1,0;1,0032263411078717;1,1700000000000002
1022024_Bjerringbro-Silkeborg_vs_SønderjyskE_Herrer.db;37.38;Mål;HB;17-15;1401,61552;0,9781456825801342;1402,5936656825802;65;1,0;1,5;1,0;1,0041323370779827;1,2500000000000002
1022024_Bjerringbro-Silkeborg_vs_SønderjyskE_Herrer.db;39.09;Skud reddet;HB;17-16;1402,5936656825802;1,03325217485326;1403,6269178574335;70;1,0;1,5;1,0;1,0047593848641032;1,225
1022024_Bjerringbro-Silkeborg_vs_SønderjyskE_Herrer.db;39.48;Skud blokeret;HB;17-17;1403,6269178574335;-0,14101998918454228;1403,485897868249;-8;1,0;1,7;1,0;1,0031922678095608;1,2900000000000003
1042024_Bjerringbro-Silkeborg_vs_Ribe-Esbjerg_HH.db;3.29;Mål;PL;2-1;1403,485897868249;1,0015871601810886;1404,48748502843;65;0,8;1,5;1,0;1,0036081387338327;1,6000000000000003
1042024_Bjerringbro-Silkeborg_vs_Ribe-Esbjerg_HH.db;9.49;Skud forbi;HF;5-7;1404,48748502843;-0,1799268671122718;1404,3075581613177;-15;0,8;1,5;1,0;1,002889677000873;1,2450000000000003
1042024_Bjerringbro-Silkeborg_vs_Ribe-Esbjerg_HH.db;13.36;Mål;HF;7-11;1404,3075581613177;0,5381907162657171;1404,8457488775834;65;0,8;1,2;1,0;1,0026317994588516;1,075
1042024_Bjerringbro-Silkeborg_vs_Ribe-Esbjerg_HH.db;23.16;Skud reddet;HF;12-15;1404,8457488775834;0,7243012119290597;1405,5700500895125;70;1,0;1,2;1,0;1,0026850414123192;1,075
1042024_Bjerringbro-Silkeborg_vs_Ribe-Esbjerg_HH.db;24.37;Mål;ST;13-15;1405,5700500895125;0,8994084821467823;1406,4694585716593;65;1,0;1,5;1,0;1,003903469229816;1,1500000000000001
