match,time,action,position,team,home_score,away_score,base_weight,time_mult,score_mult,pos_mult,context_mult,total_weight,elite_status,elite_multiplier,rating_change,old_rating,new_rating,goalkeeper_penalty,player_name,season,league,action_type
Fredericia Håndboldklub vs SAH,58.05,Fejlaflevering,PL,SAH,28,24,-30,1.8,1.2,1.0,1.595,-103.356,NORMAL,1.0,-0.826848,1389.986455200001,1389.1596072000011,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,NEGATIVE
Fredericia Håndboldklub vs SAH,7.10,Skud på stolpe,PL,SAH,4,2,-5,1.0,1.5,1.0,1.1400000000000001,-8.55,NORMAL,1.0,-0.0684,1379.855359200001,1379.7869592000009,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,NEUTRAL
GOG vs SAH,1.21,Mål,PL,SAH,1,1,65,1.0,1.7,1.0,1.5000000000000002,165.75000000000003,NORMAL,1.0,1.3260000000000003,1499.2185660000018,1500.5445660000019,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
GOG vs SAH,11.36,Straffekast reddet,PL,SAH,7,5,120,1.0,1.5,1.0,1.1500000000000001,207.00000000000003,NORMAL,1.0,1.6560000000000004,1500.311286000002,1501.9672860000019,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
GOG vs SAH,23.32,Skud reddet,PL,SAH,14,8,70,1.0,0.9,1.0,1.025,64.57499999999999,NORMAL,1.0,0.5166,1501.9672860000019,1502.4838860000018,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
GOG vs SAH,23.32,Udvisning,PL,SAH,14,8,-45,1.0,0.9,1.0,1.045,-42.3225,NORMAL,1.0,-0.33858,1502.4838860000018,1502.1453060000017,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,NEGATIVE
GOG vs SAH,27.15,Mål,PL,SAH,15,9,65,1.4,0.9,1.0,1.4250000000000003,116.70750000000002,NORMAL,1.0,0.9336600000000003,1502.1453060000017,1503.0789660000016,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
GOG vs SAH,37.25,Skud forbi,HB,SAH,21,11,-15,1.0,0.9,1.0,0.97,-13.094999999999999,NORMAL,1.0,-0.10475999999999999,1503.0789660000016,1502.9742060000017,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,NEGATIVE
GOG vs SAH,45.42,Tilkendt straffe,PL,SAH,26,13,25,1.5,0.65,1.0,1.075,26.203125,NORMAL,1.0,0.209625,1502.9742060000017,1503.1838310000016,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
GOG vs SAH,53.05,Mål,PL,SAH,29,15,65,1.4,0.65,1.0,1.4500000000000004,85.76750000000003,NORMAL,1.0,0.6861400000000002,1503.1838310000016,1503.8699710000017,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
