season,player,start_rating,final_rating,rating_change,games,primary_position,position_name,is_goalkeeper,elite_status,momentum_factor,total_actions,rating_per_game,performance_level
2019-2020,Lasse Kjær MØLLER,1350.0,1487.3,137.3,24,VB,Venstre back,False,NORMAL,1.006,193,5.720833333333334,NORMAL
2019-2020,Nikolaj Øris NIELSEN,1350.0,1481.0,131.0,24,PL,Playmaker,False,NORMAL,1.004,178,5.458333333333333,NORMAL
2019-2020,Mattias THYNELL,1342.0,1473.2,131.2,20,VB,Venstre back,False,NORMAL,1.008,180,6.56,NORMAL
2019-2020,Jesper DAHL,1340.5,1471.0,130.5,24,HB,Højre back,False,NORMAL,1.004,178,5.4375,NORMAL
2019-2020,Cornelius Kragh AASTRUP,1349.7,1471.0,121.3,24,PL,Playmaker,False,NORMAL,1.004,211,5.054166666666666,NORMAL
2019-2020,Chris Holm JØRGENSEN,1350.0,1466.7,116.7,24,PL,Playmaker,False,NORMAL,1.004,173,4.8625,NORMAL
2019-2020,Nikolaj MARKUSSEN,1350.0,1462.9,112.9,22,PL,Playmaker,False,NORMAL,1.004,155,5.131818181818182,NORMAL
2019-2020,Aaron MENSING,1350.0,1461.0,111.0,24,PL,Playmaker,False,NORMAL,1.003,197,4.625,NORMAL
2019-2020,Nikolaj LÆSØ,1349.9,1459.0,109.1,24,PL,Playmaker,False,NORMAL,1.003,205,4.545833333333333,NORMAL
2019-2020,Janus SMARÁSON,1350.0,1452.2,102.2,21,PL,Playmaker,False,NORMAL,1.006,141,4.866666666666667,NORMAL
2019-2020,Eivind TANGEN,1350.0,1451.9,101.9,24,HB,Højre back,False,NORMAL,1.003,183,4.245833333333334,NORMAL
2019-2020,Runar KARASON,1306.3,1450.1,143.8,23,HB,Højre back,False,NORMAL,1.002,202,6.252173913043479,NORMAL
2019-2020,Kristina JØRGENSEN,1342.2,1449.6,107.4,23,PL,Playmaker,False,NORMAL,1.004,191,4.6695652173913045,NORMAL
2019-2020,Stine JØRGENSEN,1349.9,1443.4,93.5,23,PL,Playmaker,False,NORMAL,1.006,151,4.065217391304348,NORMAL
2019-2020,Torben PETERSEN,1350.0,1441.7,91.7,24,PL,Playmaker,False,NORMAL,1.004,144,3.8208333333333333,NORMAL
2019-2020,Tobias ELLEBÆK,1349.7,1439.7,90.0,23,VB,Venstre back,False,NORMAL,1.002,128,3.9130434782608696,NORMAL
2019-2020,Anders Kragh MARTINUSEN,1350.0,1439.5,89.5,23,PL,Playmaker,False,NORMAL,1.003,158,3.891304347826087,NORMAL
2019-2020,Jacob LASSEN,1350.0,1439.4,89.4,22,PL,Playmaker,False,NORMAL,1.004,98,4.0636363636363635,NORMAL
2019-2020,Erik Thorsteinsen TOFT,1350.0,1437.9,87.9,22,VB,Venstre back,False,NORMAL,1.002,154,3.9954545454545456,NORMAL
2019-2020,Jesper KONRADSSON,1350.0,1436.3,86.3,24,PL,Playmaker,False,NORMAL,1.007,100,3.595833333333333,NORMAL
2019-2020,Johan HANSEN,1350.0,1436.1,86.1,22,HF,Højre fløj,False,NORMAL,1.007,80,3.9136363636363636,NORMAL
2019-2020,Estavana POLMAN,1350.0,1434.3,84.3,18,PL,Playmaker,False,NORMAL,1.005,126,4.683333333333334,NORMAL
2019-2020,Lærke Nolsøe PEDERSEN,1339.6,1434.1,94.5,23,VF,Venstre fløj,False,NORMAL,1.005,99,4.108695652173913,NORMAL
2019-2020,Helene Gigstad FAUSKE,1350.0,1433.8,83.8,20,PL,Playmaker,False,NORMAL,1.004,142,4.1899999999999995,NORMAL
2019-2020,Johan MEKLENBORG,1350.0,1430.0,80.0,24,PL,Playmaker,False,NORMAL,1.006,123,3.3333333333333335,NORMAL
2019-2020,Miha ZVIZEJ,1346.1,1429.8,83.7,23,ST,Streg,False,NORMAL,1.006,84,3.639130434782609,NORMAL
2019-2020,Sebastian SKUBE,1350.0,1427.6,77.6,22,PL,Playmaker,False,NORMAL,1.005,99,3.527272727272727,NORMAL
2019-2020,June BØTTGER,1340.2,1424.6,84.4,23,VF,Venstre fløj,False,NORMAL,1.006,111,3.6695652173913045,NORMAL
2019-2020,Bjarte MYRHOL,1350.0,1424.0,74.0,17,ST,Streg,False,NORMAL,1.006,85,4.352941176470588,NORMAL
2019-2020,Emil JAKOBSEN,1350.0,1419.5,69.5,20,VF,Venstre fløj,False,NORMAL,1.007,66,3.475,NORMAL
2019-2020,Michael KNUDSEN,1350.0,1416.1,66.1,22,ST,Streg,False,NORMAL,1.005,74,3.0045454545454544,NORMAL
2019-2020,Jonas Gade NIELSEN,1344.9,1414.4,69.5,22,HB,Højre back,False,NORMAL,1.004,97,3.159090909090909,NORMAL
2019-2020,Jens PESCHARDT,1321.2,1413.7,92.5,22,PL,Playmaker,False,NORMAL,1.002,134,4.204545454545454,NORMAL
2019-2020,Marcus MØRK,1318.4,1413.0,94.6,20,VB,Venstre back,False,NORMAL,1.004,126,4.7299999999999995,NORMAL
2019-2020,Magnus BRAMMING,1343.2,1411.2,68.0,23,VF,Venstre fløj,False,NORMAL,1.005,76,2.9565217391304346,NORMAL
2019-2020,Celine Lundbye KRISTIANSEN,1321.7,1410.1,88.4,21,PL,Playmaker,False,NORMAL,1.002,134,4.20952380952381,NORMAL
2019-2020,Henrik MØLLGAARD,1300.2,1408.8,108.6,24,PL,Playmaker,False,NORMAL,1.008,148,4.5249999999999995,NORMAL
2019-2020,Jonas SAMUELSSON,1350.0,1408.4,58.4,23,HF,Højre fløj,False,NORMAL,1.007,66,2.5391304347826087,NORMAL
2019-2020,Mark STRANDGAARD,1350.0,1408.2,58.2,20,HF,Højre fløj,False,NORMAL,1.006,58,2.91,NORMAL
2019-2020,Kasper SØNDERGAARD,1350.0,1408.2,58.2,21,HB,Højre back,False,NORMAL,1.004,83,2.7714285714285714,NORMAL
2019-2020,Oliver Nøddesbo EGGERT,1350.0,1405.6,55.6,24,PL,Playmaker,False,NORMAL,1.004,94,2.316666666666667,NORMAL
2019-2020,Peter BALLING,1350.0,1405.3,55.3,23,HB,Højre back,False,NORMAL,1.003,103,2.404347826086956,NORMAL
2019-2020,Trine KNUDSEN,1342.9,1402.3,59.4,21,PL,Playmaker,False,NORMAL,1.006,74,2.8285714285714283,NORMAL
2019-2020,Jesper NØDDESBO,1343.3,1400.9,57.6,20,ST,Streg,False,NORMAL,1.005,61,2.88,NORMAL
2019-2020,Mads Kjeldgaard ANDERSEN,1335.6,1397.9,62.3,20,PL,Playmaker,False,NORMAL,1.005,87,3.1149999999999998,NORMAL
2019-2020,Morten BALLING,1333.2,1397.7,64.5,20,PL,Playmaker,False,NORMAL,1.005,106,3.225,NORMAL
2019-2020,Martin LARSEN,1350.0,1395.8,45.8,12,ST,Streg,False,NORMAL,1.007,68,3.8166666666666664,NORMAL
2019-2020,Sofie Bæk ANDERSEN,1336.2,1395.1,58.9,11,PL,Playmaker,False,NORMAL,1.013,68,5.3545454545454545,NORMAL
2019-2020,Jesper KOKHOLM,1319.4,1394.7,75.3,24,HF,Højre fløj,False,NORMAL,1.004,73,3.1374999999999997,NORMAL
2019-2020,Mikkel Kjær MØLLER,1338.3,1390.8,52.5,21,VF,Venstre fløj,False,NORMAL,1.006,60,2.5,NORMAL
2019-2020,Marcus DAHLIN,1350.0,1390.7,40.7,17,HB,Højre back,False,NORMAL,1.001,72,2.394117647058824,NORMAL
2019-2020,René RASMUSSEN,1327.2,1389.7,62.5,24,HF,Højre fløj,False,NORMAL,1.005,61,2.6041666666666665,NORMAL
2019-2020,Stine HOLM,1313.6,1389.6,76.0,21,HF,Højre fløj,False,NORMAL,1.009,85,3.619047619047619,NORMAL
2019-2020,Dione HOUSHEER,1296.5,1388.3,91.8,23,HB,Højre back,False,NORMAL,1.006,160,3.991304347826087,NORMAL
2019-2020,Carl-Emil HAUNSTRUP,1300.5,1388.1,87.6,24,HF,Højre fløj,False,NORMAL,1.008,72,3.65,NORMAL
2019-2020,Mai KRAGBALLE,1307.2,1387.6,80.4,23,PL,Playmaker,False,NORMAL,1.004,129,3.4956521739130437,NORMAL
2019-2020,Sarah IVERSEN,1329.4,1387.1,57.7,21,ST,Streg,False,NORMAL,1.005,66,2.7476190476190476,NORMAL
2019-2020,Sebastian BARTHOLD,1325.6,1385.7,60.1,20,VF,Venstre fløj,False,NORMAL,1.006,48,3.005,NORMAL
2019-2020,Sofia DEEN,1241.1,1385.3,144.2,23,PL,Playmaker,True,NORMAL,1.004,259,6.269565217391304,NORMAL
2019-2020,Anne Tolstrup PETERSEN,1311.1,1384.6,73.5,23,HF,Højre fløj,False,NORMAL,1.003,76,3.1956521739130435,NORMAL
2019-2020,Jonas LANGERHUUS,1270.7,1384.3,113.6,23,HB,Højre back,False,NORMAL,1.001,161,4.939130434782609,NORMAL
2019-2020,Kasper KISUM,1288.9,1383.5,94.6,24,PL,Playmaker,False,NORMAL,1.006,177,3.9416666666666664,NORMAL
2019-2020,Kristina KRISTIANSEN,1304.2,1381.9,77.7,22,PL,Playmaker,False,NORMAL,1.0,118,3.5318181818181817,NORMAL
2019-2020,Mark NIKOLAJSEN,1288.6,1381.3,92.7,20,PL,Playmaker,False,NORMAL,1.003,139,4.635,NORMAL
2019-2020,Andreas FLODMAN,1284.6,1380.2,95.6,23,HF,Højre fløj,False,NORMAL,1.007,110,4.156521739130435,NORMAL
2019-2020,Besard HAKAJ,1350.0,1379.9,29.9,17,ST,Streg,False,NORMAL,1.004,42,1.7588235294117647,NORMAL
2019-2020,Lasse UTH,1350.0,1379.5,29.5,13,VF,Venstre fløj,False,NORMAL,1.005,27,2.269230769230769,NORMAL
2019-2020,Magnus SAUGSTRUP,1312.0,1378.4,66.4,23,ST,Streg,False,NORMAL,1.007,69,2.8869565217391306,NORMAL
2019-2020,Omar Ingi MAGNUSSON,1350.0,1376.8,26.8,6,HB,Højre back,False,NORMAL,1.005,32,4.466666666666667,NORMAL
2019-2020,Line  Berggren LARSEN,1271.9,1376.1,104.2,17,PL,Playmaker,False,NORMAL,1.001,159,6.129411764705883,NORMAL
2019-2020,Lasse PEDERSEN,1312.4,1374.7,62.3,24,HF,Højre fløj,False,NORMAL,1.003,74,2.595833333333333,NORMAL
2019-2020,Lærke CHRISTENSEN,1308.0,1374.2,66.2,23,HB,Højre back,False,NORMAL,1.001,139,2.8782608695652177,NORMAL
2019-2020,Lars MOUSING,1325.5,1374.2,48.7,19,ST,Streg,False,NORMAL,1.005,52,2.5631578947368423,NORMAL
2019-2020,Kathrine HEINDAHL,1322.5,1373.5,51.0,21,ST,Streg,False,NORMAL,1.006,68,2.4285714285714284,NORMAL
2019-2020,Mathias JØRGENSEN,1313.4,1372.5,59.1,20,HF,Højre fløj,False,NORMAL,1.008,55,2.955,NORMAL
2019-2020,Gunnar STEINN JÓNSSON,1283.7,1371.0,87.3,22,PL,Playmaker,False,NORMAL,1.005,116,3.9681818181818183,NORMAL
2019-2020,Kristine BREISTØL,1286.4,1369.7,83.3,23,PL,Playmaker,False,NORMAL,1.004,160,3.6217391304347823,NORMAL
2019-2020,Jon ANDERSEN,1291.7,1369.4,77.7,24,PL,Playmaker,False,NORMAL,1.005,135,3.2375000000000003,NORMAL
2019-2020,Emil LÆRKE,1325.2,1368.6,43.4,23,PL,Playmaker,False,NORMAL,1.004,91,1.8869565217391304,NORMAL
2019-2020,Mathias BITSCH,1295.8,1367.9,72.1,24,PL,Playmaker,False,NORMAL,1.004,152,3.0041666666666664,NORMAL
2019-2020,Vilde Mortensen INGSTAD,1328.9,1365.8,36.9,14,ST,Streg,False,NORMAL,1.004,54,2.6357142857142857,NORMAL
2019-2020,Anna LAGERQUIST,1314.5,1365.8,51.3,21,ST,Streg,False,NORMAL,1.006,53,2.4428571428571426,NORMAL
2019-2020,Jørgen RASMUSSEN,1299.7,1361.9,62.2,18,VF,Venstre fløj,False,NORMAL,1.005,51,3.4555555555555557,NORMAL
2019-2020,Sofie ALNOR,1294.0,1359.7,65.7,21,VF,Venstre fløj,False,NORMAL,1.006,66,3.1285714285714286,NORMAL
2019-2020,Jonas PORUP,1307.2,1358.9,51.7,22,PL,Playmaker,False,NORMAL,1.003,91,2.35,NORMAL
2019-2020,Christoffer CICHOSZ,1303.1,1358.6,55.5,23,ST,Streg,False,NORMAL,1.004,67,2.4130434782608696,NORMAL
2019-2020,Andreas VÆVER,1312.6,1356.7,44.1,15,VF,Venstre fløj,False,NORMAL,1.01,41,2.94,NORMAL
2019-2020,Helena ELVER,1277.7,1356.5,78.8,22,PL,Playmaker,False,NORMAL,1.005,87,3.5818181818181816,NORMAL
2019-2020,Moa HÖGDAHL,1291.1,1355.6,64.5,23,HB,Højre back,False,NORMAL,1.003,113,2.8043478260869565,NORMAL
2019-2020,Line HAUGSTED,1311.7,1355.1,43.4,20,PL,Playmaker,False,NORMAL,1.002,99,2.17,NORMAL
2019-2020,Frederik LADEFOGED,1332.8,1353.3,20.5,11,ST,Streg,False,NORMAL,1.008,25,1.8636363636363635,NORMAL
2019-2020,Linn BLOHM,1267.5,1352.3,84.8,24,ST,Streg,False,NORMAL,1.003,106,3.533333333333333,NORMAL
2019-2020,Emma FRIIS,1320.6,1352.1,31.5,17,VF,Venstre fløj,False,NORMAL,1.01,35,1.8529411764705883,NORMAL
2019-2020,Charlotte Lund MIKKELSEN,1280.1,1351.7,71.6,23,HF,Højre fløj,False,NORMAL,1.003,84,3.1130434782608694,NORMAL
2019-2020,Anders EGGERT,1321.4,1351.5,30.1,12,VF,Venstre fløj,False,NORMAL,1.007,32,2.5083333333333333,NORMAL
2019-2020,Anne BRINCH-NIELSEN,1283.0,1351.5,68.5,23,HF,Højre fløj,False,NORMAL,1.002,82,2.9782608695652173,NORMAL
2019-2020,Rasmus PORUP,1266.4,1351.5,85.1,22,PL,Playmaker,False,NORMAL,1.003,130,3.8681818181818177,NORMAL
2019-2020,Johanna WESTBERG,1300.1,1351.3,51.2,15,PL,Playmaker,False,NORMAL,1.003,95,3.4133333333333336,NORMAL
2019-2020,Stine Ruscetta SKOGRAND,1264.5,1351.0,86.5,22,PL,Playmaker,False,NORMAL,1.004,131,3.9318181818181817,NORMAL
2019-2020,Rikke IVERSEN,1296.6,1348.8,52.2,19,ST,Streg,False,NORMAL,1.007,50,2.7473684210526317,NORMAL
2019-2020,Nadia OFFENDAL,1309.3,1348.4,39.1,19,PL,Playmaker,False,NORMAL,1.004,75,2.057894736842105,NORMAL
2019-2020,Mia REJ,1262.7,1347.2,84.5,23,PL,Playmaker,False,NORMAL,1.003,130,3.6739130434782608,NORMAL
2019-2020,Trine Østergaard JENSEN,1290.7,1346.9,56.2,22,HF,Højre fløj,False,NORMAL,1.005,67,2.5545454545454547,NORMAL
2019-2020,Marit Røsberg JACOBSEN,1275.9,1344.9,69.0,23,HF,Højre fløj,False,NORMAL,1.007,65,3.0,NORMAL
