season,player,start_rating,final_rating,rating_change,games,primary_position,position_name,is_goalkeeper,elite_status,momentum_factor,total_actions,rating_per_game,performance_level
2017-2018,Martin LARSEN,1200,1474.0,274.0,63,HB,Højre back,False,NORMAL,1.004,391,4.349206349206349,NORMAL
2017-2018,Nicolai PEDERSEN,1200,1437.4,237.4,31,VB,Venstre back,False,NORMAL,1.013,333,7.658064516129032,NORMAL
2017-2018,Philip STENMALM,1200,1420.3,220.3,32,PL,Playmaker,False,NORMAL,1.006,290,6.884375,NORMAL
2017-2018,Bo SPELLERBERG,1200,1409.7,209.7,31,PL,Playmaker,False,NORMAL,1.006,297,6.764516129032257,NORMAL
2017-2018,Nikolaj Øris NIELSEN,1200,1391.6,191.6,36,HB,Højre back,False,NORMAL,1.009,285,5.322222222222222,NORMAL
2017-2018,Lasse Kjær MØLLER,1200,1391.3,191.3,34,VB,Venstre back,False,NORMAL,1.007,280,5.626470588235295,NORMAL
2017-2018,Jacob HOLM,1200,1378.0,178.0,29,PL,Playmaker,False,NORMAL,1.003,274,6.137931034482759,NORMAL
2017-2018,Kasper SØNDERGAARD,1200,1377.4,177.4,31,HB,Højre back,False,NORMAL,1.003,221,5.72258064516129,NORMAL
2017-2018,Sebastian SKUBE,1200,1368.2,168.2,35,PL,Playmaker,True,NORMAL,1.006,194,4.805714285714285,NORMAL
2017-2018,Lukas KARLSSON,1200,1365.2,165.2,27,PL,Playmaker,False,NORMAL,1.003,257,6.118518518518518,NORMAL
2017-2018,Markus OLSSON,1200,1361.3,161.3,36,VB,Venstre back,False,NORMAL,1.007,257,4.480555555555556,NORMAL
2017-2018,Erik Thorsteinsen TOFT,1200,1351.4,151.4,28,PL,Playmaker,False,NORMAL,1.004,273,5.4071428571428575,NORMAL
2017-2018,Johan MEKLENBORG,1200,1347.8,147.8,29,PL,Playmaker,False,NORMAL,1.004,215,5.096551724137932,NORMAL
2017-2018,Torben PETERSEN,1200,1346.7,146.7,32,VB,Venstre back,False,NORMAL,1.004,229,4.584375,NORMAL
2017-2018,Marcus DAHLIN,1200,1345.0,145.0,27,HB,Højre back,False,NORMAL,1.002,251,5.37037037037037,NORMAL
2017-2018,Nikolaj MARKUSSEN,1200,1345.0,145.0,31,PL,Playmaker,False,NORMAL,1.003,229,4.67741935483871,NORMAL
2017-2018,Jesper KONRADSSON,1200,1344.8,144.8,36,PL,Playmaker,False,NORMAL,1.004,194,4.022222222222222,NORMAL
2017-2018,Rune Hoyer SCHRØDER,1200,1340.6,140.6,26,VB,Venstre back,False,NORMAL,1.006,222,5.407692307692307,NORMAL
2017-2018,Peter BALLING,1200,1338.8,138.8,30,HB,Højre back,False,NORMAL,1.001,225,4.626666666666667,NORMAL
2017-2018,Niclas Vest KIRKELØKKE,1200,1338.3,138.3,29,PL,Playmaker,False,NORMAL,1.002,222,4.76896551724138,NORMAL
2017-2018,Anders Kragh MARTINUSEN,1200,1337.7,137.7,31,PL,Playmaker,False,NORMAL,1.003,211,4.441935483870967,NORMAL
2017-2018,Eivind TANGEN,1200,1336.4,136.4,34,HB,Højre back,False,NORMAL,1.004,209,4.011764705882353,NORMAL
2017-2018,Jacob LASSEN,1200,1331.9,131.9,36,HF,Højre fløj,False,NORMAL,1.01,160,3.663888888888889,NORMAL
2017-2018,Omar Ingi MAGNUSSON,1200,1331.5,131.5,32,PL,Playmaker,False,NORMAL,1.006,191,4.109375,NORMAL
2017-2018,Bjarte MYRHOL,1200,1329.0,129.0,33,ST,Streg,False,NORMAL,1.004,144,3.909090909090909,NORMAL
2017-2018,Andreas Holst JENSEN,1200,1325.4,125.4,37,VB,Venstre back,False,NORMAL,1.006,221,3.389189189189189,NORMAL
2017-2018,Morten NYBERG,1200,1325.4,125.4,20,PL,Playmaker,False,NORMAL,1.009,160,6.2700000000000005,NORMAL
2017-2018,Kasper Irming ANDERSEN,1200,1322.4,122.4,20,PL,Playmaker,False,NORMAL,1.006,187,6.12,NORMAL
2017-2018,Aaron MENSING,1200,1320.3,120.3,29,VB,Venstre back,False,NORMAL,1.003,207,4.1482758620689655,NORMAL
2017-2018,Lasse UTH,1200,1320.0,120.0,32,VF,Venstre fløj,False,NORMAL,1.011,100,3.75,NORMAL
2017-2018,Viktor ÖSTLUND,1200,1318.6,118.6,29,VB,Venstre back,False,NORMAL,1.003,204,4.089655172413793,NORMAL
2017-2018,Mark STRANDGAARD,1200,1315.1,115.1,36,HF,Højre fløj,False,NORMAL,1.004,102,3.197222222222222,NORMAL
2017-2018,Tobias ELLEBÆK,1200,1310.3,110.3,31,VB,Venstre back,False,NORMAL,1.002,175,3.5580645161290323,NORMAL
2017-2018,Gøran Søgaard JOHANNESEN,1200,1308.2,108.2,29,PL,Playmaker,False,NORMAL,1.005,176,3.731034482758621,NORMAL
2017-2018,Michael KNUDSEN,1200,1302.8,102.8,34,ST,Streg,False,NORMAL,1.006,115,3.023529411764706,NORMAL
2017-2018,Sebastian HENNEBERG,1200,1301.7,101.7,25,PL,Playmaker,False,NORMAL,1.007,179,4.0680000000000005,NORMAL
2017-2018,Morten BALLING,1200,1299.5,99.5,28,PL,Playmaker,False,NORMAL,1.006,172,3.5535714285714284,NORMAL
2017-2018,Jonas SAMUELSSON,1200,1299.2,99.2,29,HF,Højre fløj,False,NORMAL,1.005,89,3.420689655172414,NORMAL
2017-2018,Miha ZVIZEJ,1200,1298.9,98.9,27,ST,Streg,False,NORMAL,1.007,109,3.662962962962963,NORMAL
2017-2018,René RASMUSSEN,1200,1297.9,97.9,26,HF,Højre fløj,False,NORMAL,1.005,93,3.7653846153846158,NORMAL
2017-2018,Chris Holm JØRGENSEN,1200,1297.6,97.6,29,PL,Playmaker,False,NORMAL,1.008,156,3.36551724137931,NORMAL
2017-2018,Magnus JØNDAL,1200,1296.4,96.4,34,VF,Venstre fløj,False,NORMAL,1.007,100,2.835294117647059,NORMAL
2017-2018,Henrik JAKOBSEN,1200,1296.4,96.4,35,ST,Streg,False,NORMAL,1.008,113,2.7542857142857144,NORMAL
2017-2018,Morten BJØRNSHAUGE,1200,1295.4,95.4,29,ST,Streg,False,NORMAL,1.009,111,3.2896551724137932,NORMAL
2017-2018,Akutaaneq KREUTZMANN,1200,1294.7,94.7,31,HB,Højre back,False,NORMAL,1.004,142,3.0548387096774197,NORMAL
