season,player,start_rating,final_rating,rating_change,games,primary_position,position_name,is_goalkeeper,elite_status,momentum_factor,total_actions,rating_per_game,performance_level,rating_consistency
2022-2023,FELIX CLAAR,1400.7,1736.7,336.0,37,PL,Playmaker,False,LEGENDARY,1.002,538,9.08108108108108,ELITE,9.08108108108108
2022-2023,SIMON PYTLICK,1381.3,1706.8,325.5,32,PL,Playmaker,False,LEGENDARY,1.006,564,10.171875,ELITE,10.171875
2022-2023,LUKAS SANDELL,1400.3,1701.3,301.0,32,PL,Playmaker,False,LEGENDARY,1.001,514,9.40625,ELITE,9.40625
2022-2023,MARCUS DAHLIN,1305.9,1701.1000000000001,395.2,26,HB,Højre back,False,LEGENDARY,0.999,464,15.2,ELITE,15.2
2022-2023,KRISTIAN STOKLUND,1397.5,1697.8,300.3,37,PL,Playmaker,False,LEGENDARY,1.006,364,8.116216216216216,ELITE,8.116216216216216
2022-2023,MADS KJELDGAARD ANDERSEN,1402.0,1697.5,295.5,32,PL,Playmaker,False,LEGENDARY,1.008,470,9.234375,ELITE,9.234375
2022-2023,SIMON GADE,1312.3,1678.9,366.6,37,MV,Målvogter,True,LEGENDARY,1.016,190,9.90810810810811,ELITE,9.90810810810811
2022-2023,THOMAS ARNOLDSEN,1365.4,1645.1000000000001,279.7,28,PL,Playmaker,False,LEGENDARY,1.007,406,9.989285714285714,ELITE,9.989285714285714
2022-2023,JEPPE GADE NIELSEN,1231.5,1634.3,402.8,27,PL,Playmaker,False,LEGENDARY,1.007,450,14.91851851851852,ELITE,14.91851851851852
2022-2023,ANDERS KRAGH MARTINUSEN,1400.9,1626.7,225.8,31,PL,Playmaker,False,LEGENDARY,1.007,378,7.283870967741936,ELITE,7.283870967741936
2022-2023,MATHIAS JØRGENSEN,1303.9,1625.7,321.8,31,HF,Højre fløj,False,LEGENDARY,1.011,409,10.380645161290323,ELITE,10.380645161290323
2022-2023,EIVIND TANGEN,1383.4,1615.7,232.3,37,PL,Playmaker,False,LEGENDARY,1.003,431,6.278378378378378,ELITE,6.278378378378378
2022-2023,BJARKE CHRISTENSEN,1387.0,1613.4,226.4,31,VF,Venstre fløj,False,LEGENDARY,1.006,227,7.303225806451613,ELITE,7.303225806451613
2022-2023,NIKOLAJ ØRIS NIELSEN,1400.7,1612.4,211.7,32,PL,Playmaker,False,LEGENDARY,1.011,334,6.615625,ELITE,6.615625
2022-2023,MORTEN BALLING,1397.6,1602.3999999999999,204.8,32,PL,Playmaker,False,LEGENDARY,1.005,289,6.4,ELITE,6.4
2022-2023,CHRISTOFFER BONDE,1244.3,1582.6999999999998,338.4,37,MV,Målvogter,True,LEGENDARY,0.998,163,9.145945945945945,ELITE,9.145945945945945
2022-2023,PETER BALLING,1394.7,1580.6000000000001,185.9,32,PL,Playmaker,False,LEGENDARY,1.01,328,5.809375,ELITE,5.809375
2022-2023,JONAS LARHOLM,1353.5,1579.7,226.2,22,PL,Playmaker,False,LEGENDARY,0.998,289,10.281818181818181,ELITE,10.281818181818181
2022-2023,NIKOLAJ MARKUSSEN,1383.8,1571.2,187.4,29,PL,Playmaker,False,LEGENDARY,1.007,271,6.462068965517242,ELITE,6.462068965517242
2022-2023,MORTEN OLSEN,1360.8,1547.5,186.7,29,PL,Playmaker,False,LEGENDARY,0.997,384,6.437931034482758,ELITE,6.437931034482758
2022-2023,NOAH GAUDIN,1312.5,1536.1,223.6,24,PL,Playmaker,False,LEGENDARY,1.002,413,9.316666666666666,ELITE,9.316666666666666
