season,player,start_rating,final_rating,rating_change,games,primary_position,position_name,is_goalkeeper,elite_status,momentum_factor,total_actions,rating_per_game,performance_level
2018-2019,Nikolaj Øris NIELSEN,1350.0,1565.4,215.4,33,PL,Playmaker,False,NORMAL,1.005,298,6.527272727272727,NORMAL
2018-2019,Kasper Irming ANDERSEN,1309.8,1503.1,193.3,30,HB,Højre back,False,NORMAL,1.007,309,6.443333333333333,NORMAL
2018-2019,Lukas KARLSSON,1334.7,1502.3,167.6,30,PL,Playmaker,False,NORMAL,1.004,229,5.586666666666667,NORMAL
2018-2019,Lasse Kjær MØLLER,1350.0,1501.5,151.5,26,VB,Venstre back,False,NORMAL,1.006,226,5.826923076923077,NORMAL
2018-2019,Omar Ingi MAGNUSSON,1317.5,1488.4,170.9,34,HB,Højre back,False,NORMAL,1.009,234,5.026470588235294,NORMAL
2018-2019,Aaron MENSING,1308.0,1486.7,178.7,27,VB,Venstre back,False,NORMAL,1.009,254,6.618518518518518,NORMAL
2018-2019,Eivind TANGEN,1312.6,1467.3,154.7,36,HB,Højre back,False,NORMAL,1.003,270,4.297222222222222,NORMAL
2018-2019,Sebastian SKUBE,1336.9,1465.5,128.6,33,PL,Playmaker,False,NORMAL,1.004,160,3.896969696969697,NORMAL
2018-2019,Erik Thorsteinsen TOFT,1324.1,1460.1,136.0,29,PL,Playmaker,False,NORMAL,1.003,229,4.689655172413793,NORMAL
2018-2019,Niclas Vest KIRKELØKKE,1314.1,1458.6,144.5,28,PL,Playmaker,False,NORMAL,1.003,208,5.160714285714286,NORMAL
2018-2019,Jacob LASSEN,1317.9,1451.2,133.3,35,HB,Højre back,False,NORMAL,1.005,167,3.8085714285714287,NORMAL
2018-2019,Jesper KONRADSSON,1319.0,1447.6,128.6,34,PL,Playmaker,False,NORMAL,1.008,185,3.7823529411764705,NORMAL
2018-2019,Johan MEKLENBORG,1321.3,1443.2,121.9,21,PL,Playmaker,False,NORMAL,1.003,165,5.8047619047619055,NORMAL
2018-2019,Morten NYBERG,1312.3,1438.7,126.4,26,HB,Højre back,False,NORMAL,1.011,170,4.861538461538462,NORMAL
2018-2019,Anders Kragh MARTINUSEN,1313.6,1438.3,124.7,31,HB,Højre back,False,NORMAL,1.004,206,4.02258064516129,NORMAL
2018-2019,Kasper SØNDERGAARD,1344.0,1436.1,92.1,28,HB,Højre back,False,NORMAL,1.005,117,3.289285714285714,NORMAL
2018-2019,Nikolaj MARKUSSEN,1319.2,1435.9,116.7,23,PL,Playmaker,False,NORMAL,1.005,175,5.073913043478261,NORMAL
2018-2019,Marcus DAHLIN,1319.2,1432.6,113.4,25,HB,Højre back,False,NORMAL,1.008,200,4.5360000000000005,NORMAL
2018-2019,Lasse UTH,1307.7,1415.0,107.3,29,VF,Venstre fløj,False,NORMAL,1.006,86,3.6999999999999997,NORMAL
2018-2019,Nicolai PEDERSEN,1350.0,1413.4,63.4,24,PL,Playmaker,False,NORMAL,1.004,94,2.6416666666666666,NORMAL
2018-2019,Peter BALLING,1314.5,1413.3,98.8,21,HB,Højre back,False,NORMAL,1.002,168,4.704761904761905,NORMAL
2018-2019,Bjarte MYRHOL,1315.4,1408.6,93.2,28,ST,Streg,False,NORMAL,1.007,117,3.3285714285714287,NORMAL
2018-2019,Torben PETERSEN,1320.5,1408.5,88.0,29,PL,Playmaker,False,NORMAL,1.002,137,3.0344827586206895,NORMAL
2018-2019,Martin LARSEN,1350.0,1405.0,55.0,16,PL,Playmaker,False,NORMAL,1.007,74,3.4375,NORMAL
2018-2019,Simone Cathrine PETERSEN,1229.3,1403.0,173.7,32,PL,Playmaker,False,NORMAL,1.001,248,5.428125,NORMAL
2018-2019,Mark STRANDGAARD,1303.5,1400.5,97.0,30,HF,Højre fløj,False,NORMAL,1.005,97,3.2333333333333334,NORMAL
2018-2019,Sebastian HENNEBERG,1292.1,1398.4,106.3,27,PL,Playmaker,False,NORMAL,1.007,172,3.937037037037037,NORMAL
2018-2019,Janus SMARÁSON,1268.3,1397.9,129.6,36,PL,Playmaker,False,NORMAL,1.002,175,3.5999999999999996,NORMAL
2018-2019,Helene Gigstad FAUSKE,1228.2,1396.2,168.0,36,PL,Playmaker,False,NORMAL,1.009,265,4.666666666666667,NORMAL
2018-2019,Andreas Holst JENSEN,1312.3,1395.3,83.0,22,VB,Venstre back,False,NORMAL,1.006,137,3.772727272727273,NORMAL
2018-2019,Chris Holm JØRGENSEN,1288.6,1393.9,105.3,18,PL,Playmaker,False,NORMAL,1.007,132,5.85,NORMAL
2018-2019,Michael KNUDSEN,1293.0,1391.3,98.3,34,ST,Streg,False,NORMAL,1.005,119,2.8911764705882352,NORMAL
2018-2019,Viktor ÖSTLUND,1306.5,1389.3,82.8,31,PL,Playmaker,False,NORMAL,1.004,144,2.670967741935484,NORMAL
2018-2019,Besard HAKAJ,1276.6,1385.5,108.9,31,ST,Streg,False,NORMAL,1.006,136,3.512903225806452,NORMAL
2018-2019,Estavana POLMAN,1229.3,1383.2,153.9,34,PL,Playmaker,False,NORMAL,1.004,260,4.526470588235294,NORMAL
2018-2019,Johan HANSEN,1247.7,1381.9,134.2,34,HF,Højre fløj,False,NORMAL,1.006,131,3.9470588235294115,NORMAL
2018-2019,Emil JAKOBSEN,1267.6,1381.8,114.2,34,VF,Venstre fløj,False,NORMAL,1.004,113,3.3588235294117648,NORMAL
2018-2019,Jonas SAMUELSSON,1289.9,1381.2,91.3,30,HF,Højre fløj,False,NORMAL,1.005,97,3.0433333333333334,NORMAL
2018-2019,Akutaaneq KREUTZMANN,1286.1,1377.6,91.5,24,PL,Playmaker,False,NORMAL,1.005,137,3.8125,NORMAL
2018-2019,Oliver Nøddesbo EGGERT,1280.9,1376.7,95.8,25,PL,Playmaker,False,NORMAL,1.005,149,3.832,NORMAL
2018-2019,Stine JØRGENSEN,1264.3,1376.5,112.2,29,PL,Playmaker,False,NORMAL,1.006,173,3.8689655172413793,NORMAL
2018-2019,Nikolaj LÆSØ,1247.9,1376.5,128.6,32,PL,Playmaker,False,NORMAL,1.006,216,4.01875,NORMAL
2018-2019,Tobias ELLEBÆK,1299.4,1376.2,76.8,33,VB,Venstre back,False,NORMAL,1.004,138,2.327272727272727,NORMAL
2018-2019,Cornelius Kragh AASTRUP,1242.3,1376.2,133.9,29,PL,Playmaker,False,NORMAL,1.003,250,4.617241379310345,NORMAL
2018-2019,Jonas Gade NIELSEN,1200.0,1370.0,170.0,29,HB,Højre back,False,NORMAL,1.011,238,5.862068965517241,NORMAL
2018-2019,Louise BURGAARD,1235.9,1368.3,132.4,34,HB,Højre back,False,NORMAL,1.001,219,3.894117647058824,NORMAL
2018-2019,Jesper NØDDESBO,1270.8,1367.9,97.1,30,ST,Streg,False,NORMAL,1.009,97,3.2366666666666664,NORMAL
2018-2019,Trine KNUDSEN,1200.0,1367.4,167.4,29,PL,Playmaker,False,NORMAL,1.009,220,5.772413793103448,NORMAL
2018-2019,Kristina JØRGENSEN,1239.1,1366.4,127.3,32,PL,Playmaker,False,NORMAL,1.003,203,3.978125,NORMAL
2018-2019,Mattias THYNELL,1238.2,1366.2,128.0,21,PL,Playmaker,False,NORMAL,1.008,202,6.095238095238095,NORMAL
2018-2019,Jesper DAHL,1283.9,1364.2,80.3,23,HF,Højre fløj,False,NORMAL,1.004,95,3.491304347826087,NORMAL
2018-2019,June BØTTGER,1229.3,1363.8,134.5,32,VF,Venstre fløj,False,NORMAL,1.009,152,4.203125,NORMAL
2018-2019,Miha ZVIZEJ,1289.7,1360.2,70.5,28,ST,Streg,False,NORMAL,1.007,67,2.517857142857143,NORMAL
2018-2019,Magnus BRAMMING,1264.2,1356.8,92.6,31,VF,Venstre fløj,False,NORMAL,1.005,105,2.987096774193548,NORMAL
2018-2019,Inger SMITS,1200.0,1356.7,156.7,32,PL,Playmaker,False,NORMAL,1.006,240,4.896875,NORMAL
2018-2019,Jac KARLSSON,1270.3,1355.2,84.9,28,PL,Playmaker,False,NORMAL,1.004,107,3.0321428571428575,NORMAL
2018-2019,Anne Cecilie DE LA COUR,1239.8,1353.0,113.2,31,HB,Højre back,False,NORMAL,1.003,228,3.6516129032258067,NORMAL
2018-2019,Lærke Nolsøe PEDERSEN,1227.8,1352.6,124.8,31,VF,Venstre fløj,False,NORMAL,1.008,131,4.025806451612903,NORMAL
2018-2019,Mikkel Kjær MØLLER,1255.8,1351.0,95.2,28,VF,Venstre fløj,False,NORMAL,1.002,117,3.4,NORMAL
2018-2019,Dan Beck HANSEN,1266.5,1348.8,82.3,26,ST,Streg,False,NORMAL,1.005,94,3.1653846153846152,NORMAL
2018-2019,Sofie Bæk ANDERSEN,1230.8,1348.6,117.8,29,PL,Playmaker,False,NORMAL,1.004,167,4.062068965517241,NORMAL
2018-2019,Mads Kjeldgaard ANDERSEN,1226.7,1347.9,121.2,28,PL,Playmaker,False,NORMAL,1.002,161,4.328571428571428,NORMAL
2018-2019,Morten BALLING,1290.2,1345.1,54.9,30,PL,Playmaker,False,NORMAL,1.006,92,1.8299999999999998,NORMAL
2018-2019,Frederik LADEFOGED,1270.1,1344.6,74.5,25,ST,Streg,False,NORMAL,1.01,80,2.98,NORMAL
2018-2019,Sarah IVERSEN,1231.8,1340.6,108.8,34,ST,Streg,False,NORMAL,1.003,122,3.1999999999999997,NORMAL
2018-2019,Vilde Mortensen INGSTAD,1230.7,1340.0,109.3,32,ST,Streg,False,NORMAL,1.005,131,3.415625,NORMAL
2018-2019,René RASMUSSEN,1288.8,1338.0,49.2,18,HF,Højre fløj,False,NORMAL,1.004,54,2.7333333333333334,NORMAL
2018-2019,Kristina LISCEVIC,1257.0,1336.9,79.9,34,ST,Streg,False,NORMAL,1.003,124,2.35,NORMAL
2018-2019,Sebastian BARTHOLD,1229.6,1336.2,106.6,29,VF,Venstre fløj,False,NORMAL,1.008,96,3.6758620689655173,NORMAL
2018-2019,Lars MOUSING,1262.6,1336.1,73.5,30,ST,Streg,False,NORMAL,1.004,83,2.45,NORMAL
2018-2019,Emil LÆRKE,1226.7,1335.7,109.0,37,PL,Playmaker,False,NORMAL,1.004,184,2.945945945945946,NORMAL
2018-2019,Mads Øris NIELSEN,1243.3,1333.5,90.2,33,PL,Playmaker,False,NORMAL,1.003,140,2.7333333333333334,NORMAL
2018-2019,Kathrine HEINDAHL,1241.9,1332.5,90.6,34,ST,Streg,False,NORMAL,1.002,118,2.664705882352941,NORMAL
2018-2019,Celine Lundbye KRISTIANSEN,1230.8,1331.6,100.8,30,PL,Playmaker,False,NORMAL,1.001,177,3.36,NORMAL
2018-2019,Anders EGGERT,1264.7,1331.3,66.6,28,VF,Venstre fløj,False,NORMAL,1.006,56,2.3785714285714286,NORMAL
2018-2019,Jens PESCHARDT,1251.3,1331.0,79.7,30,PL,Playmaker,False,NORMAL,1.01,136,2.6566666666666667,NORMAL
2018-2019,Emma FRIIS,1230.3,1330.3,100.0,32,VF,Venstre fløj,False,NORMAL,1.011,98,3.125,NORMAL
2018-2019,Jesper KOKHOLM,1200.0,1328.9,128.9,28,HF,Højre fløj,False,NORMAL,1.007,125,4.603571428571429,NORMAL
2018-2019,Marcus MØRK,1200.0,1327.8,127.8,30,PL,Playmaker,False,NORMAL,1.004,180,4.26,NORMAL
2018-2019,Nicolai NØRAGER,1200.0,1326.3,126.3,26,PL,Playmaker,False,NORMAL,1.003,175,4.857692307692307,NORMAL
2018-2019,Anna LAGERQUIST,1227.3,1323.2,95.9,31,ST,Streg,False,NORMAL,1.007,118,3.0935483870967744,NORMAL
2018-2019,Nicolas Lundbye KRISTIANSEN,1231.9,1323.0,91.1,28,HB,Højre back,False,NORMAL,1.004,135,3.2535714285714286,NORMAL
2018-2019,Stine HOLM,1200.0,1322.1,122.1,29,HF,Højre fløj,True,NORMAL,1.002,139,4.210344827586207,NORMAL
2018-2019,Mette Brandt NIELSEN,1200.0,1321.9,121.9,28,PL,Playmaker,False,NORMAL,1.007,124,4.353571428571429,NORMAL
