season,player,start_rating,final_rating,rating_change,games,primary_position,position_name,is_goalkeeper,elite_status,momentum_factor,total_actions,rating_per_game,performance_level
2023-2024,Kristin THORLEIFSDÓTTIR,1350.0,1621.0,271.0,29,PL,Playmaker,False,NORMAL,1.003,459,9.344827586206897,NORMAL
2023-2024,Anders Kragh MARTINUSEN,1350.0,1568.0,218.0,38,PL,Playmaker,False,NORMAL,1.007,241,5.7368421052631575,NORMAL
2023-2024,Noah GAUDIN,1350.0,1537.6,187.6,36,PL,Playmaker,False,NORMAL,1.007,312,5.211111111111111,NORMAL
2023-2024,Emil MADSEN,1350.0,1518.2,168.2,31,PL,Playmaker,False,NORMAL,1.003,266,5.425806451612903,NORMAL
2023-2024,Nikolaj MARKUSSEN,1350.0,1512.4,162.4,32,PL,Playmaker,False,NORMAL,1.005,255,5.075,NORMAL
2023-2024,Nichlas HALD,1350.0,1511.0,161.0,23,PL,Playmaker,False,NORMAL,1.006,296,7.0,NORMAL
2023-2024,Line Berggren LARSEN,1350.0,1508.5,158.5,30,PL,Playmaker,False,NORMAL,1.006,246,5.283333333333333,NORMAL
2023-2024,Oliver NORLYK,1350.0,1506.4,156.4,28,PL,Playmaker,False,NORMAL,1.002,219,5.585714285714286,NORMAL
2023-2024,Jeppe CIESLAK,1301.0,1499.9,198.9,27,VF,Venstre fløj,False,NORMAL,1.007,139,7.366666666666667,NORMAL
2023-2024,Carl-Emil HAUNSTRUP,1350.0,1498.8,148.8,30,HF,Højre fløj,False,NORMAL,1.008,128,4.96,NORMAL
2023-2024,Andreas LANG,1350.0,1489.3,139.3,28,PL,Playmaker,False,NORMAL,1.009,183,4.9750000000000005,NORMAL
2023-2024,Moa HÖGDAHL,1350.0,1484.8,134.8,12,PL,Playmaker,False,NORMAL,1.013,178,11.233333333333334,NORMAL
2023-2024,Dione HOUSHEER,1350.0,1483.2,133.2,36,HB,Højre back,False,NORMAL,1.004,221,3.6999999999999997,NORMAL
2023-2024,Sander ØVERJORDET,1350.0,1482.5,132.5,24,PL,Playmaker,False,NORMAL,1.005,188,5.520833333333333,NORMAL
2023-2024,Nora MØRK,1305.8,1482.3,176.5,29,ST,Streg,False,NORMAL,1.005,293,6.086206896551724,NORMAL
2023-2024,Christina PEDERSEN,1342.1,1479.7,137.6,32,PL,Playmaker,False,NORMAL,1.004,215,4.3,NORMAL
2023-2024,Martin BISGAARD,1350.0,1479.7,129.7,37,VF,Venstre fløj,False,NORMAL,1.006,123,3.505405405405405,NORMAL
2023-2024,Cecilie SPECHT,1350.0,1474.2,124.2,26,HB,Højre back,False,NORMAL,1.004,268,4.776923076923077,NORMAL
2023-2024,Morten Hempel JENSEN,1350.0,1474.0,124.0,30,PL,Playmaker,False,NORMAL,1.007,193,4.133333333333334,NORMAL
2023-2024,Kristian OLSEN,1306.8,1472.9,166.1,28,PL,Playmaker,False,NORMAL,1.005,271,5.932142857142857,NORMAL
2023-2024,Jane MEJLVANG,1350.0,1471.6,121.6,30,PL,Playmaker,False,NORMAL,1.007,177,4.053333333333333,NORMAL
2023-2024,Ingvild BAKKERUD,1350.0,1471.4,121.4,32,VB,Venstre back,False,NORMAL,1.007,175,3.79375,NORMAL
2023-2024,Andreas SØGAARD,1350.0,1469.2,119.2,38,ST,Streg,False,NORMAL,1.006,146,3.136842105263158,NORMAL
2023-2024,Nicolaj JØRGENSEN,1300.5,1468.7,168.2,30,PL,Playmaker,False,NORMAL,1.005,236,5.6066666666666665,NORMAL
2023-2024,Stine JØRGENSEN,1338.2,1466.5,128.3,30,VB,Venstre back,False,NORMAL,1.003,199,4.276666666666667,NORMAL
2023-2024,Benjamin PEDERSEN,1350.0,1464.3,114.3,28,ST,Streg,False,NORMAL,1.006,124,4.082142857142857,NORMAL
2023-2024,Tyra AXNÉR,1300.0,1462.2,162.2,30,PL,Playmaker,False,NORMAL,1.004,286,5.406666666666666,NORMAL
2023-2024,Senjamin BURIC,1350.0,1459.9,109.9,31,ST,Streg,False,NORMAL,1.009,128,3.545161290322581,NORMAL
2023-2024,Jonatan MOLLERUP,1350.0,1459.1,109.1,28,PL,Playmaker,False,NORMAL,1.005,165,3.8964285714285714,NORMAL
2023-2024,Kristine BREISTØL,1350.0,1455.9,105.9,31,PL,Playmaker,False,NORMAL,1.002,266,3.416129032258065,NORMAL
2023-2024,Nikolaj ENDERLEIT,1345.5,1455.5,110.0,29,PL,Playmaker,False,NORMAL,1.004,194,3.793103448275862,NORMAL
2023-2024,Elvar ASGEIRSSON,1350.0,1454.8,104.8,33,PL,Playmaker,False,NORMAL,1.003,160,3.175757575757576,NORMAL
2023-2024,Marielle MARTINSEN,1350.0,1453.2,103.2,27,PL,Playmaker,False,NORMAL,1.005,134,3.8222222222222224,NORMAL
2023-2024,Frederik TILSTED,1350.0,1453.2,103.2,22,PL,Playmaker,False,NORMAL,1.006,170,4.690909090909091,NORMAL
2023-2024,Henny REISTAD,1350.0,1451.3,101.3,24,PL,Playmaker,False,NORMAL,1.005,159,4.220833333333333,NORMAL
2023-2024,Kasper YOUNG,1350.0,1449.7,99.7,34,HF,Højre fløj,False,NORMAL,1.008,101,2.932352941176471,NORMAL
2023-2024,Matias CAMPBELL,1350.0,1449.3,99.3,23,PL,Playmaker,False,NORMAL,1.008,143,4.317391304347826,NORMAL
2023-2024,Mads Svane KNUDSEN,1296.5,1448.8,152.3,30,PL,Playmaker,False,NORMAL,1.005,199,5.076666666666667,NORMAL
2023-2024,Mie HØJLUND,1350.0,1448.5,98.5,29,PL,Playmaker,False,NORMAL,1.005,132,3.396551724137931,NORMAL
2023-2024,Mathias JØRGENSEN,1350.0,1448.4,98.4,33,HF,Højre fløj,False,NORMAL,1.013,91,2.981818181818182,NORMAL
2023-2024,Sara HALD,1350.0,1447.6,97.6,30,ST,Streg,False,NORMAL,1.004,115,3.253333333333333,NORMAL
2023-2024,Morten OLSEN,1350.0,1447.5,97.5,24,PL,Playmaker,False,NORMAL,1.002,146,4.0625,NORMAL
2023-2024,Kaja Kamp NIELSEN,1350.0,1447.5,97.5,35,ST,Streg,False,NORMAL,1.004,143,2.7857142857142856,NORMAL
2023-2024,Morten BJØRNSHAUGE,1350.0,1446.8,96.8,28,ST,Streg,False,NORMAL,1.01,103,3.457142857142857,NORMAL
2023-2024,Christoffer DREYER,1311.2,1446.0,134.8,28,PL,Playmaker,False,NORMAL,1.006,141,4.814285714285715,NORMAL
2023-2024,Alberte EBLER,1315.9,1445.6,129.7,27,HB,Højre back,False,NORMAL,1.004,211,4.803703703703703,NORMAL
2023-2024,Mai KRAGBALLE,1200.0,1440.9,240.9,29,PL,Playmaker,False,NORMAL,1.006,329,8.306896551724138,NORMAL
2023-2024,Sofie BARDRUM,1350.0,1439.4,89.4,31,ST,Streg,False,NORMAL,1.008,118,2.883870967741936,NORMAL
2023-2024,Nicolaj NØRAGER,1350.0,1436.7,86.7,29,PL,Playmaker,False,NORMAL,1.004,89,2.9896551724137934,NORMAL
2023-2024,Michala MØLLER,1341.3,1430.9,89.6,34,PL,Playmaker,False,NORMAL,1.003,168,2.635294117647059,NORMAL
2023-2024,Laura Holm ANDERSEN,1308.6,1430.4,121.8,29,VF,Venstre fløj,False,NORMAL,1.006,126,4.2,NORMAL
2023-2024,Ludvig HALLBÄCK,1343.3,1429.7,86.4,31,PL,Playmaker,False,NORMAL,1.003,129,2.7870967741935484,NORMAL
2023-2024,Simone PETERSEN,1350.0,1429.3,79.3,33,ST,Streg,False,NORMAL,1.004,98,2.403030303030303,NORMAL
2023-2024,June BØTTGER,1350.0,1428.8,78.8,29,VF,Venstre fløj,False,NORMAL,1.008,87,2.717241379310345,NORMAL
2023-2024,Viktor NEVERS,1350.0,1427.9,77.9,27,HF,Højre fløj,False,NORMAL,1.009,78,2.8851851851851853,NORMAL
2023-2024,Lasse MIKKELSEN,1350.0,1426.3,76.3,20,PL,Playmaker,False,NORMAL,1.002,115,3.815,NORMAL
2023-2024,Freja COHRT,1350.0,1426.2,76.2,28,VF,Venstre fløj,False,NORMAL,1.006,77,2.7214285714285715,NORMAL
2023-2024,Peter BALLING,1350.0,1425.0,75.0,32,PL,Playmaker,False,NORMAL,1.004,130,2.34375,NORMAL
2023-2024,Marcus MØRK,1350.0,1422.7,72.7,26,PL,Playmaker,False,NORMAL,1.002,112,2.7961538461538464,NORMAL
2023-2024,Emma FRIIS,1350.0,1421.9,71.9,25,VF,Venstre fløj,False,NORMAL,1.011,70,2.8760000000000003,NORMAL
2023-2024,Rikke IVERSEN,1350.0,1421.4,71.4,31,ST,Streg,False,NORMAL,1.004,129,2.303225806451613,NORMAL
2023-2024,Morten JØRGENSEN,1350.0,1419.8,69.8,27,VF,Venstre fløj,False,NORMAL,1.005,66,2.585185185185185,NORMAL
2023-2024,Marit Røsberg JACOBSEN,1350.0,1419.8,69.8,25,HF,Højre fløj,False,NORMAL,1.008,63,2.792,NORMAL
2023-2024,Bjarke CHRISTENSEN,1350.0,1419.4,69.4,23,VF,Venstre fløj,False,NORMAL,1.009,65,3.0173913043478264,NORMAL
2023-2024,Thomas ARNOLDSEN,1350.0,1417.8,67.8,21,PL,Playmaker,False,NORMAL,1.004,102,3.2285714285714286,NORMAL
2023-2024,Eivind TANGEN,1350.0,1417.2,67.2,16,HB,Højre back,False,NORMAL,1.003,126,4.2,NORMAL
2023-2024,Ayaka IKEHARA,1350.0,1417.1,67.1,22,HF,Højre fløj,False,NORMAL,1.007,82,3.05,NORMAL
2023-2024,Anne Tolstrup PETERSEN,1350.0,1417.0,67.0,26,HF,Højre fløj,False,NORMAL,1.006,67,2.576923076923077,NORMAL
2023-2024,Sebastian HENNEBERG,1312.7,1414.6,101.9,31,PL,Playmaker,False,NORMAL,1.003,125,3.2870967741935484,NORMAL
2023-2024,Anna GRUNDTVIG,1350.0,1413.9,63.9,25,VF,Venstre fløj,False,NORMAL,1.006,74,2.556,NORMAL
2023-2024,Lærke NOLSØE,1322.4,1413.5,91.1,34,VF,Venstre fløj,False,NORMAL,1.006,90,2.679411764705882,NORMAL
2023-2024,Stine SKOGRAND,1350.0,1413.3,63.3,34,HB,Højre back,False,NORMAL,1.003,103,1.8617647058823528,NORMAL
2023-2024,Mikkel LANG,1310.2,1411.5,101.3,28,HF,Højre fløj,False,NORMAL,1.01,81,3.617857142857143,NORMAL
2023-2024,William AAR,1288.3,1411.0,122.7,36,PL,Playmaker,False,NORMAL,1.009,179,3.408333333333333,NORMAL
2023-2024,Emil GRØNBECH,1279.5,1410.2,130.7,38,HB,Højre back,False,NORMAL,1.009,202,3.439473684210526,NORMAL
2023-2024,Miha ZVIZEJ,1350.0,1409.5,59.5,27,ST,Streg,False,NORMAL,1.004,73,2.2037037037037037,NORMAL
2023-2024,Amalie WULFF,1350.0,1409.1,59.1,26,ST,Streg,False,NORMAL,1.006,64,2.273076923076923,NORMAL
2023-2024,Kristina KRISTIANSEN,1350.0,1408.6,58.6,29,PL,Playmaker,False,NORMAL,1.005,85,2.020689655172414,NORMAL
2023-2024,Emma LINDQVIST,1350.0,1408.1,58.1,31,HF,Højre fløj,False,NORMAL,1.006,81,1.8741935483870968,NORMAL
2023-2024,Natasja ANDREASEN,1350.0,1408.0,58.0,25,PL,Playmaker,False,NORMAL,1.005,80,2.32,NORMAL
2023-2024,Torben PETERSEN,1350.0,1407.9,57.9,30,PL,Playmaker,False,NORMAL,1.005,106,1.93,NORMAL
2023-2024,Alberte KIELSTRUP,1291.9,1406.7,114.8,33,HB,Højre back,False,NORMAL,1.004,146,3.4787878787878785,NORMAL
2023-2024,Clara SKØTT,1342.8,1406.3,63.5,27,HF,Højre fløj,False,NORMAL,1.004,71,2.3518518518518516,NORMAL
2023-2024,Lasse PEDERSEN,1350.0,1405.9,55.9,28,HF,Højre fløj,False,NORMAL,1.005,61,1.9964285714285714,NORMAL
2023-2024,Rikke Hoffbeck PETERSEN,1350.0,1405.6,55.6,26,VF,Venstre fløj,False,NORMAL,1.007,65,2.1384615384615384,NORMAL
2023-2024,Alexander LYNGGAARD,1350.0,1405.1,55.1,28,ST,Streg,False,NORMAL,1.003,72,1.967857142857143,NORMAL
2023-2024,Henrik TILSTED,1343.9,1404.0,60.1,21,VF,Venstre fløj,False,NORMAL,1.009,45,2.861904761904762,NORMAL
2023-2024,Frida Høgaard NIELSEN,1300.0,1403.2,103.2,30,PL,Playmaker,False,NORMAL,1.001,164,3.44,NORMAL
2023-2024,Marcus DAHLIN,1350.0,1402.3,52.3,23,HB,Højre back,False,NORMAL,1.001,89,2.273913043478261,NORMAL
