season,player,start_rating,final_rating,rating_change,games,primary_position,position_name,is_goalkeeper,elite_status,momentum_factor,total_actions,rating_per_game,performance_level
2022-2023,Niels DAHL,1200.0,1201.5,1.5,1,PL,Playmaker,False,NORMAL,1.0,2,1.5,NORMAL
2022-2023,Mads BJERGFELT,1200.0,1201.4,1.4,3,PL,Playmaker,False,NORMAL,1.002,5,0.4666666666666666,NORMAL
2022-2023,Mathilde Rahbek JUNCKER,1200.0,1201.4,1.4,1,MV,Målvogter,True,NORMAL,1.0,1,1.4,NORMAL
2022-2023,Bertram SIMONSEN,1200.0,1201.4,1.4,2,VB,Venstre back,False,NORMAL,1.0,2,0.7,NORMAL
2022-2023,Laura Linde SKOVHUS,1200.0,1201.3,1.3,1,ST,Streg,False,NORMAL,1.0,1,1.3,NORMAL
2022-2023,Lucas Willenbrack HEDEGAARD,1200.0,1201.1,1.1,1,HF,Højre fløj,False,NORMAL,1.0,1,1.1,NORMAL
2022-2023,Lukas JENSEN-HOLM,1200.0,1201.1,1.1,1,HF,Højre fløj,False,NORMAL,1.0,2,1.1,NORMAL
2022-2023,Tine GEERTSEN,1200.0,1201.0,1.0,3,PL,Playmaker,False,NORMAL,1.001,5,0.3333333333333333,NORMAL
2022-2023,Maria JACOBSEN,1200.0,1201.0,1.0,1,ST,Streg,False,NORMAL,1.0,1,1.0,NORMAL
2022-2023,Thea BØGHOLM,1200.0,1201.0,1.0,3,PL,Playmaker,False,NORMAL,1.002,3,0.3333333333333333,NORMAL
2022-2023,Mille EISENHARDT,1200.0,1200.9,0.9,2,PL,Playmaker,False,NORMAL,1.0,2,0.45,NORMAL
2022-2023,Oliver NIELSEN,1200.0,1200.9,0.9,1,VB,Venstre back,False,NORMAL,1.0,1,0.9,NORMAL
2022-2023,Sofie Lassen NYGAARD,1200.0,1200.9,0.9,1,VB,Venstre back,False,NORMAL,1.0,1,0.9,NORMAL
2022-2023,Nicoline LAURITSEN,1200.0,1200.8,0.8,2,HF,Højre fløj,False,NORMAL,1.0,2,0.4,NORMAL
2022-2023,Anders BEUSCHAU,1200.0,1200.8,0.8,1,ST,Streg,False,NORMAL,1.0,1,0.8,NORMAL
2022-2023,Stine BROLØS,1200.0,1200.8,0.8,3,MV,Målvogter,True,NORMAL,1.002,4,0.26666666666666666,NORMAL
2022-2023,Victor THOMADSEN,1200.0,1200.8,0.8,1,PL,Playmaker,False,NORMAL,1.0,1,0.8,NORMAL
2022-2023,Rasmus HOUMØLLER,1200.0,1200.7,0.7,1,ST,Streg,False,NORMAL,1.0,1,0.7,NORMAL
2022-2023,Malthe DAMGAARD,1200.0,1200.7,0.7,1,PL,Playmaker,False,NORMAL,1.0,1,0.7,NORMAL
2022-2023,Jeppe Dahl KJELDSEN,1200.0,1200.7,0.7,1,VF,Venstre fløj,False,NORMAL,1.0,1,0.7,NORMAL
2022-2023,Rune Overlund SØRENSEN,1200.0,1200.7,0.7,1,VB,Venstre back,False,NORMAL,1.0,1,0.7,NORMAL
2022-2023,Dicte ANDERSEN,1200.0,1200.6,0.6,1,VB,Venstre back,False,NORMAL,1.0,2,0.6,NORMAL
2022-2023,Freja HANSEN,1200.0,1200.6,0.6,1,VF,Venstre fløj,False,NORMAL,1.0,1,0.6,NORMAL
2022-2023,Sophie TERKELSEN,1200.0,1200.6,0.6,2,PL,Playmaker,False,NORMAL,1.0,2,0.3,NORMAL
2022-2023,Sofie SCHELDE-RASMUSSENRetur,1200.0,1200.6,0.6,2,PL,Playmaker,False,NORMAL,1.0,2,0.3,NORMAL
2022-2023,Caroline SØGAARD,1200.0,1200.4,0.4,1,HF,Højre fløj,False,NORMAL,1.0,2,0.4,NORMAL
2022-2023,Anne Christine BOSSEN,1200.0,1200.4,0.4,2,MV,Målvogter,True,NORMAL,1.001,3,0.2,NORMAL
2022-2023,Jacob JENSEN,1200.0,1200.4,0.4,1,ST,Streg,False,NORMAL,1.0,1,0.4,NORMAL
2022-2023,Mads Kjeldgaard ANDERSEN Retur,1200.0,1200.3,0.3,1,VB,Venstre back,False,NORMAL,1.0,1,0.3,NORMAL
