season,player,start_rating,final_rating,rating_change,games,primary_position,position_name,is_goalkeeper,elite_status,momentum_factor,total_actions,rating_per_game,performance_level,rating_consistency
2024-2025,CHRISTOFFER BONDE,1397.8,1835.0,437.2,36,MV,Målvogter,True,LEGENDARY,1.021,210,12.144444444444444,ELITE,12.144444444444444
2024-2025,NICOLAJ JØRGENSEN,1400.7,1775.5,374.8,30,PL,Playmaker,False,LEGENDARY,1.004,551,12.493333333333334,ELITE,12.493333333333334
2024-2025,NOAH GAUDIN,1400.9,1722.7,321.8,34,PL,Playmaker,False,LEGENDARY,1.003,483,9.464705882352941,ELITE,9.464705882352941
2024-2025,MADS SVANE KNUDSEN,1401.7,1647.6000000000001,245.9,28,PL,Playmaker,False,LEGENDARY,1.003,383,8.782142857142857,ELITE,8.782142857142857
2024-2025,CHRISTOFFER DREYER,1402.8,1627.8999999999999,225.1,29,PL,Playmaker,False,LEGENDARY,0.999,318,7.7620689655172415,ELITE,7.7620689655172415
2024-2025,MIKKEL LØVKVIST,1394.4,1616.5,222.1,27,MV,Målvogter,True,LEGENDARY,1.018,137,8.225925925925926,ELITE,8.225925925925926
2024-2025,MORTEN HEMPEL JENSEN,1398.3,1616.0,217.7,32,PL,Playmaker,False,LEGENDARY,1.008,271,6.803125,ELITE,6.803125
2024-2025,THOMAS ARNOLDSEN,1400.0,1609.2,209.2,20,PL,Playmaker,False,LEGENDARY,1.008,269,10.459999999999999,ELITE,10.459999999999999
2024-2025,SEBASTIAN FRANDSEN,1398.2,1608.5,210.3,23,MV,Målvogter,True,LEGENDARY,1.053,77,9.143478260869566,ELITE,9.143478260869566
2024-2025,FREDERIK TILSTED,1399.1,1606.1999999999998,207.1,34,PL,Playmaker,False,LEGENDARY,1.003,319,6.091176470588235,ELITE,6.091176470588235
2024-2025,NIKOLAJ LÆSØ,1401.0,1605.1,204.1,32,PL,Playmaker,False,LEGENDARY,1.007,285,6.378125,ELITE,6.378125
2024-2025,WILLIAM AAR,1379.0,1591.6,212.6,35,PL,Playmaker,False,LEGENDARY,1.0,415,6.074285714285714,ELITE,6.074285714285714
2024-2025,MARCUS MIDTGAARD,1342.4,1589.8000000000002,247.4,32,PL,Playmaker,False,LEGENDARY,1.006,369,7.73125,ELITE,7.73125
2024-2025,NICHLAS HALD,1397.5,1575.9,178.4,31,PL,Playmaker,False,LEGENDARY,0.998,272,5.754838709677419,ELITE,5.754838709677419
2024-2025,THOMAS DAMGAARD,1310.9,1568.4,257.5,35,PL,Playmaker,False,LEGENDARY,1.01,388,7.357142857142857,ELITE,7.357142857142857
2024-2025,PETER BALLING,1397.1,1566.5,169.4,31,HB,Højre back,False,LEGENDARY,1.006,291,5.464516129032258,ELITE,5.464516129032258
2024-2025,KRISTIAN STOKLUND,1394.8,1563.3,168.5,24,PL,Playmaker,False,LEGENDARY,1.005,242,7.020833333333333,ELITE,7.020833333333333
2024-2025,NICOLAI PEDERSEN,1393.2,1555.2,162.0,35,PL,Playmaker,False,LEGENDARY,1.005,226,4.628571428571429,ELITE,4.628571428571429
2024-2025,CARL-EMIL HAUNSTRUP,1385.6,1553.5,167.9,30,HF,Højre fløj,False,LEGENDARY,1.008,165,5.596666666666667,ELITE,5.596666666666667
2024-2025,MATIAS CAMPBELL,1354.5,1552.2,197.7,24,PL,Playmaker,False,LEGENDARY,1.008,235,8.237499999999999,ELITE,8.237499999999999
2024-2025,OLIVER NORLYK,1382.7,1540.5,157.8,26,HB,Højre back,False,LEGENDARY,1.008,269,6.06923076923077,ELITE,6.06923076923077
2024-2025,EMIL LÆRKE,1342.5,1537.6,195.1,26,PL,Playmaker,False,LEGENDARY,1.01,249,7.503846153846154,ELITE,7.503846153846154
2024-2025,TOBIAS NIELSEN,1347.3,1534.8,187.5,30,HF,Højre fløj,False,LEGENDARY,1.005,198,6.25,ELITE,6.25
2024-2025,MORTEN OLSEN,1401.6,1534.1999999999998,132.6,24,PL,Playmaker,False,LEGENDARY,1.006,249,5.5249999999999995,ELITE,5.5249999999999995
2024-2025,REINIER TABOADA,1368.6,1529.1999999999998,160.6,32,PL,Playmaker,False,LEGENDARY,1.003,305,5.01875,ELITE,5.01875
2024-2025,LASSE MIKKELSEN,1400.2,1526.2,126.0,26,PL,Playmaker,False,LEGENDARY,1.006,163,4.846153846153846,ELITE,4.846153846153846
2024-2025,MATHIAS JØRGENSEN,1391.2,1515.5,124.3,28,HF,Højre fløj,False,LEGENDARY,1.008,161,4.439285714285714,ELITE,4.439285714285714
2024-2025,JEPPE CIESLAK,1398.1,1511.3999999999999,113.3,32,VF,Venstre fløj,False,LEGENDARY,1.007,130,3.540625,ELITE,3.540625
2024-2025,ELVAR ASGEIRSSON,1396.0,1501.4,105.4,27,PL,Playmaker,False,LEGENDARY,1.005,195,3.903703703703704,ELITE,3.903703703703704
2024-2025,ALFRED JÖNSSON,1288.3,1485.8,197.5,29,PL,Playmaker,False,LEGENDARY,1.006,284,6.810344827586207,ELITE,6.810344827586207
2024-2025,KRISTOFFER VESTERGAARD,1162.4,1484.0,321.6,58,PL,Playmaker,False,LEGENDARY,1.007,499,5.544827586206897,ELITE,5.544827586206897
2024-2025,NIKOLAJ MARKUSSEN,1402.8,1476.8999999999999,74.1,20,VB,Venstre back,False,LEGENDARY,0.998,100,3.7049999999999996,ELITE,3.7049999999999996
2024-2025,SVEND RUGHAVE,1374.6,1476.3,101.7,32,MV,Målvogter,True,LEGENDARY,1.0,76,3.178125,ELITE,3.178125
