Nummer,Navn
3,Maren AARDAHL
6,Malin AUNE
8,Helene FAUSKE
10,Anna GRUNDTVIG
12,Andrea Nørklit JØRGENSEN
16,Althea REINHARDT
20,Lysa DEFO
22,Ragnhild DAHL
23,Elma HALILCEVIC
26,Katrine LUNDE
27,Louise BURGAARD
28,Clara Skyum THOMSEN
32,Mie HØJLUND
33,Thale Rushfeldt DEILA
34,Andrea HANSEN
38,Yara TEN HOLTE
44,Nikita Van Der VLIET
68,Helena ELVER
