Nummer,Navn
4,Emilie BANGSHØI
5,Sofie LUND
7,Line GYLDENLØVE
9,Mathilde PIIL
10,Melina KRISTENSEN
11,Arlinda HAJDARI
14,Sara LILHOLT
18,Sidsel POULSEN
19,Rikke Dahl NIELSEN
20,Clara BAK
21,Emma ERNST
24,Josephine NORDSTRØM
25,Laura JENSEN
29,Sara LILHOLT
31,Marianne HAUGSTED
44,Louise HALD
72,Line FRANDSEN
86,Sabine ENGLERT
