Nummer,Navn
1,Sofie BÖRJESSON
2,Caroline AAR
6,Moa HÖGDAHL
7,Amalie WULFF
8,Stine EIBERG
11,Rosa SCHMIDT
12,Catharina BROCH
14,Verona REXHEPI
15,Kalidiatou NIAKATE
16,Line CHRISTIANSEN
18,Alberte KIELSTRUP
20,Maja MAGNUSSEN
21,Matilde VESTERGAARD
22,Zoë SPRENGERS
25,Astrid LYNNERUP
26,Mona OBAIDLI
29,Julie Vibe SEEBERG
34,Sofie BARDRUM
49,Aimée VON PEREIRA
79,Kristina KRISTIANSEN
86,Sabine ENGLERT
