Nummer,Navn
1,Mathilde BISGAARD
3,Alma SKRETTING
6,Maria HØJGAARD
7,Maria Palsdottir NÓLSOY
9,Annika MEYER
10,Mathilda LUNDSTRØM
11,Fanny ELOVSSON
12,Zenia Hald MADSEN
14,Mai KRAGBALLE
16,Andrea AUSTMO
18,Kirstine Emilie HOPPE
19,Frida Haug HOEL
20,Ditte TOKKESDAL
21,Romee MAARSCHALKEWEERD
21,Romee MAARSCHALKEWEERD1
22,Sille Cecilie SORTH
24,Dicte Sønderskov ANDERSEN
25,Smilla HEDE
27,Annette WIRÉN LARSEN
33,Laura Holm ANDERSEN
39,Melanie BAK
66,Faye JANSON
