Nummer,Navn
1,Sofie BÖRJESSON
5,Sidsel Mygil MATTESEN
6,Lea HANSEN
7,Melissa PETRÉN
8,Karine DAHLUM
9,Filippa NYMAN
10,Nicoline OLSEN
11,Pernille JOHANNSEN
12,Stine BROLØS
14,Louise ELLEBÆK
15,Sara IBRANOVIC
17,June BØTTGER
21,Majbritt Toft HANSEN
22,Olivia SIMONSEN
24,Josefine DRAGENBERG
26,Nora PERSSON
28,Sarah PAULSEN
31,Ida-Marie DAHL
