Nummer,Navn
1,Irma SCHJÖTT
2,Cecilie BJERRE
3,Maria Berger WIERZBA
4,Michelle BRANDSTRUP BITTNER
5,Caroline SVARRE
8,Camilla PEDERSEN
10,Frida Høgaard NIELSEN
15,Jane MEJLVANG
16,Andrea AUSTMO
16,Stephanie ANDERSEN
18,Emilie ROSBORG
19,Rikke JOCHUMSEN
20,Stine Opstrup KRISTENSEN
22,Sofie ØSTERGAARD
23,Nanna HINNERFELDT
33,Emma LAURSEN
73,Karoline FAHLBERG
86,Sabine ENGLERT
88,Rakul WARDUM
