Nummer,Navn
1,Isabella MATHORNE
1,Sofie BÖRJESSON
2,Boline LAURSEN
3,Clara BANG
4,Emilie BECH
6,Josefine Kaae LARSEN
7,Annika Solberg DALSAGER
9,Cecilie Frydendahl NØRSKOV
10,Filippa NEDOVIC
11,Mia LAGUMDZIJA
12,Sarah ERNEBJERG
13,Tilde ULRICHSEN
14,Verona REXHEPI
15,Astrid LESLIE
16,Anna Mathilde Nordvig HANSEN
20,Suna HANSEN
22,Anne-Sofie FILTENBORG
23,Stine ALMIND
25,Astrid LYNNERUP
26,Christina HANSEN
44,Nicoline LAURITSEN
