Nummer,Navn
3,Kaja Kamp NIELSEN
3,Maria Berger WIERZBA
4,Michala MØLLER
7,Luciana REBELO
8,Live DEILA
8,Live RUSHFELDT DEILA
9,Nora MØRK
10,Kathrine HEINDAHL
11,Rikke IVERSEN
12,Anna KRISTENSEN
13,Sara WINDE
14,Judith VAN DER HELM
16,Amalie MILLING
16,Andrea AUSTMO
17,Elin HANSSON
18,Mette TRANBORG
19,Marika Kildegaard JENSEN
20,Marit Røsberg JACOBSEN
22,Line HAUGSTED
24,Sanna SOLBERG
25,Henny REISTAD
26,Nicoline Kjær NIELSEN
27,Anne Tolstrup PETERSEN
28,Merel FREDRIKS
29,Sarah DEKKER
31,Louise HAANDBÆK
38,Mia EMMENEGGER
