Nummer,Navn
1,Anine NORDAHL
1,Annika FRIDHEIM
3,Liv SVEINBJØRNSDÓTTIR
4,Cecilie TERMANSEN
5,Anna BANG
5,Anna Hviid BANG
6,Isabella SØRENSEN
7,Marlene DAHLMANN
8,Tine GEERTSEN
9,Camilla THORHAUGE
10,Sofie LASSEN
16,Anine NORDAHL
16,Johanne GRAUGAARD
17,Lin JOHANNSEN
19,Mette BRANDT
21,Frederikke GULMARK
22,Mirja LYNGSØ
23,Silje BRØNS
28,Maiken SKOV
30,Clara LERBY
