Nummer,Navn
2,Bianca SCHANSSEMA
4,Catharina MOLENAAR
5,Clara SKØTT
6,Freja COHRT
7,Emilie YTTING
7,Emilie Ytting PEDERSEN
9,Ditte BACH
10,Pernille BRANDENBORG
11,Martha NICKELSEN
15,Emma NAVNE
17,Tabea SCHMID
20,Anne Christine BOSSEN
21,Helene KINDBERG
22,Stine BONDE
22,Stine JØRGENSEN
25,Tonje LØSETH
44,Meret OSSENKOPP
47,Agnes HVIDSTEEN
