Nummer,Navn
1,Elin THORSTEINSDOTTER
1,Elin THORSTEINSDOTTIR
2,Majken Hedegaard NIELSEN
3,Sarah Vest KIRKELØKKE
4,Katrine JACOBSEN
5,Katarina BERENS
6,Freja GANDRUP ERNST
7,Emma MOGENSEN
8,Freja GANDRUP ERNST
10,Frederikke WAAGE-JENSEN
11,Sophia SNOGDAL
14,Anna Berger WIERZBA
15,Sofia DEEN
17,Line Berggren LARSEN
18,Mathilde ØSTERGAARD
22,Alberte EBLER
22,Tania Bilde KNUDSEN
23,Nikoline SAX
25,Ida GÖTZSCHE
77,Alberte EBLER
86,Sabine ENGLERT
