Player,FinalRating
NSH_20_Jesper DAHL,1849.00
TMS_22_Axel ANDERSSON,1843.00
GIF_7_Jakob VILLEMOES,1838.00
GOG_10_Frederik PEDERSEN,1837.00
NSH_79_Oliver KLARSKOV,1831.00
KIF_15_Jens SVANE,1827.00
AAH_17_Martin LARSEN,1822.00
REH_92_Sune IVERSEN,1816.00
MTH_33_Kasper DIDRIKSEN,1801.00
GOG_21_Kasper KILDELUND,1798.00
NSH_17_Assar KAMMENHED,1790.00
GOG_66_Anton LINDSKOG,1789.00
SJE_6_Nikolaj SVALASTOG,1783.00
REH_18_Marcus MØRK,1783.00
MTH_4_Kasper LINDGREN,1782.00
REH_6_Jonathan WÜRTZ,1780.00
TTH_25_Jonas PORUP,1767.00
KIF_27_Sebastian BERTELSEN,1726.00
GIF_19_Magnus SADOVA,1715.00
KIF_6_Jonas TIDEMAND,1715.00
FHK_23_Einar ÓLAFSSON,1706.00
TMS_49_Oscar LYKKE,1704.00
TMS_15_Dines KJELDGAARD,1693.00
REH_21_Axel FRANZÉN,1690.00
SKH_2_Mads BJERGFELT,1687.00
KIF_9_Victor LYNGSØ,1680.00
AAH_22_Rene ANTONSEN,1675.00
SJE_2_Tobias Gregers SCHMIDT,1674.00
GIF_8_Rolf RAVN,1672.00
FHK_17_Arnór VIÐARSSON,1668.00
TTH_3_Sebastian ØRUM,1658.00
SAH_6_Kristian BONEFELD,1654.00
KIF_2_Mads KRAGH THOMSEN,1654.00
SJE_14_Jacob BAGERSTED,1654.00
FHK_93_Anders Kragh MARTINUSEN,1652.00
KIF_10_Mathias MAILAND,1650.00
BSH_13_Lasse SUNDE LID,1648.00
FHK_13_Lasse BALSTAD,1640.00
FHK_31_William ANDERSSON MOBERG1,1640.00
FHK_31_William ANDERSSON MOBERGAssist,1640.00
GOG_28_Emil TONNESEN,1640.00
SKH_18_Vetle RØNNINGEN,1637.00
SAH_29_Andreas AAGREEN,1630.00
SAH_7_Jonatan MOLLERUP,1628.00
KIF_22_Frederik BAY,1626.00
BSH_17_August FRIDÉN,1614.00
AAH_5_Sander SAGOSEN,1607.00
KIF_17_Tobias ELLEBÆK,1605.00
SAH_24_Anton BRAMMING,1602.00
KIF_26_Hans Lindeborg HOLST,1594.00
KIF_97_Reinier TABOADA,1590.00
REH_8_Simon BIRKEFELDT,1589.00
SKH_27_Jonathan SØRENSEN,1588.00
FHK_14_Frederik JÆGERUM,1576.00
FHK_77_Sebastian HENNEBERG,1573.00
KIF_23_Mads HOÉ JØRGENSEN,1572.00
GIF_9_Nicklas Bjørn VASSVIK,1571.00
FHK_31_William ANDERSSON MOBERG16,1570.00
TTH_17_Simon KIRKEGAARD,1570.00
REH_9_Mads LAURIDSEN,1556.00
FHK_31_William ANDERSSON MOBERG12,1556.00
BSH_2_Benjamin JAKOBSEN,1554.00
TMS_14_Emil BERGHOLT,1550.00
FHK_44_Tobias TOMBAK,1550.00
GIF_18_Vetle RØNNINGEN,1550.00
SJE_3_Lucas REHFUS,1546.00
GIF_5_Daniel JØRGENSEN,1545.00
SKH_4_Tobias MYGIND,1542.00
FHK_31_William ANDERSSON MOBERG30,1542.00
BSH_9_Gudmundur Bragi ASTPARSSON1,1542.00
SKH_81_Tobias NIELSEN,1540.00
GIF_66_Anton LINDSKOG,1540.00
TMS_20_Felix MÖLLER,1540.00
TTH_11_Rasmus LAUGE,1540.00
REH_18_Morten BJØRNSHAUGE,1540.00
NSH_6_Jonathan WÜRTZ,1540.00
TMS_11_Jonas RAUNDAHL,1540.00
SJE_13_Lasse BALSTAD,1540.00
BSH_33_Ebbe STANKIEWICZ,1540.00
FHK_6_Jonathan WÜRTZ,1540.00
BSH_13_Gustav BRUUN,1540.00
KIF_14_Emil BERGHOLT,1540.00
NSH_13_Lasse BALSTAD,1540.00
KIF_4_Frederik NIELSEN,1540.00
FHK_19_Thor CHRISTENSEN,1540.00
BSH_11_Kristoffer JESSEN,1540.00
KIF_15_Mads KJELDGAARD,1540.00
FHK_42_Matias CAMPBELL,1540.00
AAH_21_Henrik MØLLGAARD,1538.00
GOG_4_Kasper PEDERSEN,1534.00
MTH_5_Frederik ARNOLDSEN,1530.00
MTH_25_Jeppe CIESLAK,1530.00
SAH_4_Kasper LINDGREN,1530.00
KIF_42_Matias CAMPBELL,1530.00
GIF_14_Jacob BAGERSTED,1530.00
