season,team_code,team_name,league,start_rating,final_rating,rating_change,games,elite_status,momentum_factor,rating_per_game
2023-2024,TES,Team Esbjerg,Kvindeliga,1445.3,1849.3,404.0,0,LEGENDARY,1.101,0
2023-2024,ODE,Odense Håndbold,Kvindeliga,1437.2,1702.7,265.5,0,ELITE,1.025,0
2023-2024,AAH,Aalborg Håndbold,Herreliga,1442.0,1699.8,257.8,0,ELITE,1.02,0
2023-2024,IKA,Ikast Håndbold,Kvindeliga,1433.2,1673.4,240.2,0,ELITE,0.983,0
2023-2024,FRE,FRE,Kvindeliga,1410.7,1567.4,156.7,0,NORMAL,1.063,0
2023-2024,BSH,Bjerringbro-Silkeborg,Herreliga,1443.1,1518.4,75.3,0,NORMAL,1.088,0
2023-2024,NFH,Nykøbing F. Håndbold,Kvindeliga,1407.5,1512.9,105.4,0,NORMAL,1.081,0
2023-2024,GOG,GOG,Herreliga,1439.9,1480.1,40.2,0,NORMAL,1.112,0
2023-2024,KBH,København Håndbold,Kvindeliga,1417.1,1452.1,35.0,0,NORMAL,1.141,0
2023-2024,SKH,Skjern Håndbold,Herreliga,1416.4,1444.8,28.4,0,NORMAL,1.053,0
2023-2024,SØN,SØN,Kvindeliga,1353.8,1437.1,83.3,0,NORMAL,1.179,0
2023-2024,REH,Ribe-Esbjerg HH,Herreliga,1389.1,1424.2,35.1,0,NORMAL,1.032,0
2023-2024,MTH,Mors-Thy Håndbold,Herreliga,1366.0,1409.3,43.3,0,NORMAL,0.973,0
2023-2024,HER,HER,Kvindeliga,1405.3,1405.3,0.0,0,NORMAL,0.986,0
2023-2024,SJE,SønderjyskE Herrehåndbold,Herreliga,1400.0,1401.7,1.7,0,NORMAL,1.017,0
2023-2024,NYK,NYK,Kvindeliga,1394.3,1394.3,0.0,0,NORMAL,0.989,0
2023-2024,TM ,TM ,Kvindeliga,1393.3,1393.3,0.0,0,NORMAL,1.105,0
2023-2024,ÅRH,ÅRH,Kvindeliga,1393.2,1393.2,0.0,0,NORMAL,1.037,0
2023-2024,FC ,FC ,Kvindeliga,1393.1,1393.1,0.0,0,NORMAL,0.898,0
2023-2024,HØJ,HØJ,Kvindeliga,1390.5,1390.5,0.0,0,NORMAL,0.8,0
2023-2024,VEN,VEN,Kvindeliga,1389.1,1389.1,0.0,0,NORMAL,0.958,0
2023-2024,RAN,RAN,Kvindeliga,1384.2,1384.2,0.0,0,NORMAL,1.155,0
2023-2024,SKA,SKA,Kvindeliga,1415.0,1379.9,-35.1,0,NORMAL,0.828,0
2023-2024,EHA,EH Aalborg,Kvindeliga,1375.8,1375.8,0.0,0,NORMAL,0.867,0
2023-2024,TEA,TEA,Kvindeliga,1375.3,1375.3,0.0,0,NORMAL,0.8,0
2023-2024,SKB,Skanderborg Håndbold,Kvindeliga,1342.9,1375.2,32.3,0,NORMAL,0.824,0
2023-2024,SVK,Silkeborg-Voel KFUM,Kvindeliga,1376.0,1362.0,-14.0,0,NORMAL,0.89,0
2023-2024,SAH,SAH - Skanderborg AGF,Herreliga,1400.0,1348.5,-51.5,0,NORMAL,1.031,0
2023-2024,VHK,Viborg HK,Kvindeliga,1417.0,1345.8,-71.2,0,NORMAL,0.89,0
2023-2024,HC ,HC ,Kvindeliga,1339.5,1339.5,0.0,0,NORMAL,0.956,0
2023-2024,TTH,TTH Holstebro,Herreliga,1361.2,1329.9,-31.3,0,NORMAL,0.919,0
2023-2024,KIF,KIF Kolding,Herreliga,1414.5,1319.9,-94.6,0,NORMAL,1.034,0
2023-2024,HOL,HOL,Kvindeliga,1377.7,1318.7,-59.0,0,NORMAL,0.955,0
2023-2024,SKI,SKI,Kvindeliga,1384.0,1314.9,-69.1,0,NORMAL,0.886,0
2023-2024,TMS,TMS Ringsted,Kvindeliga,1383.5,1311.3,-72.2,0,NORMAL,0.851,0
2023-2024,RIN,Ringkøbing Håndbold,Kvindeliga,1358.9,1246.2,-112.7,0,NORMAL,0.8,0
2023-2024,AAR,AAR,Kvindeliga,1365.7,1241.4,-124.3,0,NORMAL,1.011,0
2023-2024,NSH,Nordsjælland Håndbold,Herreliga,1360.6,1227.7,-132.9,0,NORMAL,0.878,0
2023-2024,LEM,LEM,Kvindeliga,1344.6,1206.0,-138.6,0,NORMAL,1.034,0
2023-2024,HHE,Horsens Håndbold Elite,Kvindeliga,1357.8,1182.5,-175.3,0,NORMAL,1.042,0
2023-2024,BFH,Bjerringbro FH,Kvindeliga,1393.1,1123.0,-270.1,0,NORMAL,0.968,0
2023-2024,AJA,AJA,Kvindeliga,1335.8,983.5,-352.3,0,NORMAL,0.882,0
