season,team_code,team_name,league,start_rating,final_rating,rating_change,games,elite_status,momentum_factor,rating_per_game
2019-2020,TES,Team Esbjerg,Kvindeliga,1455.0,1717.5,262.5,0,ELITE,1.113,0
2019-2020,AAH,Aalborg Håndbold,Herreliga,1444.8,1650.3,205.5,0,ELITE,1.122,0
2019-2020,VHK,Viborg HK,Kvindeliga,1403.5,1641.9,238.4,0,ELITE,1.2,0
2019-2020,ODE,Odense Håndbold,Kvindeliga,1452.2,1630.5,178.3,0,ELITE,0.96,0
2019-2020,KBH,København Håndbold,Kvindeliga,1453.2,1552.6,99.4,0,NORMAL,1.045,0
2019-2020,HER,HER,Kvindeliga,1442.7,1537.3,94.6,0,NORMAL,0.987,0
2019-2020,BSH,Bjerringbro-Silkeborg,Herreliga,1404.7,1521.1,116.4,0,NORMAL,1.175,0
2019-2020,GOG,GOG,Herreliga,1434.2,1488.3,54.1,0,NORMAL,0.879,0
2019-2020,SKH,Skjern Håndbold,Herreliga,1443.6,1481.7,38.1,0,NORMAL,1.09,0
2019-2020,SVK,Silkeborg-Voel KFUM,Kvindeliga,1399.1,1477.5,78.4,0,NORMAL,0.938,0
2019-2020,NYK,NYK,Kvindeliga,1440.2,1442.8,2.6,0,NORMAL,0.93,0
2019-2020,MTH,Mors-Thy Håndbold,Herreliga,1375.3,1426.6,51.3,0,NORMAL,0.986,0
2019-2020,AAR,AAR,Kvindeliga,1421.9,1425.0,3.1,0,NORMAL,0.901,0
2019-2020,FC ,FC ,Kvindeliga,1396.7,1396.7,0.0,0,NORMAL,0.898,0
2019-2020,TM ,TM ,Kvindeliga,1395.2,1395.2,0.0,0,NORMAL,1.105,0
2019-2020,ÅRH,ÅRH,Kvindeliga,1408.9,1393.9,-15.0,0,NORMAL,1.037,0
2019-2020,RAN,RAN,Kvindeliga,1352.0,1393.8,41.8,0,NORMAL,1.063,0
2019-2020,HC ,HC ,Kvindeliga,1386.4,1386.4,0.0,0,NORMAL,1.017,0
2019-2020,BFH,Bjerringbro FH,Kvindeliga,1385.1,1385.1,0.0,0,NORMAL,0.8,0
2019-2020,REH,Ribe-Esbjerg HH,Herreliga,1397.6,1379.3,-18.3,0,NORMAL,0.959,0
2019-2020,SØN,SØN,Kvindeliga,1385.8,1365.4,-20.4,0,NORMAL,1.022,0
2019-2020,TMS,TMS Ringsted,Kvindeliga,1355.2,1355.2,0.0,0,NORMAL,0.849,0
2019-2020,RIN,Ringkøbing Håndbold,Kvindeliga,1350.5,1350.5,0.0,0,NORMAL,0.808,0
2019-2020,FRE,FRE,Kvindeliga,1400.0,1284.5,-115.5,0,NORMAL,1.001,0
2019-2020,TTH,TTH Holstebro,Herreliga,1369.2,1269.0,-100.2,0,NORMAL,0.988,0
2019-2020,LEM,LEM,Kvindeliga,1359.0,1245.3,-113.7,0,NORMAL,0.96,0
2019-2020,AJA,AJA,Kvindeliga,1372.2,1218.5,-153.7,0,NORMAL,0.817,0
2019-2020,KIF,KIF Kolding,Herreliga,1354.3,1199.3,-155.0,0,NORMAL,0.86,0
2019-2020,NSH,Nordsjælland Håndbold,Herreliga,1373.1,1196.6,-176.5,0,NORMAL,0.863,0
2019-2020,SKB,Skanderborg Håndbold,Kvindeliga,1364.5,1190.5,-174.0,0,NORMAL,1.074,0
2019-2020,EHA,EH Aalborg,Kvindeliga,1353.5,1178.3,-175.2,0,NORMAL,0.981,0
2019-2020,HHE,Horsens Håndbold Elite,Kvindeliga,1400.0,1153.0,-247.0,0,NORMAL,0.873,0
