season,team_code,team_name,league,start_rating,final_rating,rating_change,games,elite_status,momentum_factor,rating_per_game
2021-2022,ODE,Odense Håndbold,Kvindeliga,1449.7,1811.1,361.4,0,LEGENDARY,1.083,0
2021-2022,TES,Team Esbjerg,Kvindeliga,1442.1,1764.9,322.8,0,ELITE,1.05,0
2021-2022,GOG,GOG,Herreliga,1436.2,1698.7,262.5,0,ELITE,1.037,0
2021-2022,AAH,Aalborg Håndbold,Herreliga,1434.4,1694.2,259.8,0,ELITE,1.089,0
2021-2022,HER,HER,Kvindeliga,1440.3,1591.9,151.6,0,NORMAL,0.986,0
2021-2022,SKA,SKA,Kvindeliga,1400.0,1531.7,131.7,0,NORMAL,1.175,0
2021-2022,VHK,Viborg HK,Kvindeliga,1454.8,1528.7,73.9,0,NORMAL,1.075,0
2021-2022,BSH,Bjerringbro-Silkeborg,Herreliga,1432.4,1501.8,69.4,0,NORMAL,1.096,0
2021-2022,SKH,Skjern Håndbold,Herreliga,1394.5,1497.0,102.5,0,NORMAL,0.912,0
2021-2022,NFH,Nykøbing F. Håndbold,Kvindeliga,1400.0,1423.2,23.2,0,NORMAL,0.953,0
2021-2022,SVK,Silkeborg-Voel KFUM,Kvindeliga,1378.4,1421.2,42.8,0,NORMAL,0.967,0
2021-2022,NYK,NYK,Kvindeliga,1414.5,1414.5,0.0,0,NORMAL,0.989,0
2021-2022,FRE,FRE,Kvindeliga,1364.5,1403.8,39.3,0,NORMAL,1.082,0
2021-2022,FC ,FC ,Kvindeliga,1397.5,1397.5,0.0,0,NORMAL,0.898,0
2021-2022,TM ,TM ,Kvindeliga,1397.4,1397.4,0.0,0,NORMAL,1.105,0
2021-2022,ÅRH,ÅRH,Kvindeliga,1397.4,1397.4,0.0,0,NORMAL,1.037,0
2021-2022,BFH,Bjerringbro FH,Kvindeliga,1396.9,1396.9,0.0,0,NORMAL,0.8,0
2021-2022,HC ,HC ,Kvindeliga,1396.9,1396.9,0.0,0,NORMAL,1.017,0
2021-2022,EHA,EH Aalborg,Kvindeliga,1385.5,1385.5,0.0,0,NORMAL,0.981,0
2021-2022,SØN,SØN,Kvindeliga,1389.5,1377.5,-12.0,0,NORMAL,0.865,0
2021-2022,HØJ,HØJ,Kvindeliga,1400.0,1349.1,-50.9,0,NORMAL,0.8,0
2021-2022,VEN,VEN,Kvindeliga,1334.3,1334.3,0.0,0,NORMAL,0.958,0
2021-2022,HHE,Horsens Håndbold Elite,Kvindeliga,1359.9,1332.1,-27.8,0,NORMAL,1.054,0
2021-2022,AAR,AAR,Kvindeliga,1396.6,1330.4,-66.2,0,NORMAL,0.965,0
2021-2022,NSH,Nordsjælland Håndbold,Herreliga,1388.6,1328.4,-60.2,0,NORMAL,0.981,0
2021-2022,KIF,KIF Kolding,Herreliga,1375.7,1308.6,-67.1,0,NORMAL,1.093,0
2021-2022,KBH,København Håndbold,Kvindeliga,1404.6,1305.2,-99.4,0,NORMAL,0.911,0
2021-2022,LEM,LEM,Kvindeliga,1353.2,1302.3,-50.9,0,NORMAL,0.833,0
2021-2022,MTH,Mors-Thy Håndbold,Herreliga,1389.5,1295.4,-94.1,0,NORMAL,0.922,0
2021-2022,AJA,AJA,Kvindeliga,1382.5,1289.1,-93.4,0,NORMAL,0.982,0
2021-2022,RAN,RAN,Kvindeliga,1375.5,1276.3,-99.2,0,NORMAL,1.155,0
2021-2022,TTH,TTH Holstebro,Herreliga,1441.4,1270.0,-171.4,0,NORMAL,1.025,0
2021-2022,REH,Ribe-Esbjerg HH,Herreliga,1364.5,1250.5,-114.0,0,NORMAL,0.904,0
2021-2022,SKI,SKI,Kvindeliga,1404.9,1249.4,-155.5,0,NORMAL,1.035,0
2021-2022,TMS,TMS Ringsted,Kvindeliga,1349.3,1240.9,-108.4,0,NORMAL,0.99,0
2021-2022,RIN,Ringkøbing Håndbold,Kvindeliga,1395.1,1214.1,-181.0,0,NORMAL,0.941,0
2021-2022,SKB,Skanderborg Håndbold,Kvindeliga,1339.7,1206.9,-132.8,0,NORMAL,0.944,0
2021-2022,HOL,HOL,Kvindeliga,1374.0,1117.4,-256.6,0,NORMAL,1.074,0
