season,team_code,team_name,league,start_rating,final_rating,rating_change,games,elite_status,momentum_factor,rating_per_game
2022-2023,TES,Team Esbjerg,Kvindeliga,1449.6,1755.3,305.7,0,ELITE,1.031,0
2022-2023,ODE,Odense Håndbold,Kvindeliga,1433.0,1699.5,266.5,0,ELITE,0.992,0
2022-2023,AAH,Aalborg Håndbold,Herreliga,1449.3,1668.7,219.4,0,ELITE,1.05,0
2022-2023,GOG,GOG,Herreliga,1439.9,1657.1,217.2,0,ELITE,1.068,0
2022-2023,BSH,Bjerringbro-Silkeborg,Herreliga,1421.4,1582.5,161.1,0,NORMAL,1.109,0
2022-2023,IKA,Ikast Håndbold,Kvindeliga,1400.0,1560.8,160.8,0,NORMAL,0.927,0
2022-2023,VHK,Viborg HK,Kvindeliga,1427.9,1488.9,61.0,0,NORMAL,1.073,0
2022-2023,SKH,Skjern Håndbold,Herreliga,1420.2,1486.3,66.1,0,NORMAL,1.004,0
2022-2023,SKA,SKA,Kvindeliga,1432.0,1481.0,49.0,0,NORMAL,0.941,0
2022-2023,KBH,København Håndbold,Kvindeliga,1372.4,1480.4,108.0,0,NORMAL,1.127,0
2022-2023,KIF,KIF Kolding,Herreliga,1373.3,1478.9,105.6,0,NORMAL,1.054,0
2022-2023,FRE,FRE,Kvindeliga,1397.7,1464.0,66.3,0,NORMAL,0.988,0
2022-2023,NFH,Nykøbing F. Håndbold,Kvindeliga,1402.7,1451.7,49.0,0,NORMAL,1.041,0
2022-2023,HER,HER,Kvindeliga,1443.3,1443.3,0.0,0,NORMAL,0.986,0
2022-2023,NYK,NYK,Kvindeliga,1400.4,1400.4,0.0,0,NORMAL,0.989,0
2022-2023,TM ,TM ,Kvindeliga,1396.1,1396.1,0.0,0,NORMAL,1.105,0
2022-2023,ÅRH,ÅRH,Kvindeliga,1396.0,1396.0,0.0,0,NORMAL,1.037,0
2022-2023,FC ,FC ,Kvindeliga,1396.0,1396.0,0.0,0,NORMAL,0.898,0
2022-2023,BFH,Bjerringbro FH,Kvindeliga,1395.9,1395.9,0.0,0,NORMAL,0.8,0
2022-2023,HØJ,HØJ,Kvindeliga,1384.9,1384.9,0.0,0,NORMAL,0.8,0
2022-2023,VEN,VEN,Kvindeliga,1379.9,1379.9,0.0,0,NORMAL,0.958,0
2022-2023,REH,Ribe-Esbjerg HH,Herreliga,1360.3,1379.8,19.5,0,NORMAL,1.045,0
2022-2023,RAN,RAN,Kvindeliga,1363.7,1363.7,0.0,0,NORMAL,1.155,0
2022-2023,SKI,SKI,Kvindeliga,1360.1,1360.1,0.0,0,NORMAL,1.035,0
2022-2023,TMS,TMS Ringsted,Kvindeliga,1358.0,1358.0,0.0,0,NORMAL,0.99,0
2022-2023,HOL,HOL,Kvindeliga,1335.5,1335.5,0.0,0,NORMAL,1.074,0
2022-2023,SVK,Silkeborg-Voel KFUM,Kvindeliga,1402.2,1329.1,-73.1,0,NORMAL,0.972,0
2022-2023,EHA,EH Aalborg,Kvindeliga,1393.0,1320.8,-72.2,0,NORMAL,0.867,0
2022-2023,TEA,TEA,Kvindeliga,1400.0,1318.9,-81.1,0,NORMAL,0.8,0
2022-2023,MTH,Mors-Thy Håndbold,Herreliga,1371.2,1284.3,-86.9,0,NORMAL,1.007,0
2022-2023,AAR,AAR,Kvindeliga,1378.9,1283.1,-95.8,0,NORMAL,0.927,0
2022-2023,NSH,Nordsjælland Håndbold,Herreliga,1378.4,1274.0,-104.4,0,NORMAL,1.111,0
2022-2023,RIN,Ringkøbing Håndbold,Kvindeliga,1351.5,1255.1,-96.4,0,NORMAL,0.928,0
2022-2023,HHE,Horsens Håndbold Elite,Kvindeliga,1379.3,1250.6,-128.7,0,NORMAL,0.932,0
2022-2023,TTH,TTH Holstebro,Herreliga,1365.1,1250.4,-114.7,0,NORMAL,0.822,0
2022-2023,SØN,SØN,Kvindeliga,1391.4,1216.4,-175.0,0,NORMAL,0.872,0
2022-2023,LEM,LEM,Kvindeliga,1374.0,1196.0,-178.0,0,NORMAL,0.953,0
2022-2023,SKB,Skanderborg Håndbold,Kvindeliga,1349.7,1164.0,-185.7,0,NORMAL,0.947,0
2022-2023,AJA,AJA,Kvindeliga,1369.7,1154.5,-215.2,0,NORMAL,1.101,0
2022-2023,HC ,HC ,Kvindeliga,1395.9,1147.9,-248.0,0,NORMAL,0.956,0
