season,team_code,team_name,league,start_rating,final_rating,rating_change,games,elite_status,momentum_factor,rating_per_game
2020-2021,TES,Team Esbjerg,Kvindeliga,1449.2,1701.9,252.7,0,ELITE,1.015,0
2020-2021,ODE,Odense Håndbold,Kvindeliga,1439.7,1687.3,247.6,0,ELITE,0.977,0
2020-2021,VHK,Viborg HK,Kvindeliga,1446.1,1686.9,240.8,0,ELITE,1.132,0
2020-2021,TTH,TTH Holstebro,Herreliga,1366.5,1618.8,252.3,0,ELITE,1.163,0
2020-2021,HER,HER,Kvindeliga,1431.7,1613.3,181.6,0,ELITE,1.112,0
2020-2021,GOG,GOG,Herreliga,1418.7,1612.1,193.4,0,ELITE,1.01,0
2020-2021,AAH,Aalborg Håndbold,Herreliga,1447.8,1602.4,154.6,0,ELITE,1.027,0
2020-2021,BSH,Bjerringbro-Silkeborg,Herreliga,1430.8,1540.8,110.0,0,NORMAL,0.945,0
2020-2021,NYK,NYK,Kvindeliga,1409.3,1463.6,54.3,0,NORMAL,0.989,0
2020-2021,KBH,København Håndbold,Kvindeliga,1435.4,1428.2,-7.2,0,NORMAL,0.897,0
2020-2021,SKI,SKI,Kvindeliga,1400.0,1423.5,23.5,0,NORMAL,1.118,0
2020-2021,FC ,FC ,Kvindeliga,1397.5,1397.5,0.0,0,NORMAL,0.898,0
2020-2021,TM ,TM ,Kvindeliga,1397.1,1397.1,0.0,0,NORMAL,1.105,0
2020-2021,ÅRH,ÅRH,Kvindeliga,1396.8,1396.8,0.0,0,NORMAL,1.037,0
2020-2021,HC ,HC ,Kvindeliga,1394.9,1394.9,0.0,0,NORMAL,1.017,0
2020-2021,BFH,Bjerringbro FH,Kvindeliga,1394.9,1394.9,0.0,0,NORMAL,0.8,0
2020-2021,AAR,AAR,Kvindeliga,1404.8,1393.9,-10.9,0,NORMAL,1.058,0
2020-2021,RIN,Ringkøbing Håndbold,Kvindeliga,1386.9,1386.9,0.0,0,NORMAL,0.808,0
2020-2021,SKH,Skjern Håndbold,Herreliga,1419.3,1385.6,-33.7,0,NORMAL,0.996,0
2020-2021,MTH,Mors-Thy Håndbold,Herreliga,1405.2,1369.1,-36.1,0,NORMAL,1.116,0
2020-2021,SØN,SØN,Kvindeliga,1389.5,1366.1,-23.4,0,NORMAL,0.991,0
2020-2021,NSH,Nordsjælland Håndbold,Herreliga,1358.7,1358.7,0.0,0,NORMAL,0.863,0
2020-2021,EHA,EH Aalborg,Kvindeliga,1350.4,1350.4,0.0,0,NORMAL,0.981,0
2020-2021,AJA,AJA,Kvindeliga,1358.6,1332.2,-26.4,0,NORMAL,0.859,0
2020-2021,SVK,Silkeborg-Voel KFUM,Kvindeliga,1418.2,1323.0,-95.2,0,NORMAL,0.991,0
2020-2021,KIF,KIF Kolding,Herreliga,1354.4,1312.4,-42.0,0,NORMAL,0.931,0
2020-2021,RAN,RAN,Kvindeliga,1396.8,1311.6,-85.2,0,NORMAL,1.072,0
2020-2021,HOL,HOL,Kvindeliga,1400.0,1305.9,-94.1,0,NORMAL,0.962,0
2020-2021,REH,Ribe-Esbjerg HH,Herreliga,1393.1,1246.5,-146.6,0,NORMAL,0.834,0
2020-2021,FRE,FRE,Kvindeliga,1370.3,1246.4,-123.9,0,NORMAL,0.866,0
2020-2021,HHE,Horsens Håndbold Elite,Kvindeliga,1350.2,1242.7,-107.5,0,NORMAL,1.039,0
2020-2021,LEM,LEM,Kvindeliga,1360.7,1215.0,-145.7,0,NORMAL,1.007,0
2020-2021,TMS,TMS Ringsted,Kvindeliga,1388.0,1174.0,-214.0,0,NORMAL,0.979,0
2020-2021,SKB,Skanderborg Håndbold,Kvindeliga,1353.0,1129.5,-223.5,0,NORMAL,0.973,0
2020-2021,VEN,VEN,Kvindeliga,1400.0,1104.6,-295.4,0,NORMAL,0.958,0
