season,team_code,team_name,league,start_rating,final_rating,rating_change,games,elite_status,momentum_factor,rating_per_game
2024-2025,ODE,Odense Håndbold,Kvindeliga,1436.6,1782.9,346.3,0,ELITE,1.007,0
2024-2025,TES,Team Esbjerg,Kvindeliga,1436.4,1767.3,330.9,0,ELITE,1.061,0
2024-2025,AAH,Aalborg Håndbold,Herreliga,1436.2,1703.2,267.0,0,ELITE,1.068,0
2024-2025,IKA,Ikast Håndbold,Kvindeliga,1441.9,1686.8,244.9,0,ELITE,1.104,0
2024-2025,SKH,Skjern Håndbold,Herreliga,1404.8,1503.3,98.5,0,NORMAL,1.014,0
2024-2025,FHK,Fredericia Håndbold Klub,Herreliga,1400.0,1500.1,100.1,0,NORMAL,1.023,0
2024-2025,TTH,TTH Holstebro,Herreliga,1375.3,1481.5,106.2,0,NORMAL,0.951,0
2024-2025,GOG,GOG,Herreliga,1416.2,1480.8,64.6,0,NORMAL,0.888,0
2024-2025,VHK,Viborg HK,Kvindeliga,1380.6,1458.0,77.4,0,NORMAL,1.167,0
2024-2025,SKA,SKA,Kvindeliga,1388.5,1453.1,64.6,0,NORMAL,1.059,0
2024-2025,MTH,Mors-Thy Håndbold,Herreliga,1395.7,1441.1,45.4,0,NORMAL,0.947,0
2024-2025,NFH,Nykøbing F. Håndbold,Kvindeliga,1420.6,1438.2,17.6,0,NORMAL,1.045,0
2024-2025,BSH,Bjerringbro-Silkeborg,Herreliga,1422.0,1435.1,13.1,0,NORMAL,1.03,0
2024-2025,KBH,København Håndbold,Kvindeliga,1408.3,1428.8,20.5,0,NORMAL,0.95,0
2024-2025,SAH,SAH - Skanderborg AGF,Herreliga,1380.1,1407.7,27.6,0,NORMAL,1.005,0
2024-2025,HER,HER,Kvindeliga,1394.7,1394.7,0.0,0,NORMAL,0.986,0
2024-2025,SJE,SønderjyskE Herrehåndbold,Herreliga,1393.8,1393.8,0.0,0,NORMAL,1.017,0
2024-2025,NYK,NYK,Kvindeliga,1391.9,1391.9,0.0,0,NORMAL,0.989,0
2024-2025,TM ,TM ,Kvindeliga,1391.7,1391.7,0.0,0,NORMAL,1.105,0
2024-2025,ÅRH,ÅRH,Kvindeliga,1391.6,1391.6,0.0,0,NORMAL,1.037,0
2024-2025,FC ,FC ,Kvindeliga,1391.5,1391.5,0.0,0,NORMAL,0.898,0
2024-2025,HØJ,HØJ,Kvindeliga,1390.9,1390.9,0.0,0,NORMAL,0.8,0
2024-2025,VEN,VEN,Kvindeliga,1390.5,1390.5,0.0,0,NORMAL,0.958,0
2024-2025,RAN,RAN,Kvindeliga,1389.1,1389.1,0.0,0,NORMAL,1.155,0
2024-2025,TEA,TEA,Kvindeliga,1387.4,1387.4,0.0,0,NORMAL,0.8,0
2024-2025,HC ,HC ,Kvindeliga,1377.8,1377.8,0.0,0,NORMAL,0.956,0
2024-2025,VOE,VOE,Kvindeliga,1400.0,1376.6,-23.4,0,NORMAL,0.883,0
2024-2025,FRE,FRE,Kvindeliga,1433.9,1366.6,-67.3,0,NORMAL,0.913,0
2024-2025,SØN,SØN,Kvindeliga,1404.0,1355.3,-48.7,0,NORMAL,0.938,0
2024-2025,AAR,AAR,Kvindeliga,1354.7,1354.7,0.0,0,NORMAL,1.011,0
2024-2025,LEM,LEM,Kvindeliga,1346.1,1346.1,0.0,0,NORMAL,1.034,0
2024-2025,SVK,Silkeborg-Voel KFUM,Kvindeliga,1384.3,1345.7,-38.6,0,NORMAL,1.009,0
2024-2025,AJA,AJA,Kvindeliga,1341.5,1341.5,0.0,0,NORMAL,0.882,0
2024-2025,TMS,TMS Ringsted,Kvindeliga,1372.6,1340.8,-31.8,0,NORMAL,1.154,0
2024-2025,SKI,SKI,Kvindeliga,1373.5,1326.3,-47.2,0,NORMAL,0.8,0
2024-2025,REH,Ribe-Esbjerg HH,Herreliga,1399.5,1310.4,-89.1,0,NORMAL,0.911,0
2024-2025,HOL,HOL,Kvindeliga,1372.5,1302.7,-69.8,0,NORMAL,0.806,0
2024-2025,HHE,Horsens Håndbold Elite,Kvindeliga,1346.0,1295.5,-50.5,0,NORMAL,0.951,0
2024-2025,NSH,Nordsjælland Håndbold,Herreliga,1355.3,1264.3,-91.0,0,NORMAL,0.982,0
2024-2025,EHA,EH Aalborg,Kvindeliga,1387.5,1252.8,-134.7,0,NORMAL,0.958,0
2024-2025,AHB,Aarhus Håndbold Kvinder,Kvindeliga,1400.0,1227.4,-172.6,0,NORMAL,1.01,0
2024-2025,GRI,GRI,Kvindeliga,1400.0,1203.6,-196.4,0,NORMAL,0.921,0
2024-2025,SKB,Skanderborg Håndbold,Kvindeliga,1387.4,1199.3,-188.1,0,NORMAL,1.018,0
2024-2025,RIN,Ringkøbing Håndbold,Kvindeliga,1359.4,1179.7,-179.7,0,NORMAL,0.923,0
2024-2025,KIF,KIF Kolding,Herreliga,1372.8,1161.0,-211.8,0,NORMAL,1.024,0
2024-2025,BFH,Bjerringbro FH,Kvindeliga,1333.1,1149.1,-184.0,0,NORMAL,0.922,0
