Model,Accuracy,ROC_AUC,F1_Score
neural_network,0.6504424778761062,0.6809378185524975,0.6666666666666666
random_forest,0.6017699115044248,0.6979534227240649,0.6341463414634146
xgboost,0.6460176991150443,0.7143417235160354,0.6638655462184874
optimized_ensemble,0.6371681415929203,0.723280796675292,0.6693548387096774
