Model,Accuracy,ROC_AUC,F1_Score,Features
neural_network,0.6415929203539823,0.7046969340547322,0.6582278481012658,50
random_forest,0.6194690265486725,0.6887006978750099,0.6692307692307692,50
xgboost,0.6238938053097345,0.6522386889359366,0.6666666666666666,50
weighted_ensemble,0.6327433628318584,0.6942680153689328,0.6745098039215687,50
