season,team_code,team_name,final_rating,games,elite_status,momentum,avg_goals_for,avg_goals_against,avg_efficiency_score,start_rating,rating_change
2021-2022,ODE,Odense Håndbold,2321.1,38,SUPER_ELITE,36.78,30.9,24.3,15.0,2321.140655876475,-0.04065587647528446
2021-2022,TES,Team Esbjerg,2190.5,37,SUPER_ELITE,-16.4,32.5,27.3,14.2,2190.525509757222,-0.025509757222152984
2021-2022,IKA,Ikast Håndbold,1930.8,38,ELITE,1.11,29.4,24.6,13.5,1930.801503510234,-0.0015035102339879813
2021-2022,VHK,Viborg HK,1736.4,37,ELITE,4.15,30.1,27.2,14.2,1736.4302882399454,-0.030288239945321038
2021-2022,HHE,Horsens Håndbold Elite,1683.1,32,STRONG,59.01,25.7,26.8,16.1,1683.1285020548312,-0.028502054831278656
2021-2022,NFH,Nykøbing F. Håndbold,1640.2,32,STRONG,-38.1,28.2,28.1,13.3,1640.219834919382,-0.019834919381992222
2021-2022,SVK,Silkeborg-Voel KFUM,1573.1,32,STRONG,-33.14,28.2,28.2,15.5,1573.143006281445,-0.04300628144505936
2021-2022,AAU,Aarhus United,1566.9,30,STRONG,1.3,25.8,25.9,9.9,1566.8548213858394,0.045178614160704456
2021-2022,RIN,Ringkøbing Håndbold,1440.6,31,NORMAL,21.98,26.2,29.7,15.1,1440.555051730353,0.044948269646965855
2021-2022,RAN,Randers HK,1430.4,30,NORMAL,28.49,25.4,27.8,14.5,1430.382847927887,0.017152072113049144
2021-2022,KBH,København Håndbold,1419.0,32,NORMAL,-19.06,26.6,29.2,16.0,1419.0423505669626,-0.04235056696256834
2021-2022,AJK,Ajax København,1301.9,30,NORMAL,24.72,24.6,28.0,4.2,1301.8708672280563,0.029132771943750413
2021-2022,HOL,Holstebro Håndbold,1176.6,26,NORMAL,69.42,23.9,30.7,14.0,1176.5749607788714,0.02503922112850887
2021-2022,SKB,Skanderborg Håndbold,1116.7,30,NORMAL,-30.79,23.4,28.5,15.1,1116.6574186839184,0.0425813160816233
2021-2022,TMK,TMS Ringsted,953.6,1,NORMAL,-446.39,26.0,35.0,-6.0,953.6056539825968,-0.0056539825967547586
