season,team_code,team_name,final_rating,games,elite_status,momentum,avg_goals_for,avg_goals_against,avg_efficiency_score,start_rating,rating_change
2017-2018,TES,Team Esbjerg,1738.8,12,ELITE,38.47,26.7,25.8,11.8,1738.8382457848702,-0.03824578487024155
2017-2018,KBH,København Håndbold,1714.8,12,ELITE,-21.85,26.6,24.5,19.3,1714.7815719253708,0.018428074629127877
2017-2018,ODE,Odense Håndbold,1641.7,14,STRONG,-24.25,27.4,22.6,16.7,1641.7143197771284,-0.01431977712832122
2017-2018,VHK,Viborg HK,1632.2,13,STRONG,17.86,25.9,25.5,16.6,1632.2073889831365,-0.00738898313647951
2017-2018,AAU,Aarhus United,1335.2,1,NORMAL,-64.8,18.0,24.0,-5.0,1335.2023192718016,-0.0023192718015252467
2017-2018,NFH,Nykøbing F. Håndbold,1324.0,6,NORMAL,-23.9,25.0,25.5,14.7,1324.0286604264984,-0.028660426498390734
2017-2018,RIN,Ringkøbing Håndbold,1318.1,1,NORMAL,-81.94,16.0,33.0,19.0,1318.0593089319784,0.04069106802148781
2017-2018,IKA,Ikast Håndbold,1233.8,7,NORMAL,-43.34,22.9,24.7,10.3,1233.801890497223,-0.001890497223030252
2017-2018,SVK,Silkeborg-Voel KFUM,1107.4,6,NORMAL,-28.15,23.5,29.2,13.2,1107.4445323592015,-0.044532359201411964
2017-2018,RAN,Randers HK,939.3,6,NORMAL,-83.43,21.2,26.8,16.2,939.3030479453963,-0.003047945396360774
