season,team_code,team_name,final_rating,games,elite_status,momentum,avg_goals_for,avg_goals_against,avg_efficiency_score,start_rating,rating_change
2023-2024,TES,Team Esbjerg,2469.9,36,SUPER_ELITE,13.43,33.7,24.6,28.1,2469.8541172746995,0.045882725300543825
2023-2024,IKA,Ikast Håndbold,2217.8,36,SUPER_ELITE,7.88,33.4,27.4,15.5,2217.7591228365723,0.040877163427921914
2023-2024,ODE,Odense Håndbold,2150.4,37,SUPER_ELITE,-5.41,33.4,26.0,15.3,2150.353577885083,0.04642211491727721
2023-2024,NFH,Nykøbing F. Håndbold,1821.5,37,ELITE,17.93,28.5,27.7,13.6,1821.535126211706,-0.0351262117060287
2023-2024,KBH,København Håndbold,1802.4,32,ELITE,43.93,31.1,29.9,14.2,1802.363919115895,0.036080884105103905
2023-2024,SJK,SønderjyskE Kvindehåndbold,1796.1,32,ELITE,65.68,28.1,28.8,7.6,1796.125757664762,-0.02575766476206809
2023-2024,SVK,Silkeborg-Voel KFUM,1620.1,32,STRONG,-51.77,28.7,30.9,16.1,1620.1081667344345,-0.008166734434553291
2023-2024,SKB,Skanderborg Håndbold,1570.2,30,STRONG,-54.12,29.9,30.0,28.4,1570.2255087043714,-0.025508704371304702
2023-2024,VHK,Viborg HK,1443.2,32,NORMAL,-67.19,29.6,30.4,13.5,1443.2237728605612,-0.023772860561166453
2023-2024,RIN,Ringkøbing Håndbold,1356.3,30,NORMAL,-43.82,28.0,30.9,13.0,1356.2619543273738,0.038045672626140004
2023-2024,AAU,Aarhus United,1203.9,30,NORMAL,7.04,24.7,27.6,5.3,1203.8978171160293,0.002182883970817784
2023-2024,HHE,Horsens Håndbold Elite,1164.4,30,NORMAL,43.91,28.4,32.1,15.2,1164.4350006275592,-0.03500062755915678
2023-2024,HOL,Holstebro Håndbold,1122.6,2,NORMAL,-138.68,29.5,36.5,13.0,1122.6302412480652,-0.030241248065294712
2023-2024,BFH,Bjerringbro FH,981.8,32,NORMAL,4.69,26.1,32.0,13.5,981.7920289870333,0.007971012966663693
2023-2024,AJK,Ajax København,630.2,26,NORMAL,-20.1,22.1,32.6,-0.1,630.1545000849603,0.04549991503972706
