season,team_code,team_name,final_rating,games,elite_status,momentum,start_rating,rating_change
2024-2025,TES,Team Esbjerg,2704.5,35,ELITE,42.83,2704.544732526825,-0.04473252682510065
2024-2025,ODE,Odense Håndbold,2633.8,35,ELITE,-40.77,2633.831722875573,-0.03172287557299569
2024-2025,IKA,Ikast Håndbold,2320.6,35,ELITE,13.59,2320.5722460246798,0.027753975320138125
2024-2025,VHK,Viborg HK,1809.4,32,ELITE,36.64,1809.431267597911,-0.03126759791098266
2024-2025,KBH,København Håndbold,1767.2,35,ELITE,-9.18,1767.2376979536148,-0.03769795361472461
2024-2025,NFH,Nykøbing F. Håndbold,1753.4,32,ELITE,24.74,1753.4025637820832,-0.002563782083143451
2024-2025,SJK,SønderjyskE Kvindehåndbold,1518.7,32,NORMAL,1.38,1518.6608717113616,0.03912828863849427
2024-2025,HHE,Horsens Håndbold Elite,1488.0,32,NORMAL,20.6,1488.0268296526085,-0.026829652608512333
2024-2025,EHA,EH Aalborg,1406.0,30,NORMAL,20.09,1405.9756633080428,0.02433669195715993
2024-2025,SVK,Silkeborg-Voel KFUM,1368.8,30,NORMAL,-50.78,1368.7680482166556,0.03195178334431148
2024-2025,AHB,Aarhus Håndbold Kvinder,1333.6,26,NORMAL,42.39,1333.552075417849,0.04792458215092665
2024-2025,SKB,Skanderborg Håndbold,1221.4,32,NORMAL,-31.46,1221.4329791290374,-0.03297912903735778
2024-2025,BFH,Bjerringbro FH,992.7,30,NORMAL,2.21,992.7352640737006,-0.03526407370054585
2024-2025,RIN,Ringkøbing Håndbold,961.6,30,NORMAL,-1.42,961.6005773561478,-0.000577356147800856
2024-2025,HOL,Holstebro Håndbold,307.0,2,NORMAL,-403.13,307.04412154104216,-0.04412154104215915
