season,team_code,team_name,final_rating,games,elite_status,momentum,start_rating,rating_change
2018-2019,TES,Team Esbjerg,2667.0,35,ELITE,22.89,2666.9867866065856,0.01321339341438943
2018-2019,KBH,København Håndbold,2404.9,36,ELITE,13.1,2404.904273271709,-0.004273271708825632
2018-2019,ODE,Odense Håndbold,2348.9,37,ELITE,-11.48,2348.9453366494677,-0.04533664946757199
2018-2019,IKA,Ikast Håndbold,1985.1,36,ELITE,-30.88,1985.117592879817,-0.01759287981712987
2018-2019,AAU,Aarhus United,1936.1,32,ELITE,-4.63,1936.0837072524025,0.01629274759739019
2018-2019,NFH,Nykøbing F. Håndbold,1916.2,32,ELITE,1.78,1916.2022267878172,-0.0022267878171078337
2018-2019,VHK,Viborg HK,1740.4,32,ELITE,10.09,1740.3627976955624,0.03720230443764194
2018-2019,SVK,Silkeborg-Voel KFUM,1450.4,30,NORMAL,17.94,1450.4270684368219,-0.027068436821764408
2018-2019,AJK,Ajax København,1187.3,32,NORMAL,-11.18,1187.3163790967305,-0.01637909673058857
2018-2019,HOL,Holstebro Håndbold,1174.9,32,NORMAL,21.34,1174.936779380561,-0.036779380560801656
2018-2019,EHA,EH Aalborg,1043.2,29,NORMAL,17.72,1043.220441363146,-0.020441363145891955
2018-2019,RAN,Randers HK,924.5,30,NORMAL,53.21,924.5276719283386,-0.027671928338577345
2018-2019,SKB,Skanderborg Håndbold,671.9,29,NORMAL,-39.36,671.9266471013952,-0.0266471013952696
2018-2019,BFH,Bjerringbro FH,524.4,2,NORMAL,-437.79,524.4152966858994,-0.015296685899443219
2018-2019,RIN,Ringkøbing Håndbold,425.2,26,NORMAL,-81.2,425.22705226885836,-0.027052268858369644
