season,team_code,team_name,final_rating,games,elite_status,momentum,avg_goals_for,avg_goals_against,avg_efficiency_score,start_rating,rating_change
2020-2021,VHK,Viborg HK,2029.1,37,SUPER_ELITE,33.8,30.4,25.5,14.9,2029.1403578153886,-0.04035781538868832
2020-2021,TES,Team Esbjerg,1974.6,37,ELITE,-26.1,30.8,24.9,14.7,1974.6443016496794,-0.04430164967948258
2020-2021,IKA,Ikast Håndbold,1957.3,38,ELITE,33.97,27.8,24.8,13.9,1957.337900811085,-0.03790081108513732
2020-2021,ODE,Odense Håndbold,1920.0,36,ELITE,-25.01,28.0,24.4,15.8,1919.962747449951,0.03725255004906103
2020-2021,NFH,Nykøbing F. Håndbold,1594.7,32,STRONG,-18.42,29.3,27.8,15.1,1594.7070892453173,-0.007089245317274617
2020-2021,KBH,København Håndbold,1536.8,32,STRONG,-32.08,27.2,26.5,15.5,1536.8442131775946,-0.04421317759465637
2020-2021,AAU,Aarhus United,1502.0,32,STRONG,29.63,23.7,25.1,7.2,1502.0264403766814,-0.026440376681421185
2020-2021,SVK,Silkeborg-Voel KFUM,1470.1,32,NORMAL,42.54,25.5,28.0,14.2,1470.0512719445453,0.048728055454603236
2020-2021,HHE,Horsens Håndbold Elite,1363.9,31,NORMAL,-12.1,23.7,26.1,14.7,1363.8978289021568,0.00217109784330205
2020-2021,RAN,Randers HK,1322.3,30,NORMAL,23.22,23.2,26.4,14.4,1322.27155788028,0.02844211972001176
2020-2021,SKB,Skanderborg Håndbold,1234.8,30,NORMAL,49.83,22.6,28.9,14.5,1234.767552769525,0.03244723047487241
2020-2021,AJK,Ajax København,1201.9,30,NORMAL,-73.1,24.2,24.6,4.2,1201.8658320285488,0.034167971451324775
2020-2021,HOL,Holstebro Håndbold,1127.1,30,NORMAL,-38.77,23.9,25.3,15.0,1127.1485934323935,-0.0485934323935453
2020-2021,SJK,SønderjyskE Kvindehåndbold,1044.7,1,NORMAL,-355.26,28.0,32.0,0.0,1044.7387747220441,-0.0387747220440815
2020-2021,VEN,Vendsyssel Håndbold,852.2,26,NORMAL,0.31,22.5,29.2,14.2,852.1552905523049,0.044709447695140625
