player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
SEBASTIAN SKUBE,BSH,Bjerringbro-Silkeborg,1599.0,34,HF,False,LEGENDARY,240.6
LASSE KJÆR MØLLER,GOG,GOG,1564.8,26,HF,False,LEGENDARY,291.7
NIKOLAJ ØRIS NIELSEN,BSH,Bjerringbro-Silkeborg,1529.8000000000002,33,HF,False,LEGENDARY,294.1
NICLAS VEST KIRKELØKKE,GOG,GOG,1509.4,27,HF,False,LEGENDARY,260.9
LUKAS KARLSSON,REH,Ribe-Esbjerg HH,1479.1,29,HF,False,LEGENDARY,220.9
OMAR INGI MAGNUSSON,AAH,Aalborg Håndbold,1468.3,34,HF,False,LEGENDARY,277.3
JOHAN MEKLENBORG,NSH,Nordsjælland Håndbold,1468.1999999999998,21,HF,False,LEGENDARY,205.1
JESPER KONRADSSON,SKH,Skjern Håndbold,1457.7,35,HF,False,LEGENDARY,204.3
EIVIND TANGEN,SKH,Skjern Håndbold,1446.1999999999998,37,HF,False,LEGENDARY,225.1
ANDERS KRAGH MARTINUSEN,ARH,Århus Håndbold,1436.9,31,HF,False,LEGENDARY,212.4
ERIK THORSTEINSEN TOFT,MTH,Mors-Thy Håndbold,1427.2,29,HF,False,LEGENDARY,182.7
JACOB LASSEN,BSH,Bjerringbro-Silkeborg,1421.9,35,HF,False,LEGENDARY,202.1
KASPER IRMING ANDERSEN,KIF,KIF Kolding,1421.8,30,HF,False,LEGENDARY,239.1
TORBEN PETERSEN,ARH,Århus Håndbold,1414.0,30,HF,False,LEGENDARY,151.7
NICOLAI PEDERSEN,REH,Ribe-Esbjerg HH,1413.0,26,HF,False,LEGENDARY,83.5
PETER BALLING,TTH,TTH Holstebro,1411.6,21,HF,False,LEGENDARY,180.3
MARCUS DAHLIN,MTH,Mors-Thy Håndbold,1408.6,25,HF,False,LEGENDARY,163.8
MAGNUS BRAMMING,TTH,TTH Holstebro,1400.8,31,HF,False,LEGENDARY,235.7
AARON MENSING,SJH,SønderjyskE Herrehåndbold,1400.6,27,HF,False,LEGENDARY,213.3
NIKOLAJ MARKUSSEN,BSH,Bjerringbro-Silkeborg,1400.1999999999998,23,HF,False,LEGENDARY,151.6
MARTIN LARSEN,KIF,KIF Kolding,1393.2,16,HF,False,ELITE,63.7
VIKTOR ÖSTLUND,TTH,TTH Holstebro,1386.6,31,HF,False,ELITE,167.7
NIKOLAJ LÆSØ,ARH,Århus Håndbold,1383.1,32,HF,False,ELITE,247.0
KASPER SØNDERGAARD,SKH,Skjern Håndbold,1380.3,29,HF,False,ELITE,136.0
MARK STRANDGAARD,AAH,Aalborg Håndbold,1371.5,37,HF,False,ELITE,184.6
JANUS SMARÁSON,AAH,Aalborg Håndbold,1355.4,36,HF,False,ELITE,211.8
MAGNUS SAUGSTRUP,AAH,Aalborg Håndbold,1355.3,32,MV,True,ELITE,233.6
BJARTE MYRHOL,SKH,Skjern Håndbold,1354.0,29,HF,False,ELITE,145.8
JAC KARLSSON,TTH,TTH Holstebro,1350.3,29,HF,False,ELITE,165.1
CHRIS HOLM JØRGENSEN,SJH,SønderjyskE Herrehåndbold,1327.9,18,HF,False,ELITE,148.2
LASSE UTH,NSH,Nordsjælland Håndbold,1324.5,30,VF,False,ELITE,147.0
SEBASTIAN HENNEBERG,ARH,Århus Håndbold,1324.2,27,HF,False,ELITE,149.0
ANDREAS HOLST JENSEN,AAH,Aalborg Håndbold,1318.3,23,HF,False,ELITE,134.3
MORTEN NYBERG,TMH,TMS Ringsted,1315.9,26,HF,False,ELITE,129.3
OLIVER NØDDESBO EGGERT,SJH,SønderjyskE Herrehåndbold,1313.1,29,HF,False,ELITE,143.5
MIKKEL KJÆR MØLLER,SJH,SønderjyskE Herrehåndbold,1306.4,28,HF,False,ELITE,163.1
TOBIAS ELLEBÆK,AAH,Aalborg Håndbold,1306.0,34,HF,False,ELITE,128.7
EMIL JAKOBSEN,GOG,GOG,1300.5,36,HF,False,ELITE,183.3
KASPER EMIL KILDELUND,TTH,TTH Holstebro,1299.0,29,HF,False,ELITE,147.7
JOHAN HANSEN,BSH,Bjerringbro-Silkeborg,1297.1,35,HF,False,ELITE,196.4
AKUTAANEQ KREUTZMANN,NSH,Nordsjælland Håndbold,1286.5,27,HF,False,ELITE,122.4
JONAS GADE NIELSEN,LTH,Lemvig-Thyborøn Håndbold,1279.8,29,HF,False,ELITE,264.8
JONAS PORUP,TTH,TTH Holstebro,1278.9,29,HF,False,ELITE,199.2
OLAFUR GUSTAFSSON,KIF,KIF Kolding,1275.2,25,MV,True,ELITE,177.0
JESPER DAHL,NSH,Nordsjælland Håndbold,1271.5,25,HF,False,ELITE,115.7
MADS KJELDGAARD ANDERSEN,MTH,Mors-Thy Håndbold,1269.0,28,HF,False,ELITE,208.5
SEBASTIAN BARTHOLD,AAH,Aalborg Håndbold,1263.1999999999998,33,HF,False,ELITE,197.6
JENS PESCHARDT,KIF,KIF Kolding,1247.5,31,HF,False,NORMAL,123.3
RENÉ RASMUSSEN,SKH,Skjern Håndbold,1241.9,19,HF,False,NORMAL,78.3
MICHAEL KNUDSEN,BSH,Bjerringbro-Silkeborg,1236.4,34,ST,False,NORMAL,108.1
ANDERS EGGERT,SKH,Skjern Håndbold,1236.2,37,HF,False,NORMAL,130.5
NICOLAS LUNDBYE KRISTIANSEN,NSH,Nordsjælland Håndbold,1233.3000000000002,28,HF,False,NORMAL,151.9
BESARD HAKAJ,ARH,Århus Håndbold,1226.1,32,ST,False,NORMAL,128.1
