team_code,team_name,total_players,avg_rating,max_rating,min_rating,total_games,avg_games_per_player,elite_players,goalkeepers,positions_represented,position_distribution
IKA,Ikast Håndbold,20,1301.9,1691.0,1016.4,426,21.3,11,3,4,"{'HF': 16, 'VF': 1, 'MV': 2, 'PL': 1}"
TES,Team Esbjerg,20,1301.3,1721.5,1042.4,463,23.2,12,2,3,"{'HF': 15, 'ST': 3, 'MV': 2}"
KBH,København Håndbold,18,1295.6,1781.1,1017.5,397,22.1,9,3,2,"{'HF': 15, 'MV': 3}"
VHK,Viborg HK,16,1292.7,1658.7,1032.9,378,23.6,9,2,4,"{'HF': 11, 'VF': 2, 'MV': 2, 'ST': 1}"
ODE,Odense Håndbold,19,1281.3,1562.4,1015.9,494,26.0,11,4,2,"{'HF': 15, 'MV': 4}"
RIN,Ringkøbing Håndbold,16,1278.3,1635.6,1036.9,358,22.4,8,2,4,"{'HF': 12, 'PL': 1, 'ST': 1, 'MV': 2}"
SJK,SønderjyskE Kvindehåndbold,16,1276.3,1582.1,1016.5,353,22.1,9,3,3,"{'HF': 11, 'VF': 3, 'MV': 2}"
NFH,Nykøbing F. Håndbold,19,1271.8,1580.8,1028.4,425,22.4,8,3,3,"{'HF': 15, 'MV': 3, 'VF': 1}"
SVK,Silkeborg-Voel KFUM,16,1266.2,1524.4,1038.6,389,24.3,8,2,3,"{'HF': 13, 'ST': 1, 'MV': 2}"
AHB,Aarhus Håndbold Kvinder,16,1252.1,1733.7,1021.8,295,18.4,4,2,3,"{'HF': 13, 'MV': 2, 'VF': 1}"
BFH,Bjerringbro FH,17,1219.1,1643.6,1072.7,404,23.8,5,2,4,"{'HF': 11, 'VF': 2, 'ST': 2, 'MV': 2}"
HHE,Horsens Håndbold Elite,18,1204.7,1771.6,1017.3,382,21.2,5,2,4,"{'HF': 14, 'VF': 1, 'ST': 1, 'MV': 2}"
SKB,Skanderborg Håndbold,19,1159.1,1486.0,1020.1,406,21.4,4,3,4,"{'HF': 11, 'VF': 2, 'ST': 3, 'MV': 3}"
EHA,EH Aalborg,19,1142.5,1446.8,1011.8,392,20.6,3,4,5,"{'HF': 14, 'VF': 1, 'ST': 1, 'MV': 2, 'PL': 1}"
