team_code,team_name,total_players,avg_rating,max_rating,min_rating,total_games,avg_games_per_player,elite_players,goalkeepers,positions_represented,position_distribution
BSH,Bjerringbro-Silkeborg,15,1296.7,1620.9,1025.0,288,19.2,9,2,6,"{'PL': 6, 'HF': 1, 'ST': 3, 'MV': 2, 'VF': 1, 'Ukendt': 2}"
SKH,Skjern Håndbold,14,1286.6,1525.6,1107.6,294,21.0,7,2,6,"{'HB': 2, 'PL': 3, 'ST': 4, 'VF': 2, 'HF': 1, 'MV': 2}"
AAH,Aalborg Håndbold,15,1262.2,1537.0,1073.4,295,19.7,7,2,7,"{'PL': 2, 'VB': 2, 'ST': 3, 'HF': 1, 'VF': 2, 'HB': 3, 'MV': 2}"
KIF,KIF Kolding,16,1229.6,1553.6,1013.8,276,17.2,7,3,7,"{'PL': 4, 'VB': 1, 'Ukendt': 2, 'HF': 2, 'VF': 2, 'ST': 2, 'MV': 3}"
TTH,TTH Holstebro,16,1220.9,1623.5,1050.5,292,18.2,5,2,7,"{'PL': 7, 'VF': 1, 'HB': 1, 'HF': 1, 'ST': 3, 'MV': 2, 'Ukendt': 1}"
SJH,SønderjyskE Herrehåndbold,17,1213.1,1558.9,1023.9,310,18.2,5,2,7,"{'PL': 6, 'VF': 1, 'HF': 2, 'HB': 1, 'ST': 4, 'MV': 2, 'Ukendt': 1}"
GOG,GOG,16,1208.2,1688.1,1017.6,296,18.5,5,2,8,"{'VB': 1, 'VF': 2, 'PL': 2, 'HF': 2, 'HB': 2, 'ST': 4, 'MV': 2, 'Ukendt': 1}"
MTH,Mors-Thy Håndbold,17,1204.2,1522.9,1039.3,315,18.5,3,2,8,"{'VB': 2, 'HB': 3, 'HF': 1, 'ST': 3, 'VF': 2, 'PL': 3, 'MV': 2, 'Ukendt': 1}"
REH,Ribe-Esbjerg HH,15,1201.9,1440.2,1030.1,291,19.4,6,2,7,"{'HB': 2, 'PL': 4, 'ST': 2, 'VF': 2, 'HF': 2, 'MV': 2, 'Ukendt': 1}"
ARH,Århus Håndbold,17,1192.9,1580.0,1019.9,290,17.1,5,2,7,"{'PL': 6, 'VF': 3, 'ST': 2, 'MV': 2, 'HF': 2, 'Ukendt': 1, 'HB': 1}"
LTH,Lemvig-Thyborøn Håndbold,14,1189.7,1361.5,1019.7,289,20.6,4,2,7,"{'PL': 2, 'HB': 2, 'HF': 1, 'VF': 2, 'VB': 2, 'MV': 2, 'ST': 3}"
NSH,Nordsjælland Håndbold,13,1172.1,1402.8,1047.6,271,20.8,3,2,6,"{'HB': 1, 'PL': 5, 'HF': 1, 'VF': 1, 'ST': 3, 'MV': 2}"
FHK,Fredericia Håndbold Klub,17,1130.8,1411.2,1013.4,326,19.2,3,2,8,"{'PL': 5, 'VB': 1, 'MV': 2, 'HB': 1, 'ST': 3, 'VF': 2, 'HF': 2, 'Ukendt': 1}"
SAH,SAH - Skanderborg AGF,2,1114.1,1134.1,1094.2,42,21.0,0,2,1,{'MV': 2}
