team_code,team_name,total_players,avg_rating,max_rating,min_rating,total_games,avg_games_per_player,elite_players,goalkeepers,positions_represented,position_distribution
BSH,Bjerringbro-Silkeborg,16,1218.1,1613.7,1001.2,436,27.2,6,2,8,"{'PL': 5, 'HB': 1, 'HF': 1, 'ST': 3, 'VF': 2, 'Ukendt': 1, 'MV': 2, 'VB': 1}"
AAH,Aalborg Håndbold,17,1204.2,1510.4,1020.2,428,25.2,6,2,8,"{'HB': 2, 'ST': 3, 'PL': 2, 'VB': 2, 'HF': 2, 'VF': 3, 'Ukendt': 1, 'MV': 2}"
SKH,Skjern Håndbold,17,1193.4,1485.1,1032.1,484,28.5,4,2,8,"{'PL': 4, 'HB': 2, 'ST': 3, 'VF': 2, 'HF': 2, 'VB': 1, 'Ukendt': 1, 'MV': 2}"
ARH,Århus Håndbold,15,1183.5,1501.5,1007.6,402,26.8,4,2,6,"{'HB': 2, 'PL': 5, 'ST': 2, 'VF': 2, 'HF': 2, 'MV': 2}"
TTH,TTH Holstebro,16,1178.5,1429.4,1027.5,359,22.4,6,2,7,"{'HB': 2, 'PL': 5, 'VF': 2, 'HF': 1, 'ST': 3, 'MV': 2, 'Ukendt': 1}"
GOG,GOG,18,1177.1,1594.7,1038.9,502,27.9,3,3,8,"{'VB': 1, 'PL': 5, 'VF': 1, 'HB': 1, 'HF': 2, 'MV': 3, 'ST': 3, 'Ukendt': 2}"
KIF,KIF Kolding,16,1168.0,1526.6,1012.8,341,21.3,5,2,7,"{'HB': 1, 'PL': 5, 'VF': 3, 'HF': 1, 'ST': 3, 'MV': 2, 'Ukendt': 1}"
SJH,SønderjyskE Herrehåndbold,20,1158.4,1497.5,1016.2,412,20.6,4,3,8,"{'VB': 1, 'PL': 4, 'VF': 2, 'ST': 3, 'HF': 3, 'HB': 3, 'MV': 3, 'Ukendt': 1}"
MTH,Mors-Thy Håndbold,16,1157.3,1503.2,1024.5,372,23.2,3,2,7,"{'HB': 2, 'PL': 6, 'HF': 2, 'VF': 1, 'ST': 2, 'MV': 2, 'Ukendt': 1}"
NSH,Nordsjælland Håndbold,17,1156.8,1474.8,1015.0,351,20.6,5,3,7,"{'PL': 6, 'VF': 1, 'HB': 2, 'ST': 3, 'HF': 1, 'Ukendt': 1, 'MV': 3}"
REH,Ribe-Esbjerg HH,20,1132.6,1505.1,1013.5,382,19.1,2,3,8,"{'PL': 4, 'ST': 3, 'HB': 2, 'HF': 2, 'VF': 2, 'VB': 2, 'MV': 3, 'Ukendt': 2}"
LTH,Lemvig-Thyborøn Håndbold,18,1087.2,1296.9,1013.6,371,20.6,1,3,8,"{'HB': 2, 'HF': 2, 'PL': 3, 'VF': 2, 'VB': 2, 'ST': 3, 'MV': 3, 'Ukendt': 1}"
TMH,TMS Ringsted,17,1086.5,1351.8,1009.9,325,19.1,1,2,8,"{'HB': 1, 'PL': 4, 'VB': 1, 'HF': 2, 'ST': 3, 'VF': 3, 'MV': 2, 'Ukendt': 1}"
SAH,SAH - Skanderborg AGF,2,1046.2,1050.8,1041.5,63,31.5,0,2,1,{'MV': 2}
