player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
MADS HOXER HANGAARD,AAH,Aalborg Håndbold,1682.2,34,PL,False,LEGENDARY,279.2
THOMAS ARNOLDSEN,AAH,Aalborg Håndbold,1597.6,22,PL,False,LEGENDARY,199.9
BUSTER JUUL,AAH,Aalborg Håndbold,1508.8,26,VF,False,LEGENDARY,121.3
MIKKEL HANSEN,AAH,Aalborg Håndbold,1497.4,28,PL,False,LEGENDARY,219.8
SEBASTIAN BARTHOLD,AAH,Aalborg Håndbold,1459.4,19,VF,False,LEGENDARY,60.9
NIKLAS LANDIN,AAH,Aalborg Håndbold,1423.1,32,MV,True,LEGENDARY,408.1
HENRIK MØLLGAARD,AAH,Aalborg Håndbold,1420.7,28,PL,False,LEGENDARY,22.8
RENE ANTONSEN,AAH,Aalborg Håndbold,1405.6999999999998,30,ST,False,LEGENDARY,71.1
KRISTIAN BJØRNSEN,AAH,Aalborg Håndbold,1393.5,23,HF,False,ELITE,74.5
MARTIN LARSEN,AAH,Aalborg Håndbold,1308.2,26,HB,False,ELITE,44.4
BENJAMIN JAKOBSEN,AAH,Aalborg Håndbold,1284.6,5,ST,False,ELITE,1.8
PATRICK WIESMACH,AAH,Aalborg Håndbold,1230.6,23,HF,False,NORMAL,51.9
LUKAS NILSSON,AAH,Aalborg Håndbold,1222.6,29,PL,False,NORMAL,207.6
MARINUS GRANDAHL MUNK,AAH,Aalborg Håndbold,1189.1,22,PL,False,NORMAL,40.6
ALEKS VLAH,AAH,Aalborg Håndbold,1184.0,32,PL,False,NORMAL,169.0
JESPER NIELSEN,AAH,Aalborg Håndbold,1168.2,15,ST,False,NORMAL,21.7
FABIAN NORSTEN,AAH,Aalborg Håndbold,1153.2,32,MV,True,NORMAL,138.2
STEFAN MADSEN,AAH,Aalborg Håndbold,1139.2,8,Ukendt,False,NORMAL,-2.5
SIMON HALD,AAH,Aalborg Håndbold,1127.0,31,ST,False,NORMAL,112.0
JACK THURIN,AAH,Aalborg Håndbold,1095.7,24,HB,False,NORMAL,80.7
