team_code,team_name,total_players,avg_rating,max_rating,min_rating,total_games,avg_games_per_player,elite_players,goalkeepers,positions_represented,position_distribution
SVK,Silkeborg-Voel KFUM,17,1312.3,1632.2,1046.6,421,24.8,10,2,7,"{'PL': 6, 'VF': 3, 'HB': 1, 'HF': 2, 'ST': 2, 'Ukendt': 1, 'MV': 2}"
TES,Team Esbjerg,20,1257.6,1668.3,1018.6,418,20.9,9,2,7,"{'PL': 6, 'HB': 2, 'ST': 3, 'HF': 4, 'Ukendt': 1, 'VF': 2, 'MV': 2}"
KBH,København Håndbold,15,1249.8,1693.2,1031.0,413,27.5,7,2,7,"{'PL': 3, 'VF': 2, 'HB': 2, 'ST': 2, 'VB': 2, 'HF': 2, 'MV': 2}"
VHK,Viborg HK,16,1247.4,1769.2,1028.9,436,27.2,6,2,6,"{'PL': 5, 'VF': 3, 'HF': 2, 'ST': 3, 'HB': 1, 'MV': 2}"
AAU,Aarhus United,15,1244.9,1740.3,1013.8,354,23.6,6,2,6,"{'PL': 5, 'VF': 2, 'HF': 2, 'ST': 3, 'MV': 2, 'Ukendt': 1}"
NFH,Nykøbing F. Håndbold,21,1207.0,1663.6,1014.4,400,19.0,8,3,8,"{'PL': 6, 'VB': 2, 'ST': 4, 'VF': 2, 'HF': 2, 'MV': 3, 'HB': 1, 'Ukendt': 1}"
AJK,Ajax København,20,1177.7,1532.3,1015.0,391,19.6,5,3,7,"{'PL': 7, 'VF': 2, 'HB': 1, 'ST': 3, 'HF': 3, 'Ukendt': 1, 'MV': 3}"
HOL,Holstebro Håndbold,16,1175.6,1464.3,1014.2,303,18.9,3,2,6,"{'PL': 7, 'VF': 2, 'HF': 2, 'HB': 1, 'ST': 2, 'MV': 2}"
HHE,Horsens Håndbold Elite,21,1168.5,1484.3,1012.4,378,18.0,5,3,7,"{'VB': 1, 'PL': 6, 'VF': 3, 'ST': 4, 'HF': 3, 'MV': 3, 'Ukendt': 1}"
SKB,Skanderborg Håndbold,19,1158.8,1435.8,1015.0,412,21.7,5,3,6,"{'PL': 7, 'VF': 3, 'HF': 2, 'HB': 2, 'ST': 2, 'MV': 3}"
RIN,Ringkøbing Håndbold,16,1132.0,1416.4,1013.1,386,24.1,2,4,6,"{'HB': 1, 'PL': 4, 'ST': 3, 'HF': 2, 'VF': 2, 'MV': 4}"
IKA,Ikast Håndbold,2,1091.6,1103.8,1079.3,66,33.0,0,2,1,{'MV': 2}
RAN,Randers HK,3,1059.0,1064.1,1052.2,66,22.0,0,3,1,{'MV': 3}
ODE,Odense Håndbold,4,1043.1,1074.4,1014.2,67,16.8,0,4,1,{'MV': 4}
