player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
Trine KNUDSEN,HHE,Horsens Håndbold Elite,1382.6,31,PL,False,NORMAL,107.1
Melissa PETRÉN,HHE,Horsens Håndbold Elite,1234.2,26,PL,False,NORMAL,123.0
Maria Mose VESTERGAARD,HHE,Horsens Håndbold Elite,1219.6,26,VF,False,NORMAL,66.2
Frederikke GULMARK,HHE,Horsens Håndbold Elite,1155.3,19,VB,False,NORMAL,60.1
Daniela GUSTIN,HHE,Horsens Håndbold Elite,1133.6,20,HF,False,NORMAL,58.2
Frederikke RASMUSSEN,HHE,Horsens Håndbold Elite,1115.2,2,MV,True,NORMAL,3.1
Emily BAUNSGAARD,HHE,Horsens Håndbold Elite,1101.2,12,HB,False,NORMAL,28.1
Mette LASSEN,HHE,Horsens Håndbold Elite,1093.4,17,VF,False,NORMAL,30.0
Julie GANTZEL,HHE,Horsens Håndbold Elite,1056.0,23,ST,False,NORMAL,41.0
Susanne MADSEN,HHE,Horsens Håndbold Elite,1049.7,24,PL,False,NORMAL,34.7
Celine Holst ELKJÆR,HHE,Horsens Håndbold Elite,1049.6,21,ST,False,NORMAL,34.6
Maria Krogh HOLM,HHE,Horsens Håndbold Elite,1049.5,11,HF,False,NORMAL,34.5
Maria HOLM,HHE,Horsens Håndbold Elite,1042.3,6,HF,False,NORMAL,27.3
Anne-Sofie FILTENBORG,HHE,Horsens Håndbold Elite,1037.9,14,HF,False,NORMAL,22.9
Camilla Askebjerg MADSEN,HHE,Horsens Håndbold Elite,1032.4,17,PL,False,NORMAL,17.4
Stephanie ANDERSEN,HHE,Horsens Håndbold Elite,1014.6,1,MV,True,NORMAL,-0.4
