player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
KRISTINA LISCEVIC,TES,Team Esbjerg,1368.4,35,HF,False,ELITE,168.2
ESTAVANA POLMAN,TES,Team Esbjerg,1348.8,34,HF,False,ELITE,317.8
SOFIE BÆK ANDERSEN,SVK,Silkeborg-Voel KFUM,1333.6,29,HF,False,ELITE,273.7
KRISTINA JØRGENSEN,VHK,Viborg HK,1322.5,32,HF,False,ELITE,207.3
KELLY DULFER,KBH,København Håndbold,1283.8,31,HF,False,ELITE,185.6
STINE HOLM,SKB,Skanderborg Håndbold,1279.4,29,MV,True,ELITE,264.4
TRINE KNUDSEN,SKB,Skanderborg Håndbold,1275.4,29,HF,False,ELITE,260.4
JENNY ALM,KBH,København Håndbold,1266.7,36,HF,False,ELITE,193.5
LÆRKE NOLSØE PEDERSEN,NFH,Nykøbing F. Håndbold,1256.8,32,HF,False,ELITE,216.5
MIA REJ,KBH,København Håndbold,1253.6,6,HF,False,ELITE,54.1
LINE UNO,VHK,Viborg HK,1243.6,24,HF,False,NORMAL,91.4
SIMONE CATHRINE PETERSEN,AAU,Aarhus United,1243.3,32,HF,False,NORMAL,216.5
LINE HAUGSTED,VHK,Viborg HK,1235.5,30,HF,False,NORMAL,143.8
KRISTINA KRISTIANSEN,NFH,Nykøbing F. Håndbold,1220.9,25,HF,False,NORMAL,157.3
VILDE MORTENSEN INGSTAD,TES,Team Esbjerg,1214.6,35,HF,False,NORMAL,173.9
CARIN STRÖMBERG,VHK,Viborg HK,1214.4,32,HF,False,NORMAL,122.7
ANN GRETE NØRGAARD,VHK,Viborg HK,1213.2,31,HF,False,NORMAL,123.9
DEBBIE BONT,KBH,København Håndbold,1209.5,32,HF,False,NORMAL,129.1
LAURA DAMGAARD LUND,EHA,EH Aalborg,1205.6,29,HF,False,NORMAL,190.6
JUNE BØTTGER,AAU,Aarhus United,1203.8,32,VF,False,NORMAL,174.0
ANNE CECILIE DE LA COUR,KBH,København Håndbold,1200.9,31,HF,False,NORMAL,133.2
ANGELICA WALLÉN,NFH,Nykøbing F. Håndbold,1198.4,32,HF,False,NORMAL,164.3
CECILIE WOLLER,AJK,Ajax København,1191.3,32,HF,False,NORMAL,176.3
HELENA ELVER,AAU,Aarhus United,1190.4,32,HF,False,NORMAL,175.4
LINE BERGGREN LARSEN,EHA,EH Aalborg,1190.0,29,HF,False,NORMAL,175.0
SUSANN MÜLLER,SVK,Silkeborg-Voel KFUM,1183.2,30,HF,False,NORMAL,168.2
MARIT RØSBERG JACOBSEN,TES,Team Esbjerg,1180.3,34,HF,False,NORMAL,165.3
SANNA CHARLOTTE SOLBERG,TES,Team Esbjerg,1177.9,34,HF,False,NORMAL,93.5
CELINE LUNDBYE KRISTIANSEN,AAU,Aarhus United,1177.0,30,HF,False,NORMAL,145.7
