player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
MIKKEL MØLLER LØVKVIST,FHK,Fredericia Håndbold Klub,1025.2,14,MV,True,NORMAL,10.2
JORN SMITS,TTH,TTH Holstebro,1024.1,15,HF,False,NORMAL,9.1
RONNIE SCHMIDT NICOLAISEN,LTH,Lemvig-Thyborøn Håndbold,1023.9,11,MV,True,NORMAL,8.9
LUCAS LENLER GARSDAL,GOG,GOG,1022.0,6,HF,False,NORMAL,7.0
DANIEL NYGAARD LUND,REH,Ribe-Esbjerg HH,1022.0,6,HF,False,NORMAL,7.0
FREDERIK CLAUSEN,GOG,GOG,1021.6,24,HF,False,NORMAL,6.6
VETLE RØNNINGEN,KIF,KIF Kolding,1019.9,20,HF,False,NORMAL,4.9
LASSE MATHIAS PEDERSEN,GOG,GOG,1019.7,6,HF,False,NORMAL,4.7
RASMUS BECH,MTH,Mors-Thy Håndbold,1017.5,25,MV,True,NORMAL,2.5
TOBIAS LANTZ-PEDERSEN,TMH,TMS Ringsted,1016.0,10,MV,True,NORMAL,1.0
CHRISTOFFER LANGERHUUS,REH,Ribe-Esbjerg HH,1014.5,5,HF,False,NORMAL,-0.5
SØREN HAAGEN,GOG,GOG,1014.2,24,MV,True,NORMAL,-0.8
LEON HENRIKSEN,BSH,Bjerringbro-Silkeborg,1013.7,5,HF,False,NORMAL,-1.3
JAN PYTLICK,SJH,SønderjyskE Herrehåndbold,1013.5,9,HF,False,NORMAL,-1.5
SHADRACH-AMIE NSONI,LTH,Lemvig-Thyborøn Håndbold,1012.4,26,MV,True,NORMAL,-2.6
