player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
MARIELLE MARTINSEN,VHK,Viborg HK,1608.5,27,PL,False,LEGENDARY,210.2
CHRISTINA PEDERSEN,VHK,Viborg HK,1592.7,32,PL,False,LEGENDARY,304.3
ALBERTE SIMONSEN,VHK,Viborg HK,1421.5,26,ST,False,LEGENDARY,66.9
JULIE HOLM,VHK,Viborg HK,1390.1,28,PL,False,ELITE,56.0
MARIA FISKER,VHK,Viborg HK,1386.2,31,VF,False,ELITE,82.7
SARA HALD,VHK,Viborg HK,1383.3,31,ST,False,ELITE,140.6
LOUISE SØNDERGAARD,VHK,Viborg HK,1348.9,27,HB,False,ELITE,243.1
THILDE FRANDSEN,VHK,Viborg HK,1302.2,31,HF,False,ELITE,69.8
CAMILLA DEGN,VHK,Viborg HK,1228.2,27,VF,False,NORMAL,68.3
CHARITÉ MUMBONGO,VHK,Viborg HK,1166.1,31,PL,False,NORMAL,80.9
JANA MITTÚN,VHK,Viborg HK,1112.7,29,PL,False,NORMAL,97.7
CLAUDIA ROMPEN,VHK,Viborg HK,1109.6,26,MV,True,NORMAL,-1.3
MATHILDE JUNCKER,VHK,Viborg HK,1098.1,11,MV,True,NORMAL,-1.1
OLE BITSCH,VHK,Viborg HK,1078.8000000000002,6,Ukendt,False,NORMAL,-3.6
IDA MARIE KAYSEN,VHK,Viborg HK,1073.3,30,MV,True,NORMAL,1.0
KATARZYNA PORTASINSKA,VHK,Viborg HK,1033.1,12,HF,False,NORMAL,18.1
LAURA THESTRUP,VHK,Viborg HK,1032.3,16,PL,False,NORMAL,17.3
