team_code,team_name,total_players,avg_rating,max_rating,min_rating,total_games,avg_games_per_player,elite_players,goalkeepers,positions_represented,position_distribution
TES,Team Esbjerg,16,1326.4,1703.8,1075.5,429,26.8,8,3,7,"{'PL': 4, 'HB': 1, 'ST': 3, 'HF': 2, 'VF': 2, 'VB': 1, 'MV': 3}"
IKA,Ikast Håndbold,17,1319.2,1711.1,1011.8,461,27.1,11,2,8,"{'VB': 2, 'PL': 3, 'HB': 2, 'VF': 2, 'ST': 3, 'HF': 2, 'MV': 2, 'Ukendt': 1}"
ODE,Odense Håndbold,19,1309.6,1641.2,1077.6,459,24.2,12,3,7,"{'PL': 7, 'VB': 1, 'ST': 3, 'VF': 2, 'HF': 2, 'MV': 3, 'Ukendt': 1}"
NFH,Nykøbing F. Håndbold,20,1286.8,1660.4,1014.7,450,22.5,9,3,7,"{'PL': 7, 'VF': 2, 'Ukendt': 2, 'ST': 2, 'HF': 2, 'HB': 2, 'MV': 3}"
AAU,Aarhus United,17,1269.6,1785.8,1024.3,381,22.4,7,2,7,"{'PL': 4, 'VB': 1, 'VF': 2, 'HF': 3, 'HB': 1, 'ST': 4, 'MV': 2}"
SKB,Skanderborg Håndbold,17,1256.7,1723.6,1052.8,362,21.3,7,2,7,"{'PL': 7, 'VF': 2, 'HF': 2, 'Ukendt': 1, 'ST': 2, 'MV': 2, 'HB': 1}"
SVK,Silkeborg-Voel KFUM,19,1249.7,1668.5,1021.2,345,18.2,8,2,7,"{'PL': 6, 'HB': 1, 'ST': 4, 'HF': 2, 'VF': 2, 'Ukendt': 2, 'MV': 2}"
RIN,Ringkøbing Håndbold,14,1228.6,1633.8,1015.0,299,21.4,5,3,6,"{'PL': 4, 'HB': 1, 'ST': 3, 'HF': 2, 'VF': 1, 'MV': 3}"
VHK,Viborg HK,17,1228.6,1550.1,1014.5,338,19.9,9,3,5,"{'PL': 7, 'VF': 2, 'ST': 3, 'HF': 2, 'MV': 3}"
SJK,SønderjyskE Kvindehåndbold,16,1224.8,1592.4,1010.0,357,22.3,6,2,8,"{'VB': 2, 'HF': 2, 'PL': 4, 'ST': 2, 'VF': 2, 'HB': 1, 'MV': 2, 'Ukendt': 1}"
KBH,København Håndbold,17,1208.9,1666.4,1017.0,369,21.7,4,3,7,"{'VB': 2, 'VF': 2, 'HF': 2, 'ST': 3, 'PL': 4, 'HB': 1, 'MV': 3}"
HHE,Horsens Håndbold Elite,22,1207.0,1585.7,1020.2,331,15.0,8,3,7,"{'PL': 6, 'VF': 4, 'HB': 3, 'ST': 2, 'MV': 3, 'HF': 3, 'Ukendt': 1}"
AJK,Ajax København,19,1159.6,1523.2,1016.7,420,22.1,3,3,8,"{'VF': 2, 'HB': 1, 'PL': 7, 'ST': 2, 'HF': 2, 'Ukendt': 1, 'MV': 3, 'VB': 1}"
