player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
JESPER KONRADSSON,SKH,Skjern Håndbold,1485.1,35,PL,False,LEGENDARY,212.7
EIVIND TANGEN,SKH,Skjern Håndbold,1481.9,37,HB,False,LEGENDARY,264.2
KASPER SØNDERGAARD,SKH,Skjern Håndbold,1394.1,29,HB,False,ELITE,145.4
BJARTE MYRHOL,SKH,Skjern Håndbold,1353.9,29,ST,False,ELITE,145.2
THOMAS MOGENSEN,SKH,Skjern Håndbold,1247.6,30,PL,False,NORMAL,205.4
ANDERS EGGERT,SKH,Skjern Håndbold,1224.8,37,VF,False,NORMAL,133.0
RENÉ RASMUSSEN,SKH,Skjern Håndbold,1213.3,19,HF,False,NORMAL,73.0
JONATHAN STENBÄCKEN,SKH,Skjern Håndbold,1155.2,35,PL,False,NORMAL,49.7
CHRISTOFFER CICHOSZ,SKH,Skjern Håndbold,1154.7,36,ST,False,NORMAL,86.8
BJARKE CHRISTENSEN,SKH,Skjern Håndbold,1143.8000000000002,24,VF,False,NORMAL,55.4
SEBASTIAN AUGUSTINUSSEN,SKH,Skjern Håndbold,1135.4,28,HF,False,NORMAL,61.2
JAN GREBENC,SKH,Skjern Håndbold,1084.2,29,VB,False,NORMAL,69.2
HENRIK KRONBORG,SKH,Skjern Håndbold,1049.5,8,Ukendt,False,NORMAL,-2.0
EMIL NIELSEN,SKH,Skjern Håndbold,1049.1,36,MV,True,NORMAL,10.3
TANDRI MÁR KONRÁÐSSON,SKH,Skjern Håndbold,1043.9,14,PL,False,NORMAL,14.3
BENJAMIN JAKOBSEN,SKH,Skjern Håndbold,1038.5,25,ST,False,NORMAL,23.5
BJÖRGVIN PALL GUSTAVSSON,SKH,Skjern Håndbold,1032.1,33,MV,True,NORMAL,17.1
