team_code,team_name,total_players,avg_rating,max_rating,min_rating,total_games,avg_games_per_player,elite_players,goalkeepers,positions_represented,position_distribution
SKH,Skjern Håndbold,16,1420.6,1874.1,1022.3,436,27.2,12,2,6,"{'MV': 2, 'PL': 6, 'VF': 2, 'ST': 3, 'HB': 1, 'HF': 2}"
BSH,Bjerringbro-Silkeborg,16,1392.5,1913.3,1080.5,392,24.5,10,2,6,"{'HB': 2, 'PL': 5, 'MV': 2, 'HF': 1, 'ST': 4, 'VF': 2}"
SAH,SAH - Skanderborg AGF,17,1389.3,1697.6,1159.0,411,24.2,15,2,8,"{'PL': 4, 'VF': 2, 'HF': 3, 'MV': 2, 'VB': 1, 'HB': 1, 'ST': 3, 'Ukendt': 1}"
TTH,TTH Holstebro,18,1363.8,1704.1,1034.2,453,25.2,14,3,6,"{'PL': 5, 'MV': 3, 'VF': 2, 'VB': 1, 'ST': 4, 'HF': 3}"
REH,Ribe-Esbjerg HH,17,1356.0,1594.7,1095.3,363,21.4,11,2,5,"{'PL': 9, 'HF': 2, 'ST': 2, 'VF': 2, 'MV': 2}"
AAH,Aalborg Håndbold,20,1331.0,1634.2,1086.4,465,23.2,14,3,5,"{'PL': 10, 'MV': 3, 'VF': 2, 'HF': 2, 'ST': 3}"
MTH,Mors-Thy Håndbold,18,1330.0,1727.1,1061.5,428,23.8,10,2,7,"{'PL': 5, 'MV': 2, 'HF': 2, 'HB': 1, 'VF': 3, 'ST': 3, 'Ukendt': 2}"
NSH,Nordsjælland Håndbold,17,1323.9,1647.1,1021.8,402,23.6,11,2,6,"{'PL': 6, 'HF': 1, 'MV': 2, 'HB': 3, 'ST': 3, 'VF': 2}"
TMH,TMS Ringsted,18,1300.5,1680.5,1029.8,388,21.6,9,2,8,"{'PL': 6, 'HF': 1, 'MV': 2, 'VF': 2, 'ST': 3, 'Ukendt': 2, 'HB': 1, 'VB': 1}"
FHK,Fredericia Håndbold Klub,20,1276.6,1631.0,1025.4,405,20.2,8,3,7,"{'MV': 3, 'PL': 8, 'VF': 2, 'HF': 2, 'ST': 3, 'Ukendt': 1, 'HB': 1}"
GOG,GOG,19,1261.9,1687.6,1025.0,459,24.2,8,2,7,"{'PL': 4, 'HB': 2, 'ST': 4, 'MV': 2, 'HF': 3, 'VF': 3, 'Ukendt': 1}"
KIF,KIF Kolding,19,1257.9,1616.0,1023.6,310,16.3,10,2,7,"{'HB': 2, 'PL': 5, 'ST': 5, 'VF': 2, 'HF': 2, 'MV': 2, 'VB': 1}"
SJH,SønderjyskE Herrehåndbold,17,1253.4,1837.6,1024.5,368,21.6,7,2,7,"{'PL': 6, 'ST': 3, 'HF': 2, 'VF': 2, 'MV': 2, 'Ukendt': 1, 'VB': 1}"
GIF,Grindsted GIF Håndbold,19,1179.4,1616.7,1031.8,473,24.9,3,2,7,"{'PL': 7, 'VF': 2, 'MV': 2, 'HB': 2, 'Ukendt': 1, 'ST': 3, 'HF': 2}"
